rep,method,total_causal_features,causal_removed,causal_remaining,causal_selected,selection_accuracy,selected_features_original,selected_features_truncated,accepted_sets,accepted_pvals
0,shat,6,0,6,5,0.8333333333333334,"0,1,2,4,5,7,10,11","0,1,2,4,5,7,10,11","[(0, 2), (2, 11), (1, 2, 11), (0, 1, 2, 11), (0, 1, 2, 5, 11), (0, 1, 2, 7, 11), (0, 1, 2, 4, 7, 11), (0, 1, 2, 4, 5, 7, 11), (0, 1, 2, 4, 5, 7, 10, 11)]","[0.9058442172288657, 0.0121443185900172, 0.07485964752868263, 0.22439451162124763, 0.04575703422657467, 0.23910426394568055, 0.04440972731808314, 0.09384307892845789, 0.016518177450221456]"
0,sgreedy,6,0,6,5,0.8333333333333334,"0,1,2,4,5,7,11","0,1,2,4,5,7,11","[(2, 11), (1, 2, 11), (0, 1, 2, 11), (0, 1, 2, 7, 11), (0, 1, 2, 4, 7, 11), (0, 1, 2, 4, 5, 7, 11), (0, 1, 2, 4, 5, 7, 10, 11), (0, 1, 2, 4, 5, 7, 11)]","[0.0121443185900172, 0.07485964752868263, 0.22439451162119603, 0.23910426394568055, 0.04440972731808314, 0.09384307892845789, 0.016518177450221456, 0.09384307892845789]"
0,shat,6,1,5,2,0.4,"1,2,8,11","0,1,7,10","[(0, 1), (1, 10), (0, 1, 10), (0, 1, 7, 10)]","[0.019618494677905465, 0.0121443185900172, 0.07485964752868263, 0.03034291301118292]"
0,sgreedy,6,1,5,2,0.4,"1,2,11","0,1,10","[(1, 10), (0, 1, 10), (0, 1, 7, 10), (0, 1, 10)]","[0.0121443185900172, 0.07485964752868263, 0.03034291301118292, 0.07485964752868263]"
0,shat,6,2,4,1,0.25,"2,11","0,9","[(0, 2), (0, 9)]","[0.0140635591658454, 0.0121443185900172]"
0,sgreedy,6,2,4,1,0.25,"2,11","0,9","[(0, 9), (0, 9)]","[0.0121443185900172, 0.0121443185900172]"
0,shat,6,3,3,1,0.3333333333333333,"3,6,10","0,3,7","[(0, 3, 7)]",[]
0,sgreedy,6,3,3,0,0.0,"9,11","6,8","[(6, 8)]",[2.530434740911854e-25]
0,shat,6,4,2,0,0.0,"9,11","5,7","[(5, 7)]",[]
0,sgreedy,6,4,2,0,0.0,"9,11","5,7","[(5, 7)]",[2.530434740911854e-25]
0,shat,6,5,1,0,0.0,"9,11","4,6","[(4, 6)]",[]
0,sgreedy,6,5,1,0,0.0,"9,11","4,6","[(4, 6)]",[2.530434740911854e-25]
0,shat,6,6,0,0,0.0,"9,11","3,5","[(3, 5)]",[]
0,sgreedy,6,6,0,0,0.0,"9,11","3,5","[(3, 5)]",[2.530434740911854e-25]
1,shat,6,0,6,6,1.0,"0,1,2,3,4,5,6,7,8,10","0,1,2,3,4,5,6,7,8,10","[(8, 9, 11), (1, 2, 3, 4, 5, 6, 7, 8, 10), (0, 1, 2, 3, 4, 5, 6, 7, 8, 10)]","[0.010177662831833348, 0.029642872760133488, 0.03721051550576175]"
1,sgreedy,6,0,6,2,0.3333333333333333,"0,2,8,10,11","0,2,8,10,11","[(0, 2, 8, 10, 11)]",[0.0005736371405154887]
1,shat,6,1,5,5,1.0,"1,2,3,4,5,6,7,8,10","0,1,2,3,4,5,6,7,9","[(7, 8, 10), (0, 1, 2, 3, 4, 5, 6, 7, 9)]","[0.010177662831833348, 0.029642872760133488]"
1,sgreedy,6,1,5,1,0.2,"2,8,10,11","1,7,9,10","[(1, 7, 9, 10)]",[5.948726933275543e-06]
1,shat,6,2,4,0,0.0,"8,9,11","6,7,9","[(6, 7, 9)]",[0.010177662831833348]
