rep,method,total_causal_features,causal_removed,causal_remaining,causal_selected,selection_accuracy,selected_features_original,selected_features_truncated
0,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
0,sgreedy,6,0,6,5,0.8333333333333334,"0,1,2,4,5","0,1,2,4,5"
0,shat,6,1,5,5,1.0,"1,2,3,4,5","0,1,2,3,4"
0,sgreedy,6,1,5,4,0.8,"1,2,4,5","0,1,3,4"
0,shat,6,2,4,4,1.0,"2,3,4,5","0,1,2,3"
0,sgreedy,6,2,4,3,0.75,"2,4,5","0,2,3"
0,shat,6,3,3,3,1.0,"3,4,5,8","0,1,2,5"
0,sgreedy,6,3,3,3,1.0,"3,4,5,8","0,1,2,5"
0,shat,6,4,2,2,1.0,"4,5","0,1"
0,sgreedy,6,4,2,2,1.0,"4,5","0,1"
0,shat,6,5,1,1,1.0,"5,8","0,3"
0,sgreedy,6,5,1,1,1.0,"5,8","0,3"
0,shat,6,6,0,0,0.0,8,2
0,sgreedy,6,6,0,0,0.0,8,2
1,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
1,sgreedy,6,0,6,5,0.8333333333333334,"0,2,3,4,5","0,2,3,4,5"
1,shat,6,1,5,3,0.6,"3,4,5","2,3,4"
1,sgreedy,6,1,5,3,0.6,"3,4,5","2,3,4"
1,shat,6,2,4,3,0.75,"3,4,5","1,2,3"
1,sgreedy,6,2,4,3,0.75,"3,4,5","1,2,3"
1,shat,6,3,3,3,1.0,"3,4,5","0,1,2"
1,sgreedy,6,3,3,3,1.0,"3,4,5","0,1,2"
1,shat,6,4,2,2,1.0,"4,5","0,1"
1,sgreedy,6,4,2,2,1.0,"4,5","0,1"
1,shat,6,5,1,0,0.0,"6,7,8,9,10","1,2,3,4,5"
1,sgreedy,6,5,1,1,1.0,5,0
1,shat,6,6,0,0,0.0,"6,7,8,9,10","0,1,2,3,4"
1,sgreedy,6,6,0,0,0.0,"6,7,8,9,10","0,1,2,3,4"
2,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
2,sgreedy,6,0,6,5,0.8333333333333334,"0,2,3,4,5","0,2,3,4,5"
2,shat,6,1,5,4,0.8,"2,3,4,5","1,2,3,4"
2,sgreedy,6,1,5,4,0.8,"2,3,4,5","1,2,3,4"
2,shat,6,2,4,4,1.0,"2,3,4,5","0,1,2,3"
2,sgreedy,6,2,4,4,1.0,"2,3,4,5","0,1,2,3"
2,shat,6,3,3,3,1.0,"3,4,5","0,1,2"
2,sgreedy,6,3,3,3,1.0,"3,4,5","0,1,2"
2,shat,6,4,2,2,1.0,"4,5","0,1"
2,sgreedy,6,4,2,2,1.0,"4,5","0,1"
2,shat,6,5,1,0,0.0,"6,7,8,9,10","1,2,3,4,5"
2,sgreedy,6,5,1,1,1.0,5,0
2,shat,6,6,0,0,0.0,"6,7,8,9,10","0,1,2,3,4"
2,sgreedy,6,6,0,0,0.0,"6,7,8,9,10","0,1,2,3,4"
3,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
3,sgreedy,6,0,6,5,0.8333333333333334,"0,2,3,4,5","0,2,3,4,5"
3,shat,6,1,5,3,0.6,"2,3,5","1,2,4"
3,sgreedy,6,1,5,3,0.6,"2,3,5","1,2,4"
3,shat,6,2,4,3,0.75,"2,3,5","0,1,3"
3,sgreedy,6,2,4,3,0.75,"2,3,5","0,1,3"
3,shat,6,3,3,2,0.6666666666666666,"4,5,7","1,2,4"
3,sgreedy,6,3,3,2,0.6666666666666666,"4,5,7","1,2,4"
3,shat,6,4,2,2,1.0,"4,5,7","0,1,3"
3,sgreedy,6,4,2,2,1.0,"4,5,7","0,1,3"
3,shat,6,5,1,1,1.0,"5,7","0,2"
3,sgreedy,6,5,1,1,1.0,"5,7","0,2"
3,shat,6,6,0,0,0.0,7,1
3,sgreedy,6,6,0,0,0.0,7,1
4,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
4,sgreedy,6,0,6,5,0.8333333333333334,"0,1,2,3,5","0,1,2,3,5"
4,shat,6,1,5,5,1.0,"1,2,3,4,5","0,1,2,3,4"
4,sgreedy,6,1,5,4,0.8,"1,2,3,5","0,1,2,4"
4,shat,6,2,4,4,1.0,"2,3,4,5","0,1,2,3"
4,sgreedy,6,2,4,3,0.75,"2,3,5","0,1,3"
4,shat,6,3,3,3,1.0,"3,4,5","0,1,2"
4,sgreedy,6,3,3,2,0.6666666666666666,"3,5","0,2"
4,shat,6,4,2,2,1.0,"4,5","0,1"
4,sgreedy,6,4,2,2,1.0,"4,5","0,1"
4,shat,6,5,1,1,1.0,5,0
4,sgreedy,6,5,1,1,1.0,5,0
4,shat,6,6,0,0,0.0,"7,9,10","1,3,4"
4,sgreedy,6,6,0,0,0.0,9,3
