leave_out_task,n_tasks,method,loss,selected_features,split
"(98059,)",10,pooling,111.8976882229015,,
"(98058,)",10,pooling,137.66730737907469,,
"(98155,)",10,pooling,89.82402257464258,,
"(98074,)",10,pooling,149.6222332012573,,
"(98006,)",10,pooling,175.55582719168342,,
training_set,10,pooling,145.84495907776105,,train
"(98059,)",10,shat-poly,232.25002497118976,"['bedrooms', 'bathrooms', 'sqft_living', 'condition', 'grade', 'sqft_basement', 'waterfront']",
"(98058,)",10,shat-poly,253.51426350223446,"['bedrooms', 'bathrooms', 'sqft_living', 'condition', 'grade', 'sqft_basement', 'waterfront']",
"(98155,)",10,shat-poly,319.5592799898752,"['bedrooms', 'bathrooms', 'sqft_living', 'condition', 'grade', 'sqft_basement', 'waterfront']",
"(98074,)",10,shat-poly,144.06926374995396,"['bedrooms', 'bathrooms', 'sqft_living', 'condition', 'grade', 'sqft_basement', 'waterfront']",
"(98006,)",10,shat-poly,270.7998180352765,"['bedrooms', 'bathrooms', 'sqft_living', 'condition', 'grade', 'sqft_basement', 'waterfront']",
training_set,10,shat-poly,334.3396127149832,,train
