leave_out_task,n_tasks,method,loss,selected_features,split
"(98133,)",10,mean,166.5270379998878,,
"(98059,)",10,mean,234.0311862469091,,
"(98058,)",10,mean,209.9108106522158,,
"(98155,)",10,mean,284.5362077349017,,
"(98074,)",10,mean,315.1269513380875,,
training_set,10,mean,285.11856496972115,,train
"(98133,)",10,pooling,100.92734922405242,,
"(98059,)",10,pooling,106.34561435106947,,
"(98058,)",10,pooling,153.26388131515273,,
"(98155,)",10,pooling,152.18515163251755,,
"(98074,)",10,pooling,153.6740156465537,,
training_set,10,pooling,170.71140531614168,,train
"(98133,)",10,shat,106.67779172122596,"['bedrooms', 'bathrooms', 'sqft_living', 'view', 'sqft_above', 'sqft_basement']",
"(98059,)",10,shat,117.90341538040573,"['bedrooms', 'bathrooms', 'sqft_living', 'view', 'sqft_above', 'sqft_basement']",
"(98058,)",10,shat,169.81918881747666,"['bedrooms', 'bathrooms', 'sqft_living', 'view', 'sqft_above', 'sqft_basement']",
"(98155,)",10,shat,194.32132063679913,"['bedrooms', 'bathrooms', 'sqft_living', 'view', 'sqft_above', 'sqft_basement']",
"(98074,)",10,shat,204.70464812064776,"['bedrooms', 'bathrooms', 'sqft_living', 'view', 'sqft_above', 'sqft_basement']",
training_set,10,shat,182.68468984494265,,train
"(98133,)",10,sgreedy,97.61004297061105,"['condition', 'sqft_above', 'sqft_living15', 'sqft_lot15']",
"(98059,)",10,sgreedy,186.74428010019045,"['condition', 'sqft_above', 'sqft_living15', 'sqft_lot15']",
"(98058,)",10,sgreedy,206.6707155885954,"['condition', 'sqft_above', 'sqft_living15', 'sqft_lot15']",
"(98155,)",10,sgreedy,213.30118585446166,"['condition', 'sqft_above', 'sqft_living15', 'sqft_lot15']",
"(98074,)",10,sgreedy,197.6099325898413,"['condition', 'sqft_above', 'sqft_living15', 'sqft_lot15']",
training_set,10,sgreedy,229.34441792081466,,train
"(98133,)",10,random_forest,106.63624472403141,,
"(98059,)",10,random_forest,101.30426539486491,,
"(98058,)",10,random_forest,132.92154975648515,,
"(98155,)",10,random_forest,147.57619266441395,,
"(98074,)",10,random_forest,153.72939497685005,,
training_set,10,random_forest,57.163005316832795,,train
"(98133,)",10,shat-rf,136.52152854774874,"['sqft_living', 'sqft_lot', 'floors', 'condition', 'sqft_above', 'waterfront']",
"(98059,)",10,shat-rf,190.13822871913396,"['sqft_living', 'sqft_lot', 'floors', 'condition', 'sqft_above', 'waterfront']",
"(98058,)",10,shat-rf,159.24182193221435,"['sqft_living', 'sqft_lot', 'floors', 'condition', 'sqft_above', 'waterfront']",
"(98155,)",10,shat-rf,185.29633051518712,"['sqft_living', 'sqft_lot', 'floors', 'condition', 'sqft_above', 'waterfront']",
"(98074,)",10,shat-rf,212.20214598485865,"['sqft_living', 'sqft_lot', 'floors', 'condition', 'sqft_above', 'waterfront']",
training_set,10,shat-rf,74.43252336807275,,train
"(98133,)",10,sgreedy-rf,172.02729228841207,"['bedrooms', 'sqft_living', 'condition', 'house_age', 'renovation_age']",
"(98059,)",10,sgreedy-rf,346.5518373450107,"['bedrooms', 'sqft_living', 'condition', 'house_age', 'renovation_age']",
"(98058,)",10,sgreedy-rf,267.9722944187493,"['bedrooms', 'sqft_living', 'condition', 'house_age', 'renovation_age']",
"(98155,)",10,sgreedy-rf,322.7842122430895,"['bedrooms', 'sqft_living', 'condition', 'house_age', 'renovation_age']",
"(98074,)",10,sgreedy-rf,387.54759016950146,"['bedrooms', 'sqft_living', 'condition', 'house_age', 'renovation_age']",
training_set,10,sgreedy-rf,375.92617082122223,,train
"(98133,)",10,lightGBM,110.11985519841278,,
"(98059,)",10,lightGBM,115.12334555683645,,
"(98058,)",10,lightGBM,127.4217596488488,,
"(98155,)",10,lightGBM,155.18172010407156,,
"(98074,)",10,lightGBM,161.39435913375436,,
training_set,10,lightGBM,105.97073859976241,,train
