leave_out_task,n_tasks,method,loss,selected_features,split
"(98133,)",10,pooling,115.46498598557562,,
"(98059,)",10,pooling,136.8875194775518,,
"(98058,)",10,pooling,175.69501545781839,,
"(98155,)",10,pooling,166.54312351966757,,
"(98074,)",10,pooling,172.6937409354873,,
training_set,10,pooling,189.13097100670248,,train
"(98133,)",10,shat,115.69607942366841,"['bedrooms', 'sqft_living', 'sqft_lot', 'view', 'condition', 'grade', 'sqft_above', 'waterfront']",
"(98059,)",10,shat,138.97277683706497,"['bedrooms', 'sqft_living', 'sqft_lot', 'view', 'condition', 'grade', 'sqft_above', 'waterfront']",
"(98058,)",10,shat,177.241503045507,"['bedrooms', 'sqft_living', 'sqft_lot', 'view', 'condition', 'grade', 'sqft_above', 'waterfront']",
"(98155,)",10,shat,197.81130557252683,"['bedrooms', 'sqft_living', 'sqft_lot', 'view', 'condition', 'grade', 'sqft_above', 'waterfront']",
"(98074,)",10,shat,204.65122017713495,"['bedrooms', 'sqft_living', 'sqft_lot', 'view', 'condition', 'grade', 'sqft_above', 'waterfront']",
training_set,10,shat,193.6511260806069,,train
"(98133,)",10,sgreedy,112.82157138107578,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98059,)",10,sgreedy,138.81656153810115,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98058,)",10,sgreedy,179.09638615501393,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98155,)",10,sgreedy,200.33264062674786,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
"(98074,)",10,sgreedy,203.7708686636614,"['bedrooms', 'sqft_lot', 'view', 'grade', 'sqft_above', 'sqft_basement', 'sqft_living15', 'house_age']",
training_set,10,sgreedy,194.81165220326733,,train
