method,task,split,sample_idx,prediction,true_label,residual
shat,"(98052,)",train,0,602.9854274701153,719.0,116.01457252988473
shat,"(98052,)",train,1,534.8791381626536,470.0,64.87913816265359
shat,"(98052,)",train,2,701.9239477818937,770.0,68.07605221810627
shat,"(98052,)",train,3,1723.7744856663014,784.0,939.7744856663014
shat,"(98052,)",train,4,712.1274411630059,835.0,122.87255883699413
shat,"(98052,)",train,5,504.05004631100076,585.188,81.13795368899923
shat,"(98052,)",train,6,552.4287212762516,677.9,125.47127872374836
shat,"(98052,)",train,7,555.2137722885168,693.0,137.7862277114832
shat,"(98052,)",train,8,725.1687229038679,819.9,94.73127709613209
shat,"(98052,)",train,9,929.2619888554666,485.0,444.2619888554666
shat,"(98052,)",train,10,540.72458700642,560.0,19.27541299357995
shat,"(98052,)",train,11,854.4964632356143,570.0,284.4964632356143
shat,"(98052,)",train,12,1025.597633816344,988.0,37.59763381634389
shat,"(98052,)",train,13,735.4847276234442,843.0,107.5152723765558
shat,"(98052,)",train,14,354.5215702016236,452.0,97.4784297983764
shat,"(98052,)",train,15,521.0671873139793,585.0,63.932812686020725
shat,"(98052,)",train,16,853.715989063263,662.0,191.715989063263
shat,"(98052,)",train,17,964.767610317952,910.0,54.76761031795195
shat,"(98052,)",train,18,662.3686962851491,750.0,87.6313037148509
shat,"(98052,)",train,19,363.081800311899,460.0,96.91819968810103
shat,"(98052,)",train,20,394.56097121004484,525.0,130.43902878995516
shat,"(98052,)",train,21,293.1241277233747,415.0,121.87587227662527
shat,"(98052,)",train,22,761.5950519929526,1000.0,238.40494800704744
shat,"(98052,)",train,23,558.5380156031309,748.0,189.46198439686907
shat,"(98052,)",train,24,448.5082257114573,636.0,187.49177428854267
shat,"(98052,)",train,25,414.63077098137285,522.0,107.36922901862715
shat,"(98052,)",train,26,413.1894644086178,512.0,98.81053559138218
shat,"(98052,)",train,27,554.9146725722395,615.0,60.08532742776049
shat,"(98052,)",train,28,459.6415694548143,520.0,60.35843054518568
shat,"(98052,)",train,29,270.8054426293703,375.0,104.1945573706297
shat,"(98052,)",train,30,446.94490091688357,550.0,103.05509908311643
shat,"(98052,)",train,31,744.539533877484,837.7,93.16046612251603
shat,"(98052,)",train,32,788.9156485112858,609.0,179.91564851128578
shat,"(98052,)",train,33,590.1394481162332,700.0,109.86055188376679
shat,"(98052,)",train,34,866.710982425377,933.399,66.68801757462302
shat,"(98052,)",train,35,493.63043008270137,566.0,72.36956991729863
shat,"(98052,)",train,36,750.4001525910044,755.0,4.599847408995629
shat,"(98052,)",train,37,576.1452711535353,640.0,63.854728846464695
shat,"(98052,)",train,38,390.08202029615944,514.0,123.91797970384056
