method,task,split,sample_idx,prediction,true_label,residual
pooling,"(98038,)",train,0,286.92950193542856,323.0,36.07049806457144
pooling,"(98038,)",train,1,382.8796547078073,360.0,22.879654707807276
pooling,"(98038,)",train,2,385.06748410162254,390.0,4.93251589837746
pooling,"(98038,)",train,3,293.6585055852447,360.0,66.34149441475529
pooling,"(98038,)",train,4,338.5006723531551,314.0,24.500672353155096
pooling,"(98038,)",train,5,261.612185311591,272.5,10.88781468840898
pooling,"(98038,)",train,6,214.27710535965707,163.5,50.77710535965707
pooling,"(98038,)",train,7,332.74177418911495,385.0,52.25822581088505
pooling,"(98038,)",train,8,318.8615759432414,320.0,1.1384240567585948
pooling,"(98038,)",train,9,320.708211517338,328.0,7.291788482662014
pooling,"(98038,)",train,10,373.5648085431385,455.0,81.4351914568615
pooling,"(98038,)",train,11,352.0126411123838,208.633,143.37964111238378
pooling,"(98038,)",train,12,276.0962199005753,260.0,16.096219900575306
pooling,"(98038,)",train,13,275.9915542293347,300.0,24.008445770665276
pooling,"(98038,)",train,14,302.77687110937404,329.5,26.723128890625958
pooling,"(98038,)",train,15,242.41201839172936,275.0,32.58798160827064
pooling,"(98038,)",train,16,302.1962781643415,322.5,20.303721835658507
pooling,"(98038,)",train,17,764.4302017816826,840.0,75.56979821831737
pooling,"(98038,)",train,18,250.91093707256914,245.0,5.910937072569141
pooling,"(98038,)",train,19,256.1039148207419,350.0,93.89608517925808
pooling,"(98038,)",train,20,180.89720184975158,232.0,51.10279815024842
pooling,"(98038,)",train,21,361.9668024243565,342.5,19.4668024243565
pooling,"(98038,)",train,22,285.4700334235695,270.5,14.970033423569475
pooling,"(98038,)",train,23,272.1976584776203,338.9,66.7023415223797
pooling,"(98038,)",train,24,308.28741758336764,300.0,8.287417583367642
pooling,"(98038,)",train,25,412.79680830572215,370.0,42.79680830572215
pooling,"(98038,)",train,26,266.2671969250532,296.0,29.732803074946787
pooling,"(98038,)",train,27,254.1768031833799,240.0,14.176803183379889
pooling,"(98038,)",train,28,583.4349186705294,609.9,26.465081329470536
pooling,"(98038,)",train,29,267.15245182917715,289.95,22.797548170822836
pooling,"(98038,)",train,30,356.8932585228431,374.95,18.05674147715689
pooling,"(98038,)",train,31,265.70866652707446,287.653,21.944333472925564
pooling,"(98038,)",train,32,300.03022253423296,265.0,35.03022253423296
pooling,"(98038,)",train,33,269.9037983436483,275.0,5.096201656351695
pooling,"(98038,)",train,34,272.0590885359343,314.95,42.89091146406571
pooling,"(98038,)",train,35,421.21036504200856,378.0,43.21036504200856
pooling,"(98038,)",train,36,303.5985159769207,291.0,12.59851597692068
pooling,"(98038,)",train,37,257.2037016185641,189.95,67.2537016185641
pooling,"(98038,)",train,38,254.27740491006807,287.0,32.72259508993193
pooling,"(98038,)",train,39,350.69761798107174,380.0,29.302382018928256
pooling,"(98038,)",train,40,498.2668725043586,367.0,131.26687250435862
pooling,"(98038,)",train,41,151.8069079441102,219.0,67.19309205588979
pooling,"(98038,)",train,42,268.3699431670884,245.0,23.369943167088422
pooling,"(98038,)",train,43,436.5324546200354,457.0,20.467545379964577
pooling,"(98038,)",train,44,437.54631197480376,620.0,182.45368802519624
pooling,"(98038,)",train,45,418.7311039585329,260.0,158.7311039585329
pooling,"(98038,)",train,46,620.185737944581,545.0,75.18573794458098
pooling,"(98038,)",train,47,273.94691194271945,307.5,33.55308805728055
pooling,"(98038,)",train,48,236.7430435531478,294.0,57.2569564468522
pooling,"(98038,)",train,49,238.58046706237837,270.0,31.419532937621625
pooling,"(98038,)",train,50,389.4505599321874,338.0,51.45055993218739
pooling,"(98038,)",train,51,362.32471241378335,368.0,5.675287586216655
pooling,"(98038,)",train,52,468.89778894938536,435.0,33.89778894938536
pooling,"(98038,)",train,53,232.6231315121422,260.0,27.37686848785779
pooling,"(98038,)",train,54,273.1417840155209,339.0,65.8582159844791
pooling,"(98038,)",train,55,304.4692846799244,315.0,10.530715320075615
pooling,"(98038,)",train,56,352.90264546277103,429.8,76.89735453722898
pooling,"(98038,)",train,57,384.41307866628995,352.0,32.41307866628995
pooling,"(98038,)",train,58,264.1923346268195,297.0,32.8076653731805
pooling,"(98038,)",train,59,217.05141939948044,272.5,55.44858060051956
pooling,"(98038,)",train,60,174.58301648649285,225.0,50.41698351350715
pooling,"(98038,)",train,61,262.6292030420682,295.0,32.370796957931816
pooling,"(98038,)",train,62,301.4563415835473,310.0,8.543658416452672
pooling,"(98038,)",train,63,341.2853621059676,353.0,11.714637894032421
pooling,"(98038,)",train,64,426.62764259264986,360.0,66.62764259264986
pooling,"(98038,)",train,65,384.7593425036612,230.0,154.75934250366117
pooling,"(98038,)",train,66,227.68449016108752,258.5,30.815509838912476
pooling,"(98038,)",train,67,480.9704730255835,398.0,82.97047302558349
pooling,"(98038,)",train,68,342.34563503449317,275.0,67.34563503449317
pooling,"(98038,)",train,69,566.1699612139164,525.0,41.169961213916395
pooling,"(98038,)",train,70,274.1581344028891,358.0,83.84186559711088
pooling,"(98038,)",train,71,316.3552945250267,363.0,46.64470547497331
pooling,"(98038,)",train,72,374.28105794779367,340.0,34.28105794779367
pooling,"(98038,)",train,73,434.20879985403917,449.95,15.741200145960818
pooling,"(98038,)",train,74,302.1285371187514,322.5,20.37146288124859
pooling,"(98038,)",train,75,216.6490606389234,242.0,25.3509393610766
pooling,"(98038,)",train,76,288.5821390973124,335.0,46.41786090268761
pooling,"(98038,)",train,77,264.2582556930047,269.0,4.741744306995315
pooling,"(98038,)",train,78,539.3559659654238,490.0,49.35596596542382
pooling,"(98038,)",train,79,238.24704892088812,299.9,61.65295107911186
pooling,"(98038,)",train,80,524.4030182558326,482.0,42.40301825583265
pooling,"(98038,)",train,81,295.38822136091403,337.5,42.11177863908597
pooling,"(98038,)",train,82,497.8831046827181,500.0,2.1168953172818874
pooling,"(98038,)",train,83,456.35791653554224,388.0,68.35791653554224
pooling,"(98038,)",train,84,362.63112359911975,346.95,15.681123599119758
pooling,"(98038,)",train,85,446.8933753523306,522.0,75.10662464766938
pooling,"(98038,)",train,86,340.8242668913754,293.0,47.82426689137537
pooling,"(98038,)",train,87,138.15583761562993,195.0,56.844162384370065
pooling,"(98038,)",train,88,541.0062286881821,635.0,93.99377131181791
pooling,"(98038,)",train,89,656.0996779612306,699.0,42.900322038769445
pooling,"(98038,)",train,90,431.35303536022366,485.0,53.64696463977634
pooling,"(98038,)",train,91,235.07479869095732,269.0,33.92520130904268
pooling,"(98038,)",train,92,221.07132007474502,190.0,31.071320074745017
pooling,"(98038,)",train,93,363.6883009837147,418.0,54.311699016285274
pooling,"(98038,)",train,94,507.029250298845,449.5,57.529250298845
pooling,"(98038,)",train,95,275.90704012155584,297.5,21.592959878444162
pooling,"(98038,)",train,96,231.45797071120433,279.0,47.542029288795675
pooling,"(98038,)",train,97,189.77461194495118,275.0,85.22538805504882
pooling,"(98038,)",train,98,487.6784277575971,470.0,17.678427757597092
pooling,"(98038,)",train,99,156.32145233185838,222.0,65.67854766814162
pooling,"(98038,)",train,100,514.4172321432288,549.95,35.532767856771216
pooling,"(98038,)",train,101,247.53786888976356,265.0,17.46213111023644
pooling,"(98038,)",train,102,303.17304850050823,325.0,21.82695149949177
pooling,"(98038,)",train,103,325.8199191480453,422.5,96.6800808519547
pooling,"(98038,)",train,104,229.25822503898416,279.0,49.741774961015835
pooling,"(98038,)",train,105,753.1209836774979,649.95,103.17098367749782
pooling,"(98038,)",train,106,344.0273204781697,360.0,15.972679521830287
pooling,"(98038,)",train,107,466.3568412423174,550.0,83.64315875768261
pooling,"(98038,)",train,108,474.20473259346,729.0,254.79526740654
pooling,"(98038,)",train,109,483.9368260687588,399.0,84.93682606875882
pooling,"(98038,)",train,110,624.7506206437465,728.0,103.24937935625348
pooling,"(98038,)",train,111,256.9210754128544,274.0,17.078924587145593
pooling,"(98038,)",train,112,223.44039467765288,285.0,61.559605322347124
pooling,"(98038,)",train,113,405.36439731920655,399.95,5.414397319206557
pooling,"(98038,)",train,114,398.9183328623367,412.0,13.081667137663317
pooling,"(98038,)",train,115,402.3816933319158,393.0,9.381693331915812
pooling,"(98038,)",train,116,276.09132107688674,310.0,33.90867892311326
pooling,"(98038,)",train,117,138.03555368162597,224.975,86.93944631837402
pooling,"(98038,)",train,118,271.915330558435,349.0,77.08466944156498
pooling,"(98038,)",train,119,217.9787986587271,233.0,15.0212013412729
pooling,"(98038,)",train,120,253.86049135358735,240.0,13.86049135358735
pooling,"(98038,)",train,121,305.48709977157523,240.0,65.48709977157523
pooling,"(98038,)",train,122,401.33076014079415,369.0,32.330760140794155
pooling,"(98038,)",train,123,318.4183850752888,317.0,1.4183850752888247
pooling,"(98038,)",train,124,233.61002786163408,269.95,36.33997213836591
pooling,"(98038,)",train,125,308.343451998986,320.0,11.656548001014016
pooling,"(98038,)",train,126,602.4511594937285,489.0,113.45115949372848
pooling,"(98038,)",train,127,379.1427681077548,350.0,29.14276810775482
pooling,"(98038,)",train,128,358.6003504237069,303.5,55.100350423706914
pooling,"(98038,)",train,129,488.7916419894045,364.25,124.54164198940452
pooling,"(98038,)",train,130,284.8965812840088,263.0,21.89658128400879
pooling,"(98038,)",train,131,503.1553567050505,419.0,84.15535670505051
pooling,"(98038,)",train,132,380.88727176995053,411.0,30.11272823004947
pooling,"(98038,)",train,133,259.22216544854564,325.0,65.77783455145436
pooling,"(98038,)",train,134,374.384791814191,365.0,9.384791814190976
pooling,"(98038,)",train,135,263.7322739106021,289.0,25.26772608939791
pooling,"(98038,)",train,136,490.3522224936187,428.4,61.952222493618706
pooling,"(98038,)",train,137,257.3054520802416,263.0,5.694547919758406
pooling,"(98038,)",train,138,275.72911576233855,265.0,10.729115762338552
pooling,"(98038,)",train,139,432.36365150069105,397.5,34.86365150069105
pooling,"(98038,)",train,140,565.8533939465906,653.0,87.14660605340941
pooling,"(98038,)",train,141,481.61775273729836,455.0,26.61775273729836
pooling,"(98038,)",train,142,407.87723471723075,410.0,2.122765282769251
pooling,"(98038,)",train,143,409.0065440761973,315.0,94.00654407619732
pooling,"(98038,)",train,144,271.88847941119275,215.0,56.88847941119275
pooling,"(98038,)",train,145,271.88847941119275,315.0,43.11152058880725
pooling,"(98038,)",train,146,164.86880840597223,241.0,76.13119159402777
pooling,"(98038,)",train,147,469.31225598943456,352.5,116.81225598943456
pooling,"(98038,)",train,148,288.43215274392423,252.0,36.432152743924235
pooling,"(98038,)",train,149,293.92792780377385,329.95,36.022072196226134
pooling,"(98038,)",train,150,474.6538903842102,438.9,35.753890384210194
pooling,"(98038,)",train,151,445.250115432209,533.0,87.74988456779101
pooling,"(98038,)",train,152,673.5756871082758,713.9,40.32431289172416
pooling,"(98038,)",train,153,223.4070699262411,215.0,8.407069926241093
pooling,"(98038,)",train,154,499.4500429990512,449.0,50.45004299905122
pooling,"(98038,)",train,155,440.02560973834443,408.0,32.02560973834443
pooling,"(98038,)",train,156,311.3771276428397,353.5,42.122872357160304
pooling,"(98038,)",train,157,399.4136230412696,320.0,79.4136230412696
pooling,"(98038,)",train,158,777.1812737340333,890.0,112.81872626596669
pooling,"(98038,)",train,159,499.1280852395903,426.5,72.62808523959029
pooling,"(98038,)",train,160,623.5557418574153,480.0,143.55574185741534
pooling,"(98038,)",train,161,210.57534991048306,211.0,0.4246500895169447
pooling,"(98038,)",train,162,548.6219117493165,585.0,36.378088250683504
pooling,"(98038,)",train,163,251.87339686783162,284.0,32.126603132168384
pooling,"(98038,)",train,164,269.88402548083286,245.0,24.88402548083286
pooling,"(98038,)",train,165,238.4795360829121,274.95,36.4704639170879
pooling,"(98038,)",train,166,547.3263268597238,557.5,10.17367314027615
pooling,"(98038,)",train,167,598.6125431844193,760.0,161.38745681558066
