method,task,split,sample_idx,prediction,true_label,residual
shat-gam,"(98103,)",train,0,374.3532579071937,485.0,-110.64674209280628
shat-gam,"(98103,)",train,1,272.49964675452435,570.0,-297.50035324547565
shat-gam,"(98103,)",train,2,119.1935627439006,518.5,-399.3064372560994
shat-gam,"(98103,)",train,3,634.6030103906094,822.5,-187.89698960939063
shat-gam,"(98103,)",train,4,283.5965433060121,511.0,-227.4034566939879
shat-gam,"(98103,)",train,5,287.1279645646765,532.17,-245.04203543532344
shat-gam,"(98103,)",train,6,364.9930774034527,615.0,-250.00692259654733
shat-gam,"(98103,)",train,7,270.1489844366201,481.0,-210.85101556337992
shat-gam,"(98103,)",train,8,183.6218712429453,548.0,-364.3781287570547
shat-gam,"(98103,)",train,9,210.88816410399394,640.0,-429.111835896006
shat-gam,"(98103,)",train,10,380.4037330380713,791.5,-411.0962669619287
shat-gam,"(98103,)",train,11,208.97377882818932,450.0,-241.02622117181068
shat-gam,"(98103,)",train,12,179.95042384945748,482.0,-302.0495761505425
shat-gam,"(98103,)",train,13,583.3943051117308,1000.0,-416.6056948882692
shat-gam,"(98103,)",train,14,186.49524767827205,595.0,-408.50475232172795
shat-gam,"(98103,)",train,15,535.7810866187704,880.0,-344.21891338122964
shat-gam,"(98103,)",train,16,78.57289223398436,531.0,-452.42710776601564
shat-gam,"(98103,)",train,17,145.59824084613655,340.0,-194.40175915386345
shat-gam,"(98103,)",train,18,187.81527920367506,565.0,-377.18472079632494
shat-gam,"(98103,)",train,19,461.5859960881079,715.0,-253.4140039118921
shat-gam,"(98103,)",train,20,275.32045940776277,650.0,-374.67954059223723
shat-gam,"(98103,)",train,21,345.4348824883074,825.0,-479.5651175116926
shat-gam,"(98103,)",train,22,77.73538494751435,466.0,-388.2646150524856
shat-gam,"(98103,)",train,23,455.12795353262857,700.0,-244.87204646737143
shat-gam,"(98103,)",train,24,157.47599211786473,280.3,-122.82400788213528
shat-gam,"(98103,)",train,25,257.2551746687045,415.0,-157.7448253312955
shat-gam,"(98103,)",train,26,204.49346272398103,690.0,-485.506537276019
shat-gam,"(98103,)",train,27,128.10854280072428,492.0,-363.8914571992757
shat-gam,"(98103,)",train,28,174.49701932650152,310.0,-135.50298067349848
shat-gam,"(98103,)",train,29,181.99914802437746,265.0,-83.00085197562254
shat-gam,"(98103,)",train,30,198.0991396783044,340.0,-141.9008603216956
shat-gam,"(98103,)",train,31,540.0337790448957,780.0,-239.9662209551043
shat-gam,"(98103,)",train,32,135.98305269183652,450.0,-314.0169473081635
shat-gam,"(98103,)",train,33,273.2723179974473,425.0,-151.72768200255268
shat-gam,"(98103,)",train,34,347.98566937731005,715.0,-367.01433062268995
shat-gam,"(98103,)",train,35,300.0302396453534,640.0,-339.9697603546466
shat-gam,"(98103,)",train,36,305.2447665427345,352.95,-47.70523345726548
shat-gam,"(98103,)",train,37,197.59256308551497,495.0,-297.40743691448506
shat-gam,"(98103,)",train,38,327.9905866785665,650.0,-322.0094133214335
shat-gam,"(98103,)",train,39,427.67752006183025,610.0,-182.32247993816975
shat-gam,"(98103,)",train,40,606.2432224545707,635.0,-28.75677754542926
shat-gam,"(98103,)",train,41,862.0987346711408,775.0,87.09873467114085
shat-gam,"(98103,)",train,42,610.6481456382628,780.0,-169.3518543617372
shat-gam,"(98103,)",train,43,379.3195449899752,487.25,-107.93045501002479
shat-gam,"(98103,)",train,44,285.8475412288315,712.0,-426.1524587711685
shat-gam,"(98103,)",train,45,280.33980797551953,805.0,-524.6601920244805
shat-gam,"(98103,)",train,46,760.3669428801782,1125.0,-364.63305711982184
shat-gam,"(98103,)",train,47,408.5668284735962,800.0,-391.4331715264038
shat-gam,"(98103,)",train,48,215.46756034126219,725.0,-509.5324396587378
shat-gam,"(98103,)",train,49,369.6616710944399,627.5,-257.8383289055601
shat-gam,"(98103,)",train,50,206.0687016586625,430.0,-223.9312983413375
shat-gam,"(98103,)",train,51,186.5663871594449,470.45,-283.8836128405551
shat-gam,"(98103,)",train,52,574.3758939738639,462.0,112.37589397386387
shat-gam,"(98103,)",train,53,432.97482121672306,800.0,-367.02517878327694
shat-gam,"(98103,)",train,54,219.08865590573143,800.0,-580.9113440942685
shat-gam,"(98103,)",train,55,405.5318151866044,440.0,-34.468184813395624
shat-gam,"(98103,)",train,56,178.13483799200316,405.0,-226.86516200799684
shat-gam,"(98103,)",train,57,590.0963126418526,990.0,-399.9036873581474
shat-gam,"(98103,)",train,58,293.70479504613576,510.0,-216.29520495386424
shat-gam,"(98103,)",train,59,422.6591378537704,679.0,-256.3408621462296
shat-gam,"(98103,)",train,60,442.36491277994287,392.45,49.91491277994288
shat-gam,"(98103,)",train,61,162.9934499800719,695.0,-532.0065500199281
shat-gam,"(98103,)",train,62,271.7950456580423,415.0,-143.20495434195772
shat-gam,"(98103,)",train,63,553.9306695870633,475.0,78.93066958706333
shat-gam,"(98103,)",train,64,593.34088584048,670.0,-76.65911415951996
shat-gam,"(98103,)",train,65,366.8233304144306,579.0,-212.1766695855694
shat-gam,"(98103,)",train,66,494.0996605072759,645.0,-150.90033949272407
shat-gam,"(98103,)",train,67,381.4668974812741,709.0,-327.5331025187259
shat-gam,"(98103,)",train,68,338.41735202792944,245.0,93.41735202792944
shat-gam,"(98103,)",train,69,207.44299858712589,350.0,-142.55700141287411
shat-gam,"(98103,)",train,70,298.64990086136487,450.0,-151.35009913863513
shat-gam,"(98103,)",train,71,278.66622062735144,479.0,-200.33377937264856
shat-gam,"(98103,)",train,72,218.59732131825268,335.0,-116.40267868174732
shat-gam,"(98103,)",train,73,189.50278407511638,430.0,-240.49721592488362
shat-gam,"(98103,)",train,74,189.50278407511638,685.0,-495.4972159248836
shat-gam,"(98103,)",train,75,296.08451061254516,409.5,-113.41548938745484
shat-gam,"(98103,)",train,76,257.5008005524268,660.0,-402.4991994475732
shat-gam,"(98103,)",train,77,511.7101752319438,700.0,-188.28982476805618
shat-gam,"(98103,)",train,78,210.88816410399394,660.0,-449.111835896006
shat-gam,"(98103,)",train,79,239.6778782454098,440.0,-200.3221217545902
shat-gam,"(98103,)",train,80,271.2744264754163,625.0,-353.7255735245837
shat-gam,"(98103,)",train,81,403.2577113275438,613.0,-209.7422886724562
shat-gam,"(98103,)",train,82,320.56368191294166,750.0,-429.43631808705834
shat-gam,"(98103,)",train,83,129.22305080834164,405.0,-275.77694919165833
shat-gam,"(98103,)",train,84,158.54453946442408,389.0,-230.45546053557592
shat-gam,"(98103,)",train,85,393.0661313113525,802.0,-408.9338686886475
shat-gam,"(98103,)",train,86,323.73500983562616,525.0,-201.26499016437384
shat-gam,"(98103,)",train,87,627.8776917677602,1015.0,-387.1223082322398
shat-gam,"(98103,)",train,88,272.36674443546497,540.0,-267.63325556453503
shat-gam,"(98103,)",train,89,158.15022089859133,480.0,-321.84977910140867
shat-gam,"(98103,)",train,90,71.75108160363419,280.0,-208.2489183963658
shat-gam,"(98103,)",train,91,774.8463054331512,695.0,79.8463054331512
shat-gam,"(98103,)",train,92,235.93381698494935,416.0,-180.06618301505065
shat-gam,"(98103,)",train,93,216.10773192358886,440.0,-223.89226807641114
shat-gam,"(98103,)",train,94,210.93540335304598,425.0,-214.06459664695402
shat-gam,"(98103,)",train,95,417.00803688461576,433.5,-16.491963115384237
shat-gam,"(98103,)",train,96,188.80579986505705,390.0,-201.19420013494295
shat-gam,"(98103,)",train,97,140.3341226443917,579.1,-438.7658773556083
shat-gam,"(98103,)",train,98,100.48996387597694,552.0,-451.51003612402303
shat-gam,"(98103,)",train,99,630.9381874789079,1045.0,-414.06181252109207
shat-gam,"(98103,)",train,100,543.14427098595,875.0,-331.85572901405
shat-gam,"(98103,)",train,101,195.7792704239991,486.7,-290.9207295760009
shat-gam,"(98103,)",train,102,133.91557696130218,527.5,-393.5844230386978
shat-gam,"(98103,)",train,103,384.6410279747641,912.0,-527.358972025236
shat-gam,"(98103,)",train,104,910.2570849100655,752.0,158.2570849100655
shat-gam,"(98103,)",train,105,141.84236447472773,450.0,-308.15763552527227
shat-gam,"(98103,)",train,106,302.5348765828842,400.0,-97.46512341711582
shat-gam,"(98103,)",train,107,238.12950509002752,407.0,-168.87049490997248
shat-gam,"(98103,)",train,108,262.7123449032737,626.5,-363.7876550967263
shat-gam,"(98103,)",train,109,843.1285253439305,725.0,118.1285253439305
shat-gam,"(98103,)",train,110,554.0455102738742,775.0,-220.95448972612576
shat-gam,"(98103,)",train,111,198.75008169487572,630.0,-431.2499183051243
shat-gam,"(98103,)",train,112,446.30720492304573,745.0,-298.69279507695427
shat-gam,"(98103,)",train,113,276.1512657557991,716.1,-439.9487342442009
shat-gam,"(98103,)",train,114,427.82280370985757,720.0,-292.17719629014243
shat-gam,"(98103,)",train,115,485.51470201354505,430.0,55.51470201354505
shat-gam,"(98103,)",train,116,89.0389518088329,465.0,-375.9610481911671
shat-gam,"(98103,)",train,117,373.5045750711029,599.0,-225.49542492889708
shat-gam,"(98103,)",train,118,651.26875160809,547.0,104.26875160809004
shat-gam,"(98103,)",train,119,313.6739362124456,764.0,-450.3260637875544
shat-gam,"(98103,)",train,120,459.5606571379664,453.0,6.560657137966416
shat-gam,"(98103,)",train,121,491.56844279205825,702.5,-210.93155720794175
shat-gam,"(98103,)",train,122,219.38235737401297,798.75,-579.3676426259871
shat-gam,"(98103,)",train,123,671.9022758291662,1165.0,-493.09772417083377
shat-gam,"(98103,)",train,124,173.90420623455265,515.0,-341.09579376544735
shat-gam,"(98103,)",train,125,186.7337620067288,395.0,-208.2662379932712
shat-gam,"(98103,)",train,126,286.99533788928903,549.0,-262.00466211071097
shat-gam,"(98103,)",train,127,376.228979277648,832.6,-456.371020722352
shat-gam,"(98103,)",train,128,915.2070048068549,1297.0,-381.7929951931451
shat-gam,"(98103,)",train,129,125.87462131241605,532.5,-406.625378687584
shat-gam,"(98103,)",train,130,554.4905204923461,1315.0,-760.5094795076539
shat-gam,"(98103,)",train,131,561.1528938612473,767.5,-206.34710613875268
shat-gam,"(98103,)",train,132,337.0029919141435,300.0,37.00299191414348
shat-gam,"(98103,)",train,133,217.92971352120168,640.0,-422.0702864787983
shat-gam,"(98103,)",train,134,203.94469075993027,578.888,-374.94330924006977
shat-gam,"(98103,)",train,135,466.30043332498576,1000.0,-533.6995666750142
shat-gam,"(98103,)",train,136,690.8740289471434,650.0,40.874028947143415
shat-gam,"(98103,)",train,137,459.4923156297572,730.0,-270.5076843702428
shat-gam,"(98103,)",train,138,290.50467323976164,665.0,-374.49532676023836
