method,task,split,sample_idx,prediction,true_label,residual
shat-LGBM,"(98103,)",train,0,527.5096021365256,485.0,-60.20642387391524
shat-LGBM,"(98103,)",train,1,458.17969938594075,570.0,29.86761735068478
shat-LGBM,"(98103,)",train,2,486.6340930773008,518.5,-9.679211352716209
shat-LGBM,"(98103,)",train,3,722.8702510318739,822.5,267.63903663858287
shat-LGBM,"(98103,)",train,4,494.409494926312,511.0,-257.78546807266343
shat-LGBM,"(98103,)",train,5,289.03374621439497,532.17,-37.3419076222321
shat-LGBM,"(98103,)",train,6,492.9797849955283,615.0,-243.44336305380176
shat-LGBM,"(98103,)",train,7,432.87948420977403,480.0,-218.3555531779902
shat-LGBM,"(98103,)",train,8,447.2974326242477,481.0,-223.3735330409708
shat-LGBM,"(98103,)",train,9,528.3566819615894,548.0,-249.88604478961594
shat-LGBM,"(98103,)",train,10,480.5407829494655,640.0,-387.248233141887
shat-LGBM,"(98103,)",train,11,630.2137177238926,791.5,-111.38383752271523
shat-LGBM,"(98103,)",train,12,438.2823776719027,437.5,160.1546953129017
shat-LGBM,"(98103,)",train,13,434.1707518365528,450.0,24.222319235197745
shat-LGBM,"(98103,)",train,14,392.8711789204233,482.0,-224.33243733679268
shat-LGBM,"(98103,)",train,15,863.768396190893,1000.0,-145.87131961138527
shat-LGBM,"(98103,)",train,16,526.7441538413432,595.0,-313.28987027168756
shat-LGBM,"(98103,)",train,17,695.6864959789402,880.0,201.35697930652532
shat-LGBM,"(98103,)",train,18,420.39524577706817,531.0,-34.557424260898756
shat-LGBM,"(98103,)",train,19,391.6455010347438,340.0,108.58102554559457
shat-LGBM,"(98103,)",train,20,427.1417901078702,565.0,29.9227136103641
shat-LGBM,"(98103,)",train,21,707.5983758586,715.0,11.807456409853103
shat-LGBM,"(98103,)",train,22,441.3113375205705,650.0,-335.2797659326735
shat-LGBM,"(98103,)",train,23,658.727738151128,825.0,-144.88383752271523
shat-LGBM,"(98103,)",train,24,395.74195516744385,466.0,-21.186060393172397
shat-LGBM,"(98103,)",train,25,684.5558537321853,720.0,-114.67719453508482
shat-LGBM,"(98103,)",train,26,595.2993886505695,700.0,-208.67850013942262
shat-LGBM,"(98103,)",train,27,339.71440679846523,280.3,-64.9972116338597
shat-LGBM,"(98103,)",train,28,311.6243090641507,415.0,90.14723822735357
shat-LGBM,"(98103,)",train,29,441.2456808892302,690.0,-401.6509150686563
shat-LGBM,"(98103,)",train,30,427.7859227266875,492.0,-255.99755574075797
shat-LGBM,"(98103,)",train,31,323.6444150672384,310.0,-65.12364208896375
shat-LGBM,"(98103,)",train,32,397.4990973663485,265.0,203.40939406628013
shat-LGBM,"(98103,)",train,33,396.16798568898355,340.0,127.17051998445146
shat-LGBM,"(98103,)",train,34,769.1338816785492,780.0,-100.62220153478631
shat-LGBM,"(98103,)",train,35,443.24513430028065,450.0,-188.3555531779902
shat-LGBM,"(98103,)",train,36,703.0215125365418,830.0,-144.41095273956023
shat-LGBM,"(98103,)",train,37,558.1088679613564,425.0,-86.09101517200548
shat-LGBM,"(98103,)",train,38,597.9524913411985,715.0,-120.03414646961232
shat-LGBM,"(98103,)",train,39,503.5654124552351,640.0,-323.1293220161708
shat-LGBM,"(98103,)",train,40,509.40836730612585,352.95,28.555956593086307
shat-LGBM,"(98103,)",train,41,423.9308688621432,495.0,-237.33243733679268
shat-LGBM,"(98103,)",train,42,637.1652539311483,650.0,-225.20642387391524
shat-LGBM,"(98103,)",train,43,633.1976461574968,610.0,334.6746486781834
shat-LGBM,"(98103,)",train,44,477.6373026882908,440.0,-86.53516557369096
shat-LGBM,"(98103,)",train,45,789.9054899492182,635.0,409.95230544445485
shat-LGBM,"(98103,)",train,46,727.9283641836382,775.0,-106.24503025573074
shat-LGBM,"(98103,)",train,47,784.1681181671484,780.0,-108.00603774272679
shat-LGBM,"(98103,)",train,48,496.18250014834643,487.25,-133.78516557369096
shat-LGBM,"(98103,)",train,49,533.2588305778722,712.0,-392.0853226611251
shat-LGBM,"(98103,)",train,50,490.1925716976041,805.0,-538.3160334726217
shat-LGBM,"(98103,)",train,51,1146.0966449449559,1125.0,-480.360728193034
shat-LGBM,"(98103,)",train,52,639.407083980357,800.0,-340.2275008836776
shat-LGBM,"(98103,)",train,53,635.9199431835762,725.0,-130.0772863896359
shat-LGBM,"(98103,)",train,54,595.0435901851953,627.5,-274.03516557369096
shat-LGBM,"(98103,)",train,55,386.56568818474756,430.0,-141.65091506865627
shat-LGBM,"(98103,)",train,56,424.9549194060377,470.45,-217.2354680726634
shat-LGBM,"(98103,)",train,57,442.0285258496099,462.0,-146.1200806260726
shat-LGBM,"(98103,)",train,58,659.941767683275,800.0,-205.03414646961232
shat-LGBM,"(98103,)",train,59,474.85405503859863,800.0,-492.01144055153816
shat-LGBM,"(98103,)",train,60,603.1682264609411,440.0,-46.776733547399374
shat-LGBM,"(98103,)",train,61,440.0040474095897,405.0,-86.3261492027055
shat-LGBM,"(98103,)",train,62,955.4714260853958,990.0,-16.348964039221187
shat-LGBM,"(98103,)",train,63,447.5007623773487,500.0,-263.997555740758
shat-LGBM,"(98103,)",train,64,339.3811723734201,510.0,-256.78546807266343
shat-LGBM,"(98103,)",train,65,550.8480494308146,679.0,-256.60627853451484
shat-LGBM,"(98103,)",train,66,473.5346910690785,392.45,-138.77491150786088
shat-LGBM,"(98103,)",train,67,498.81418594302215,425.0,-163.3555531779902
shat-LGBM,"(98103,)",train,68,487.3891482960054,695.0,-436.2834005080593
shat-LGBM,"(98103,)",train,69,554.7688090382703,415.0,424.72139606104327
shat-LGBM,"(98103,)",train,70,597.035329446837,475.0,-50.20642387391524
shat-LGBM,"(98103,)",train,71,709.4594916909538,670.0,-247.60627853451484
shat-LGBM,"(98103,)",train,72,607.9826354624238,579.0,2.8744119784793156
shat-LGBM,"(98103,)",train,73,651.735522722618,645.0,35.116162477284774
shat-LGBM,"(98103,)",train,74,587.5428400666616,709.0,-345.48251039039167
shat-LGBM,"(98103,)",train,75,425.73650603305833,245.0,29.374277737003013
shat-LGBM,"(98103,)",train,76,489.4281412703445,350.0,-92.33243733679268
shat-LGBM,"(98103,)",train,77,502.1131266226321,499.0,0.5720290467421023
shat-LGBM,"(98103,)",train,78,494.409494926312,450.0,-196.7854680726634
shat-LGBM,"(98103,)",train,79,527.3255032586462,479.0,-164.2797659326735
shat-LGBM,"(98103,)",train,80,430.1022141657945,335.0,162.51916884068248
shat-LGBM,"(98103,)",train,81,467.3384913059251,430.0,-164.68578800101238
shat-LGBM,"(98103,)",train,82,467.3384913059251,685.0,-419.6857880010124
shat-LGBM,"(98103,)",train,83,518.6811593195561,409.5,-132.72350709419504
shat-LGBM,"(98103,)",train,84,485.60822710260817,660.0,-348.8803043795446
shat-LGBM,"(98103,)",train,85,662.7234946813614,700.0,-19.883837522715226
shat-LGBM,"(98103,)",train,86,480.5407829494655,660.0,-407.248233141887
shat-LGBM,"(98103,)",train,87,343.7314818597418,440.0,110.31580594534137
shat-LGBM,"(98103,)",train,88,481.4939804677336,625.0,-358.2463357753795
shat-LGBM,"(98103,)",train,89,559.3496430837948,613.0,-259.53516557369096
shat-LGBM,"(98103,)",train,90,610.416738227252,750.0,-327.60627853451484
shat-LGBM,"(98103,)",train,91,424.6008359120011,405.0,192.6546953129017
shat-LGBM,"(98103,)",train,92,632.1454544104603,967.0,-341.4911896104247
shat-LGBM,"(98103,)",train,93,376.2799874873637,389.0,-152.99755574075797
shat-LGBM,"(98103,)",train,94,453.16275309498394,802.0,-44.95495434262352
shat-LGBM,"(98103,)",train,95,507.6362698495116,525.0,-171.53516557369096
shat-LGBM,"(98103,)",train,96,493.59075149646884,1015.0,-250.66043782128054
shat-LGBM,"(98103,)",train,97,508.4381021029971,540.0,-229.28432664404215
shat-LGBM,"(98103,)",train,98,464.62418634630916,480.0,-243.99755574075797
shat-LGBM,"(98103,)",train,99,245.8790904493396,280.0,103.825308876507
shat-LGBM,"(98103,)",train,100,686.1396019970019,695.0,-306.50591356032055
shat-LGBM,"(98103,)",train,101,503.1736559715762,416.0,108.0392693905103
shat-LGBM,"(98103,)",train,102,415.5757804803877,440.0,17.88628939538586
shat-LGBM,"(98103,)",train,103,406.68914587451843,425.0,-163.3555531779902
shat-LGBM,"(98103,)",train,104,504.8381370928393,433.5,-156.72350709419504
shat-LGBM,"(98103,)",train,105,717.1044413509052,720.0,266.06469758447736
shat-LGBM,"(98103,)",train,106,434.33381455875406,390.0,-136.7854680726634
shat-LGBM,"(98103,)",train,107,959.6968889721705,599.999,1.7335951994178913
shat-LGBM,"(98103,)",train,108,680.5417719292336,825.0,44.55288023340938
shat-LGBM,"(98103,)",train,109,449.7670959972522,579.1,-351.15814905604464
shat-LGBM,"(98103,)",train,110,448.95150816212487,552.0,-71.68223826141724
shat-LGBM,"(98103,)",train,111,933.3717239207904,1045.0,56.17408735598792
shat-LGBM,"(98103,)",train,112,834.0558593407425,875.0,-362.84834569402767
shat-LGBM,"(98103,)",train,113,496.2007093349499,486.7,-230.467729656948
shat-LGBM,"(98103,)",train,114,459.5598517300025,527.5,-259.70145885212366
shat-LGBM,"(98103,)",train,115,379.2041679261911,912.0,-254.94631767796898
shat-LGBM,"(98103,)",train,116,881.146136711298,752.0,746.5472224465432
shat-LGBM,"(98103,)",train,117,312.9890273242881,450.0,-222.0581490560446
shat-LGBM,"(98103,)",train,118,582.0869120652708,680.0,-213.5485517499597
shat-LGBM,"(98103,)",train,119,464.9824875426592,400.0,206.62576037883252
shat-LGBM,"(98103,)",train,120,433.0024198108628,407.0,90.51916884068248
shat-LGBM,"(98103,)",train,121,559.2936933617414,626.5,-31.5772863896359
shat-LGBM,"(98103,)",train,122,819.7625809592677,725.0,219.4342161653907
shat-LGBM,"(98103,)",train,123,629.844945902891,775.0,-421.53516557369096
shat-LGBM,"(98103,)",train,124,440.74391401965846,630.0,-368.3555531779902
shat-LGBM,"(98103,)",train,125,592.1562680120068,745.0,-367.28618220461084
shat-LGBM,"(98103,)",train,126,628.8387687630769,716.1,153.1961244946051
shat-LGBM,"(98103,)",train,127,683.776548418799,720.0,224.4342161653907
shat-LGBM,"(98103,)",train,128,364.66872072873446,430.0,-40.70637041338949
shat-LGBM,"(98103,)",train,129,392.66808141309787,465.0,3.4093940662801288
shat-LGBM,"(98103,)",train,130,595.0435901851953,599.0,-245.53516557369096
shat-LGBM,"(98103,)",train,131,617.5359127405193,547.0,120.82258061715595
shat-LGBM,"(98103,)",train,132,624.5945276937243,764.0,-110.07578112023157
shat-LGBM,"(98103,)",train,133,451.1254450231179,453.0,-128.30282898157242
shat-LGBM,"(98103,)",train,134,793.2972679132563,702.5,347.5977971698064
shat-LGBM,"(98103,)",train,135,642.9549016611103,798.75,-148.0991919719031
shat-LGBM,"(98103,)",train,136,1074.9029502185792,1165.0,169.22957593119304
shat-LGBM,"(98103,)",train,137,414.37037198731224,515.0,-226.65091506865627
shat-LGBM,"(98103,)",train,138,536.7325877941549,475.0,-213.3555531779902
shat-LGBM,"(98103,)",train,139,417.0276343184586,395.0,-113.28987027168756
shat-LGBM,"(98103,)",train,140,547.7193131309925,549.0,290.72139606104327
shat-LGBM,"(98103,)",train,141,634.501363050846,832.6,-470.4860314273588
shat-LGBM,"(98103,)",train,142,1126.1423830234232,1297.0,208.258902770237
shat-LGBM,"(98103,)",train,143,489.5258892448403,678.5,-73.64840097224055
shat-LGBM,"(98103,)",train,144,395.95109284773855,532.5,-270.8555531779902
shat-LGBM,"(98103,)",train,145,967.8251993633896,1315.0,-341.3489640392212
shat-LGBM,"(98103,)",train,146,634.5703815378199,767.5,-345.10627853451484
shat-LGBM,"(98103,)",train,147,616.679690278752,300.0,80.28635919698132
shat-LGBM,"(98103,)",train,148,555.4654876922539,640.0,-373.3160334726217
shat-LGBM,"(98103,)",train,149,409.1601622728822,578.888,-325.67346807266347
shat-LGBM,"(98103,)",train,150,406.768440327124,480.0,-12.82948001554854
shat-LGBM,"(98103,)",train,151,578.1225010064907,720.0,-158.04275743235485
shat-LGBM,"(98103,)",train,152,686.8616183660831,1000.0,-399.3778594708356
shat-LGBM,"(98103,)",train,153,592.0572543865006,629.0,-283.3023316843004
shat-LGBM,"(98103,)",train,154,622.2602311342023,650.0,-261.50591356032055
shat-LGBM,"(98103,)",train,155,610.9271706186223,730.0,-425.5259921589683
shat-LGBM,"(98103,)",train,156,349.98525062753936,665.0,-75.17863763691821
shat-LGBM,"(98103,)",train,157,461.77875915447777,450.0,-182.20145885212366
shat-LGBM,"(98103,)",train,158,500.25144622806414,447.5,-179.70145885212366
shat-LGBM,"(98103,)",train,159,826.8348980990747,980.0,-605.0246938462601
shat-LGBM,"(98103,)",train,160,380.18897341131014,370.0,-108.3555531779902
shat-LGBM,"(98103,)",train,161,539.8575112044084,526.0,-101.20642387391524
shat-LGBM,"(98103,)",train,162,417.86590966313685,620.0,-366.78546807266343
shat-LGBM,"(98103,)",train,163,712.4284534432098,780.0,-326.72986649392595
shat-LGBM,"(98103,)",train,164,912.3617623060123,1030.0,-358.0060377427268
shat-LGBM,"(98103,)",train,165,422.55387176023993,510.0,-221.19634904999407
shat-LGBM,"(98103,)",train,166,616.8438936860766,650.0,-55.0772863896359
shat-LGBM,"(98103,)",train,167,595.9054503823388,700.0,-93.37423962116748
shat-LGBM,"(98103,)",train,168,553.879171540093,650.0,-393.767729656948
shat-LGBM,"(98103,)",train,169,826.1992987689678,1695.0,-377.2692757448808
shat-LGBM,"(98103,)",train,170,425.66493768021996,360.0,107.17051998445146
shat-LGBM,"(98103,)",train,171,494.52766481670886,625.0,-381.3072445311333
shat-LGBM,"(98103,)",train,172,584.8983014828669,549.0,55.85159902775945
shat-LGBM,"(98103,)",train,173,538.2408820682173,550.0,13.129403081645478
shat-LGBM,"(98103,)",train,174,390.0414888486581,393.0,-131.3555531779902
shat-LGBM,"(98103,)",train,175,605.2598891120895,539.0,65.85159902775945
shat-LGBM,"(98103,)",train,176,514.7388324345385,575.575,-322.3604680726635
shat-LGBM,"(98103,)",train,177,337.7198759366172,313.0,70.825308876507
shat-LGBM,"(98103,)",train,178,413.3667649434173,320.0,169.60097187399782
shat-LGBM,"(98103,)",train,179,609.5771299444918,599.0,19.879226304769873
shat-LGBM,"(98103,)",train,180,433.0024198108628,406.1,132.84229168835896
shat-LGBM,"(98103,)",train,181,490.1925716976041,550.0,-283.3160334726217
shat-LGBM,"(98103,)",train,182,430.7295972819769,355.0,124.24595324189914
shat-LGBM,"(98103,)",train,183,543.1274663187979,560.0,-278.28987027168756
shat-LGBM,"(98103,)",train,184,760.6200958387554,725.0,-100.03137098607897
shat-LGBM,"(98103,)",train,185,913.0926775644897,870.0,-57.417469332337305
shat-LGBM,"(98103,)",train,186,590.6310128363397,499.95,-161.04101517200547
shat-LGBM,"(98103,)",train,187,471.43908180664056,587.206,-4.785524295434584
shat-LGBM,"(98103,)",train,188,478.1037409055156,515.0,-261.32491150786086
shat-LGBM,"(98103,)",train,189,613.6429722089943,875.0,-280.0341464696123
shat-LGBM,"(98103,)",train,190,424.66109682175517,280.0,-52.05814905604461
shat-LGBM,"(98103,)",train,191,400.8212059700155,380.5,84.08276775087194
shat-LGBM,"(98103,)",train,192,436.6233754234674,550.0,-291.5925994222035
shat-LGBM,"(98103,)",train,193,446.47594942502906,460.0,-201.2834005080593
shat-LGBM,"(98103,)",train,194,416.7748825111762,345.0,124.79813820807902
shat-LGBM,"(98103,)",train,195,656.5865112951467,875.0,55.7762869407959
shat-LGBM,"(98103,)",train,196,477.9698711954135,455.0,-166.65091506865627
shat-LGBM,"(98103,)",train,197,1048.4698631395192,1000.0,98.19278205087949
shat-LGBM,"(98103,)",train,198,698.3944485932354,585.0,141.8074564098531
shat-LGBM,"(98103,)",train,199,658.0296404096454,785.0,-190.03414646961232
shat-LGBM,"(98103,)",train,200,443.8893610352803,450.0,261.18394232031574
shat-LGBM,"(98103,)",train,201,883.733331663323,980.0,165.0297018554545
shat-LGBM,"(98103,)",train,202,403.694566572778,342.0,125.17051998445146
shat-LGBM,"(98103,)",train,203,597.7124083223038,775.0,-400.0246938462601
shat-LGBM,"(98103,)",train,204,504.3656928629387,565.0,-212.19130622401718
shat-LGBM,"(98103,)",train,205,391.36864733735797,459.5,-14.686060393172397
shat-LGBM,"(98103,)",train,206,666.8253230136506,810.0,-361.9448107431919
shat-LGBM,"(98103,)",train,207,566.4707129921226,475.0,131.62576037883252
shat-LGBM,"(98103,)",train,208,433.0024198108628,382.0,156.94229168835898
shat-LGBM,"(98103,)",train,209,448.95150816212487,510.0,28.942291688358978
shat-LGBM,"(98103,)",train,210,425.20957397774475,349.95,188.992291688359
shat-LGBM,"(98103,)",train,211,323.36001566320533,452.0,98.31580594534137
shat-LGBM,"(98103,)",train,212,590.307045546245,601.15,-6.184146469612301
shat-LGBM,"(98103,)",train,213,580.5213064603477,588.0,-128.22750088367758
shat-LGBM,"(98103,)",train,214,514.547994565677,500.0,-185.2797659326735
shat-LGBM,"(98103,)",train,215,652.318147594887,760.5,-165.53414646961232
shat-LGBM,"(98103,)",train,216,458.69866726564084,470.0,-124.7454614008563
shat-LGBM,"(98103,)",train,217,471.77950390845916,604.0,-376.0581490560446
shat-LGBM,"(98103,)",train,218,433.0024198108628,425.0,113.94229168835898
shat-LGBM,"(98103,)",train,219,464.96014950895704,452.0,-171.24810316142867
