All Tested Subsets:
Subset: (0,), P-Value: 0.00325415210496242000501, Loss: 122340.85266783500264864414930
Subset: (1,), P-Value: 0.00181964801332155923230, Loss: 137418.19118607303244061768055
Subset: (2,), P-Value: 0.00891369979699527768824, Loss: 90211.18316037608019541949034
Subset: (3,), P-Value: 0.00780761362885141856072, Loss: 101838.10332719179859850555658
Subset: (4,), P-Value: 0.01044736280402535667788, Loss: 88697.93381851610320154577494
Subset: (5,), P-Value: 0.00654380073781421316148, Loss: 89252.63914250695961527526379
Subset: (6,), P-Value: 0.00345793898954386766387, Loss: 129768.91955342270375695079565
Subset: (7,), P-Value: 0.01177748540858470326087, Loss: 98595.53841848556476179510355
Subset: (8,), P-Value: 0.00805069413631305519363, Loss: 92271.07785255860653705894947
Subset: (9,), P-Value: 0.01726956725241437368146, Loss: 107354.44808766772621311247349
Subset: (10,), P-Value: 0.01141216233574894080294, Loss: 86533.78312167299736756831408
Subset: (0, 1), P-Value: 0.00165860965490936687963, Loss: 137612.48021544484072364866734
Subset: (0, 2), P-Value: 0.00749360797827262632015, Loss: 134695.54555174941197037696838
Subset: (0, 3), P-Value: 0.00339852290596278239915, Loss: 126238.57442611031001433730125
Subset: (0, 4), P-Value: 0.00338983051445102510912, Loss: 121548.78524565376574173569679
Subset: (0, 5), P-Value: 0.00587625741092981466324, Loss: 123980.08793270315800327807665
Subset: (0, 6), P-Value: 0.00404816193507429814696, Loss: 143516.64053287074784748256207
Subset: (0, 7), P-Value: 0.00585090405562182017118, Loss: 127847.52718716586241498589516
Subset: (0, 8), P-Value: 0.00327560750635758068938, Loss: 126038.53804520558333024382591
Subset: (0, 9), P-Value: 0.01307736228294338609590, Loss: 135597.16482069392804987728596
Subset: (0, 10), P-Value: 0.00423140417859559775371, Loss: 123690.45882123036426492035389
Subset: (1, 2), P-Value: 0.00285403247772128077289, Loss: 149798.54200468404451385140419
Subset: (1, 3), P-Value: 0.00147444278735149917302, Loss: 138708.47015891160117462277412
Subset: (1, 4), P-Value: 0.00172773431639789928384, Loss: 135870.96097245329292491078377
Subset: (1, 5), P-Value: 0.00261231443706458257153, Loss: 137485.84516084214556030929089
Subset: (1, 6), P-Value: 0.00216899755974620054438, Loss: 143240.15368675670470111072063
Subset: (1, 7), P-Value: 0.00323523034854979922928, Loss: 139636.85139497183263301849365
Subset: (1, 8), P-Value: 0.00191427428262877811702, Loss: 138311.13872788223670795559883
Subset: (1, 9), P-Value: 0.00212916627096292792112, Loss: 137966.75502603725180961191654
Subset: (1, 10), P-Value: 0.00222709087238294554251, Loss: 137714.59017761895665898919106
Subset: (2, 3), P-Value: 0.00545257932944003681497, Loss: 107165.94198860453616362065077
Subset: (2, 4), P-Value: 0.00840852118606441947812, Loss: 93168.22121560377127025276423
Subset: (2, 5), P-Value: 0.00911658314888783016805, Loss: 93400.35649021658173296600580
Subset: (2, 6), P-Value: 0.00491978047522466637592, Loss: 134820.60359045543009415268898
Subset: (2, 7), P-Value: 0.00789179982628453180471, Loss: 105875.86073006090009585022926
Subset: (2, 8), P-Value: 0.00475783006252437044858, Loss: 100557.36753026647784281522036
Subset: (2, 9), P-Value: 0.01697448616061606255223, Loss: 110590.42313445451145526021719
Subset: (2, 10), P-Value: 0.00927644521869392182922, Loss: 91301.12212695948255714029074
Subset: (3, 4), P-Value: 0.00809336137477763110926, Loss: 100308.97182307220646180212498
Subset: (3, 5), P-Value: 0.00494632028138006305668, Loss: 105410.24546057614497840404510
Subset: (3, 6), P-Value: 0.00334885694422522523298, Loss: 136916.52320929881534539163113
Subset: (3, 7), P-Value: 0.01084487085061218610005, Loss: 106632.60755307925865054130554
Subset: (3, 8), P-Value: 0.00759258647153218755449, Loss: 107695.92261366244929376989603
Subset: (3, 9), P-Value: 0.01455856080523614155819, Loss: 118258.37361683005292434245348
Subset: (3, 10), P-Value: 0.00815256165297029850025, Loss: 102556.14711719923070631921291
Subset: (4, 5), P-Value: 0.00692995306679728122895, Loss: 91787.45361618585593532770872
Subset: (4, 6), P-Value: 0.00350632019129609685468, Loss: 129296.94659095187671482563019
Subset: (4, 7), P-Value: 0.01194033121287260690302, Loss: 99625.75976759668265003710985
Subset: (4, 8), P-Value: 0.00836876540428284527995, Loss: 94374.69685434368147980421782
Subset: (4, 9), P-Value: 0.01777882046091852283332, Loss: 110368.62765987738384865224361
Subset: (4, 10), P-Value: 0.01112340799496429853688, Loss: 89515.02407905300788115710020
Subset: (5, 6), P-Value: 0.00387910767218243440757, Loss: 130450.90186349845316726714373
Subset: (5, 7), P-Value: 0.00625093534189920165683, Loss: 106286.09492891181434970349073
Subset: (5, 8), P-Value: 0.00477909491637546791909, Loss: 95144.46702144375012721866369
Subset: (5, 9), P-Value: 0.00768748955940932923031, Loss: 95228.24739026019233278930187
Subset: (5, 10), P-Value: 0.00770366820174019258094, Loss: 90145.42942649470933247357607
Subset: (6, 7), P-Value: 0.00537215014067431162470, Loss: 133374.65809552362770773470402
Subset: (6, 8), P-Value: 0.00292428479061150213211, Loss: 130437.50344960982329212129116
Subset: (6, 9), P-Value: 0.00598076675411190767512, Loss: 136083.61623153649270534515381
Subset: (6, 10), P-Value: 0.00375452001535377458130, Loss: 129495.35026369808474555611610
Subset: (7, 8), P-Value: 0.01005447403226051791836, Loss: 103102.00065096102480310946703
Subset: (7, 9), P-Value: 0.00863441269117089585383, Loss: 101612.73182497094967402517796
Subset: (7, 10), P-Value: 0.01162318601833941394963, Loss: 98675.33154265160555951297283
Subset: (8, 9), P-Value: 0.01750821933873979510676, Loss: 113596.62355653947452083230019
Subset: (8, 10), P-Value: 0.00849436733505895547047, Loss: 93273.72087499113695230334997
Subset: (9, 10), P-Value: 0.01856124667361374117047, Loss: 107520.48159540827327873557806
Subset: (0, 1, 2), P-Value: 0.00514268741980528510532, Loss: 149467.63510057688108645379543
Subset: (0, 1, 3), P-Value: 0.00187181657316233974325, Loss: 140986.87075820850441232323647
Subset: (0, 1, 4), P-Value: 0.00171492069510199829883, Loss: 136297.74694739290862344205379
Subset: (0, 1, 5), P-Value: 0.00342878379302010653090, Loss: 138345.04755977023160085082054
Subset: (0, 1, 6), P-Value: 0.00323996936216635039035, Loss: 146077.81072825269075110554695
Subset: (0, 1, 7), P-Value: 0.00402323005543354234037, Loss: 140668.53006226196885108947754
Subset: (0, 1, 8), P-Value: 0.00165306931936661980452, Loss: 141123.50562552624614909291267
Subset: (0, 1, 9), P-Value: 0.00216189910506721285482, Loss: 138918.82965332770254462957382
Subset: (0, 1, 10), P-Value: 0.00208116380994226692416, Loss: 137889.18035760187194682657719
Subset: (0, 2, 3), P-Value: 0.00831830515336513809377, Loss: 136836.58042682125233113765717
Subset: (0, 2, 4), P-Value: 0.00835037320483736182630, Loss: 133269.17744701853371225297451
Subset: (0, 2, 5), P-Value: 0.00796832537831973324038, Loss: 134485.75350240978877991437912
Subset: (0, 2, 6), P-Value: 0.00758640277550996170591, Loss: 150231.63352953564026392996311
Subset: (0, 2, 7), P-Value: 0.00829668082047738814078, Loss: 137706.41297384756035171449184
Subset: (0, 2, 8), P-Value: 0.00936088351295659426565, Loss: 136668.22185077765607275068760
Subset: (0, 2, 9), P-Value: 0.01278664330954966746323, Loss: 139903.93070500739850103855133
Subset: (0, 2, 10), P-Value: 0.00759049962083583641681, Loss: 135111.59105932808597572147846
Subset: (0, 3, 4), P-Value: 0.00342860771013275790128, Loss: 124431.46005376034008804708719
Subset: (0, 3, 5), P-Value: 0.00548171477964620647988, Loss: 128100.40111727757903281599283
Subset: (0, 3, 6), P-Value: 0.00472333170970930249499, Loss: 147003.76624834432732313871384
Subset: (0, 3, 7), P-Value: 0.00583360583471926458232, Loss: 129923.70813049265416339039803
Subset: (0, 3, 8), P-Value: 0.00342943129922184232819, Loss: 130163.34030733382678590714931
Subset: (0, 3, 9), P-Value: 0.01395090237939887629903, Loss: 138073.02993661854998208582401
Subset: (0, 3, 10), P-Value: 0.00440970280156493307094, Loss: 127276.83602789785072673112154
Subset: (0, 4, 5), P-Value: 0.00646434613796340214187, Loss: 123371.65397099452093243598938
Subset: (0, 4, 6), P-Value: 0.00400062622011048037163, Loss: 141950.17420387541642412543297
Subset: (0, 4, 7), P-Value: 0.00604787125930124867812, Loss: 126312.52451771195046603679657
Subset: (0, 4, 8), P-Value: 0.00343884517622474079890, Loss: 125420.62384414512780494987965
Subset: (0, 4, 9), P-Value: 0.01440680535934850230173, Loss: 134896.44934248755453154444695
Subset: (0, 4, 10), P-Value: 0.00452288881666262562731, Loss: 122928.90259134773805271834135
Subset: (0, 5, 6), P-Value: 0.00590547598954486389206, Loss: 144228.06735814525745809078217
Subset: (0, 5, 7), P-Value: 0.00672935986545337202352, Loss: 129489.14431727936607785522938
Subset: (0, 5, 8), P-Value: 0.00572111821844801127918, Loss: 126033.24542613406083546578884
Subset: (0, 5, 9), P-Value: 0.00887253248621028105247, Loss: 128539.46395347622456029057503
Subset: (0, 5, 10), P-Value: 0.00601626231921723476220, Loss: 125015.81336441406165249645710
Subset: (0, 6, 7), P-Value: 0.00837109109000759923913, Loss: 147584.99188943006447516381741
Subset: (0, 6, 8), P-Value: 0.00435813613771345378933, Loss: 146930.33741930205724202096462
Subset: (0, 6, 9), P-Value: 0.03757485075062405588397, Loss: 168364.65815493732225149869919
Subset: (0, 6, 10), P-Value: 0.00462650249820993186151, Loss: 143526.64563789835665374994278
Subset: (0, 7, 8), P-Value: 0.00545015609286816395118, Loss: 131141.24339089659042656421661
Subset: (0, 7, 9), P-Value: 0.00692994839871020895661, Loss: 130667.45918747768155299127102
Subset: (0, 7, 10), P-Value: 0.00659424677952397900876, Loss: 128329.61045141209615394473076
Subset: (0, 8, 9), P-Value: 0.01616526870944674440511, Loss: 141529.32886344988946802914143
Subset: (0, 8, 10), P-Value: 0.00453112688987892739401, Loss: 127152.42663615825586020946503
Subset: (0, 9, 10), P-Value: 0.01469050110061563899078, Loss: 135814.18529340074746869504452
Subset: (1, 2, 3), P-Value: 0.00252944773171897251129, Loss: 149528.77318373403977602720261
Subset: (1, 2, 4), P-Value: 0.00276029172817926363517, Loss: 147696.66175261556054465472698
Subset: (1, 2, 5), P-Value: 0.00477823873521410029397, Loss: 147681.51031558145768940448761
Subset: (1, 2, 6), P-Value: 0.00327041126876343422880, Loss: 151375.69028126142802648246288
Subset: (1, 2, 7), P-Value: 0.00345033162146335869655, Loss: 151640.53150805956101976335049
Subset: (1, 2, 8), P-Value: 0.00386036062180541896666, Loss: 149012.77948178534279577434063
Subset: (1, 2, 9), P-Value: 0.00529264674710110821776, Loss: 154175.33504638756858184933662
Subset: (1, 2, 10), P-Value: 0.00301099239794859474539, Loss: 149727.46841515242704190313816
Subset: (1, 3, 4), P-Value: 0.00149236835458335594280, Loss: 137103.30894606720539741218090
Subset: (1, 3, 5), P-Value: 0.00206159631169211890467, Loss: 138938.61080616022809408605099
Subset: (1, 3, 6), P-Value: 0.00198816074773369363959, Loss: 145501.81655826413771137595177
Subset: (1, 3, 7), P-Value: 0.00257730926554059457112, Loss: 141288.47389206872321665287018
Subset: (1, 3, 8), P-Value: 0.00178948493730374095546, Loss: 139953.43726023242925293743610
Subset: (1, 3, 9), P-Value: 0.00180398665834612353769, Loss: 139255.93367328992462716996670
Subset: (1, 3, 10), P-Value: 0.00180439841293993292505, Loss: 138976.73982591356616467237473
Subset: (1, 4, 5), P-Value: 0.00248207463975457865227, Loss: 136047.35950764222070574760437
