All Tested Subsets:
Subset: (0,), P-Value: 1.00000000000000000000000, Loss: 41977.18452787795104086399078
Subset: (1,), P-Value: 1.00000000000000000000000, Loss: 39716.64050735041382722556591
Subset: (2,), P-Value: 1.00000000000000000000000, Loss: 37561.84979051338450517505407
Subset: (3,), P-Value: 1.00000000000000000000000, Loss: 43143.77802160652208840474486
Subset: (4,), P-Value: 1.00000000000000000000000, Loss: 36330.86699253792903618887067
Subset: (5,), P-Value: 1.00000000000000000000000, Loss: 36241.44957138498284621164203
Subset: (6,), P-Value: 1.00000000000000000000000, Loss: 38855.22881735317787388339639
Subset: (7,), P-Value: 1.00000000000000000000000, Loss: 35359.78683647459547501057386
Subset: (8,), P-Value: 1.00000000000000000000000, Loss: 34465.00261595764459343627095
Subset: (9,), P-Value: 1.00000000000000000000000, Loss: 37445.98141799670702312141657
Subset: (10,), P-Value: 1.00000000000000000000000, Loss: 37667.24156571300409268587828
Subset: (0, 1), P-Value: 1.00000000000000000000000, Loss: 42519.89701117337244795635343
Subset: (0, 2), P-Value: 1.00000000000000000000000, Loss: 48704.02076957416284130886197
Subset: (0, 3), P-Value: 1.00000000000000000000000, Loss: 44120.38390989842446288093925
Subset: (0, 4), P-Value: 1.00000000000000000000000, Loss: 43686.89980071584432153031230
Subset: (0, 5), P-Value: 1.00000000000000000000000, Loss: 45255.16248907276167301461101
Subset: (0, 6), P-Value: 1.00000000000000000000000, Loss: 43215.23678785508673172444105
Subset: (0, 7), P-Value: 1.00000000000000000000000, Loss: 45047.12370128525071777403355
Subset: (0, 8), P-Value: 1.00000000000000000000000, Loss: 42928.28875190533290151506662
Subset: (0, 9), P-Value: 1.00000000000000000000000, Loss: 42763.91860248739976668730378
Subset: (0, 10), P-Value: 1.00000000000000000000000, Loss: 42959.10484550804540049284697
Subset: (1, 2), P-Value: 1.00000000000000000000000, Loss: 45696.03424865675333421677351
Subset: (1, 3), P-Value: 1.00000000000000000000000, Loss: 43511.97190450093330582603812
Subset: (1, 4), P-Value: 1.00000000000000000000000, Loss: 43904.43357533554080873727798
Subset: (1, 5), P-Value: 1.00000000000000000000000, Loss: 42749.14013642896316014230251
Subset: (1, 6), P-Value: 1.00000000000000000000000, Loss: 41748.03438597468630177900195
Subset: (1, 7), P-Value: 1.00000000000000000000000, Loss: 41949.73006976328906603157520
Subset: (1, 8), P-Value: 1.00000000000000000000000, Loss: 40493.92169302952243015170097
Subset: (1, 9), P-Value: 1.00000000000000000000000, Loss: 40565.82545564262545667588711
Subset: (1, 10), P-Value: 1.00000000000000000000000, Loss: 40644.61144373072602320462465
Subset: (2, 3), P-Value: 1.00000000000000000000000, Loss: 49093.44265716132213128730655
Subset: (2, 4), P-Value: 1.00000000000000000000000, Loss: 40815.35404999637103173881769
Subset: (2, 5), P-Value: 1.00000000000000000000000, Loss: 38687.95867584043298847973347
Subset: (2, 6), P-Value: 1.00000000000000000000000, Loss: 44606.59286175441229715943336
Subset: (2, 7), P-Value: 1.00000000000000000000000, Loss: 38463.94672169986006338149309
Subset: (2, 8), P-Value: 1.00000000000000000000000, Loss: 38099.55031382061133626848459
Subset: (2, 9), P-Value: 1.00000000000000000000000, Loss: 41816.86905234300502343103290
Subset: (2, 10), P-Value: 1.00000000000000000000000, Loss: 42351.23463246908795554190874
Subset: (3, 4), P-Value: 1.00000000000000000000000, Loss: 43997.25465755203185835853219
Subset: (3, 5), P-Value: 1.00000000000000000000000, Loss: 46545.62215577489405404776335
Subset: (3, 6), P-Value: 1.00000000000000000000000, Loss: 44088.40975432174309389665723
Subset: (3, 7), P-Value: 1.00000000000000000000000, Loss: 45679.20466189053695416077971
Subset: (3, 8), P-Value: 1.00000000000000000000000, Loss: 43709.10396662681887391954660
Subset: (3, 9), P-Value: 1.00000000000000000000000, Loss: 43576.86543185111077036708593
Subset: (3, 10), P-Value: 1.00000000000000000000000, Loss: 44326.91765892828698270022869
Subset: (4, 5), P-Value: 1.00000000000000000000000, Loss: 38663.43344498762598959729075
Subset: (4, 6), P-Value: 1.00000000000000000000000, Loss: 39686.22198433502489933744073
Subset: (4, 7), P-Value: 1.00000000000000000000000, Loss: 37720.97340553257527062669396
Subset: (4, 8), P-Value: 1.00000000000000000000000, Loss: 36717.48374343745672376826406
Subset: (4, 9), P-Value: 1.00000000000000000000000, Loss: 38726.27530054643284529447556
Subset: (4, 10), P-Value: 1.00000000000000000000000, Loss: 39768.19406875620916252955794
Subset: (5, 6), P-Value: 1.00000000000000000000000, Loss: 41450.43092588910803897306323
Subset: (5, 7), P-Value: 1.00000000000000000000000, Loss: 36449.59585317999881226569414
Subset: (5, 8), P-Value: 1.00000000000000000000000, Loss: 36684.54059656434401404112577
Subset: (5, 9), P-Value: 1.00000000000000000000000, Loss: 40091.43771817738161189481616
Subset: (5, 10), P-Value: 1.00000000000000000000000, Loss: 40892.80706670104700606316328
Subset: (6, 7), P-Value: 1.00000000000000000000000, Loss: 40616.68157166523451451212168
Subset: (6, 8), P-Value: 1.00000000000000000000000, Loss: 39311.90458150219637900590897
Subset: (6, 9), P-Value: 1.00000000000000000000000, Loss: 39762.63423787149076815694571
Subset: (6, 10), P-Value: 1.00000000000000000000000, Loss: 40743.08557561176712624728680
Subset: (7, 8), P-Value: 1.00000000000000000000000, Loss: 35806.74940140080434503033757
Subset: (7, 9), P-Value: 1.00000000000000000000000, Loss: 39184.48235792556806700304151
Subset: (7, 10), P-Value: 1.00000000000000000000000, Loss: 39814.50909708526887698099017
Subset: (8, 9), P-Value: 1.00000000000000000000000, Loss: 37767.99141535849776118993759
Subset: (8, 10), P-Value: 1.00000000000000000000000, Loss: 38358.90238049141771625727415
Subset: (9, 10), P-Value: 1.00000000000000000000000, Loss: 39285.30795574424701044335961
Subset: (0, 1, 2), P-Value: 1.00000000000000000000000, Loss: 49866.95262838199414545670152
Subset: (0, 1, 3), P-Value: 1.00000000000000000000000, Loss: 44717.63599573347164550796151
Subset: (0, 1, 4), P-Value: 1.00000000000000000000000, Loss: 45083.31190458108176244422793
Subset: (0, 1, 5), P-Value: 1.00000000000000000000000, Loss: 45930.17421882549388101324439
Subset: (0, 1, 6), P-Value: 1.00000000000000000000000, Loss: 43871.26676783278526272624731
Subset: (0, 1, 7), P-Value: 1.00000000000000000000000, Loss: 45703.37345649058988783508539
Subset: (0, 1, 8), P-Value: 1.00000000000000000000000, Loss: 43508.43148672811366850510240
Subset: (0, 1, 9), P-Value: 1.00000000000000000000000, Loss: 43073.27913105833431473001838
Subset: (0, 1, 10), P-Value: 1.00000000000000000000000, Loss: 43845.00675764610787155106664
Subset: (0, 2, 3), P-Value: 1.00000000000000000000000, Loss: 51306.17105794141389196738601
Subset: (0, 2, 4), P-Value: 1.00000000000000000000000, Loss: 49461.97210842573258560150862
Subset: (0, 2, 5), P-Value: 1.00000000000000000000000, Loss: 49209.54419285146286711096764
Subset: (0, 2, 6), P-Value: 1.00000000000000000000000, Loss: 50430.42064076037786435335875
Subset: (0, 2, 7), P-Value: 1.00000000000000000000000, Loss: 49324.60379528890189249068499
Subset: (0, 2, 8), P-Value: 1.00000000000000000000000, Loss: 49004.85566160285088699311018
Subset: (0, 2, 9), P-Value: 1.00000000000000000000000, Loss: 49489.30462217194872209802270
Subset: (0, 2, 10), P-Value: 1.00000000000000000000000, Loss: 49369.85794798316055675968528
Subset: (0, 3, 4), P-Value: 1.00000000000000000000000, Loss: 45101.45845058999111643061042
Subset: (0, 3, 5), P-Value: 1.00000000000000000000000, Loss: 47512.11388496904692146927118
Subset: (0, 3, 6), P-Value: 1.00000000000000000000000, Loss: 45459.90385113812226336449385
Subset: (0, 3, 7), P-Value: 1.00000000000000000000000, Loss: 46960.46795908689819043502212
Subset: (0, 3, 8), P-Value: 1.00000000000000000000000, Loss: 44918.68910380760644329711795
Subset: (0, 3, 9), P-Value: 1.00000000000000000000000, Loss: 44561.37649201227759476751089
Subset: (0, 3, 10), P-Value: 1.00000000000000000000000, Loss: 45960.25897220880870008841157
Subset: (0, 4, 5), P-Value: 1.00000000000000000000000, Loss: 46874.53552025224053068086505
Subset: (0, 4, 6), P-Value: 1.00000000000000000000000, Loss: 44219.11645633649459341540933
Subset: (0, 4, 7), P-Value: 1.00000000000000000000000, Loss: 46459.00919927068025572225451
Subset: (0, 4, 8), P-Value: 1.00000000000000000000000, Loss: 44403.98330206205719150602818
Subset: (0, 4, 9), P-Value: 1.00000000000000000000000, Loss: 44160.17308095777843846008182
Subset: (0, 4, 10), P-Value: 1.00000000000000000000000, Loss: 44410.12746141110255848616362
Subset: (0, 5, 6), P-Value: 1.00000000000000000000000, Loss: 46191.53229516698047518730164
Subset: (0, 5, 7), P-Value: 1.00000000000000000000000, Loss: 45596.56740018526033964008093
Subset: (0, 5, 8), P-Value: 1.00000000000000000000000, Loss: 46256.32217936693632509559393
Subset: (0, 5, 9), P-Value: 1.00000000000000000000000, Loss: 45975.96831849798763869330287
Subset: (0, 5, 10), P-Value: 1.00000000000000000000000, Loss: 46262.57353791921923402696848
Subset: (0, 6, 7), P-Value: 1.00000000000000000000000, Loss: 45996.43088173052819911390543
Subset: (0, 6, 8), P-Value: 1.00000000000000000000000, Loss: 43969.47869036678457632660866
Subset: (0, 6, 9), P-Value: 1.00000000000000000000000, Loss: 43590.35426725087745580822229
Subset: (0, 6, 10), P-Value: 1.00000000000000000000000, Loss: 44305.76337568262533750385046
Subset: (0, 7, 8), P-Value: 1.00000000000000000000000, Loss: 45978.21160881160176359117031
Subset: (0, 7, 9), P-Value: 1.00000000000000000000000, Loss: 45661.54615212731732754036784
Subset: (0, 7, 10), P-Value: 1.00000000000000000000000, Loss: 46100.62767660998360952362418
Subset: (0, 8, 9), P-Value: 1.00000000000000000000000, Loss: 43632.52368249255232512950897
Subset: (0, 8, 10), P-Value: 1.00000000000000000000000, Loss: 43743.82495718689460773020983
Subset: (0, 9, 10), P-Value: 1.00000000000000000000000, Loss: 43791.92373069544555619359016
Subset: (1, 2, 3), P-Value: 1.00000000000000000000000, Loss: 49194.93366840825183317065239
Subset: (1, 2, 4), P-Value: 1.00000000000000000000000, Loss: 49301.53735626430716365575790
Subset: (1, 2, 5), P-Value: 1.00000000000000000000000, Loss: 46947.31880716096929972991347
Subset: (1, 2, 6), P-Value: 1.00000000000000000000000, Loss: 48547.00698123051552101969719
Subset: (1, 2, 7), P-Value: 1.00000000000000000000000, Loss: 46644.32513744296011282131076
Subset: (1, 2, 8), P-Value: 1.00000000000000000000000, Loss: 46073.02219196459918748587370
Subset: (1, 2, 9), P-Value: 1.00000000000000000000000, Loss: 46349.89172050679917447268963
Subset: (1, 2, 10), P-Value: 1.00000000000000000000000, Loss: 46316.21535220943769672885537
Subset: (1, 3, 4), P-Value: 1.00000000000000000000000, Loss: 44211.05110729867737973108888
Subset: (1, 3, 5), P-Value: 1.00000000000000000000000, Loss: 46959.86626952007645741105080
Subset: (1, 3, 6), P-Value: 1.00000000000000000000000, Loss: 44436.76494397533679148182273
Subset: (1, 3, 7), P-Value: 1.00000000000000000000000, Loss: 46089.68836469823872903361917
Subset: (1, 3, 8), P-Value: 1.00000000000000000000000, Loss: 44004.85931867190811317414045
Subset: (1, 3, 9), P-Value: 1.00000000000000000000000, Loss: 43872.27461795174167491495609
Subset: (1, 3, 10), P-Value: 1.00000000000000000000000, Loss: 44512.72610881923901615664363
Subset: (1, 4, 5), P-Value: 1.00000000000000000000000, Loss: 47301.22482886175566818565130
