All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 47205.07051961925026262179017
Subset: (1,), P-Value: 0.00000000000000000000000, Loss: 71319.88103850687912199646235
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 81183.78123688518826384097338
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 76884.80709754266717936843634
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 82462.09796835276938509196043
Subset: (5,), P-Value: 0.00000000000000000000250, Loss: 47272.43420282111765118315816
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 85767.69593738319235853850842
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 77343.10427337411965709179640
Subset: (8,), P-Value: 0.00000000000000000000541, Loss: 60390.54270612356776837259531
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 77368.21034550137119367718697
Subset: (10,), P-Value: 0.00000000000000000000000, Loss: 82637.32413532564532943069935
Subset: (0, 1), P-Value: 0.00000000000000000000000, Loss: 45205.39580020601715659722686
Subset: (0, 2), P-Value: 0.00000000000000000000000, Loss: 45073.96465312231885036453605
Subset: (0, 3), P-Value: 0.00000000000000000000000, Loss: 46343.34821979620028287172318
Subset: (0, 4), P-Value: 0.00000000000000000000000, Loss: 39835.55818085087230429053307
Subset: (0, 5), P-Value: 0.00000000000000000000000, Loss: 43271.34663127215753775089979
Subset: (0, 6), P-Value: 0.00000000000000000000000, Loss: 46964.43516395764163462445140
Subset: (0, 7), P-Value: 0.00000000000000000000000, Loss: 44607.91323076725529972463846
Subset: (0, 8), P-Value: 0.00000000000000000000000, Loss: 50267.46034600332495756447315
Subset: (0, 9), P-Value: 0.00000000000000001396662, Loss: 45776.28112271999998483806849
Subset: (0, 10), P-Value: 0.00000000000000000001289, Loss: 48417.50168746565032051876187
Subset: (1, 2), P-Value: 0.00000000000000000000000, Loss: 67263.49822575405414681881666
Subset: (1, 3), P-Value: 0.00000000000000000000000, Loss: 63650.62183368736441479995847
Subset: (1, 4), P-Value: 0.00000000000000000000000, Loss: 69544.08345448903855867683887
Subset: (1, 5), P-Value: 0.00000000000000000000000, Loss: 44144.98982731664727907627821
Subset: (1, 6), P-Value: 0.00000000000000000000000, Loss: 71474.43285339488647878170013
Subset: (1, 7), P-Value: 0.00000000000000000000000, Loss: 66789.49624311464140191674232
Subset: (1, 8), P-Value: 0.00000000000000000000000, Loss: 52904.52131593236117623746395
Subset: (1, 9), P-Value: 0.00000000000000000000000, Loss: 65571.92438022971327882260084
Subset: (1, 10), P-Value: 0.00000000000000000000000, Loss: 68937.04548542977136094123125
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 73142.70176168841135222464800
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 80220.65574997387011535465717
Subset: (2, 5), P-Value: 0.00000000000000096064100, Loss: 45912.31584655940969241783023
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 80980.30749922229733783751726
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 67272.84117530351795721799135
Subset: (2, 8), P-Value: 0.00000000000000000280279, Loss: 58375.70485869339609052985907
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 74365.51761253215954639017582
Subset: (2, 10), P-Value: 0.00000000000000000000001, Loss: 74776.54904626386996824294329
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 73692.05312267261615488678217
Subset: (3, 5), P-Value: 0.00000000000000000034887, Loss: 47254.86682098318124189972878
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 77208.13694094191305339336395
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 72659.22783613939827773720026
Subset: (3, 8), P-Value: 0.00000000000000000107620, Loss: 58921.69771434446738567203283
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 71468.75294678342470433562994
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 74588.47983734263107180595398
Subset: (4, 5), P-Value: 0.00000000000000050856782, Loss: 43672.10436505807592766359448
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 82130.80851466910098679363728
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 73156.66180324471497442573309
Subset: (4, 8), P-Value: 0.00000000000000000093117, Loss: 52569.47411418791307369247079
Subset: (4, 9), P-Value: 0.00000000000000000042441, Loss: 69225.87567452237999532371759
Subset: (4, 10), P-Value: 0.00000000000000241265188, Loss: 70940.20905148018209729343653
Subset: (5, 6), P-Value: 0.00000000000000000000020, Loss: 46946.20965793179493630304933
Subset: (5, 7), P-Value: 0.00000000000000000000056, Loss: 47803.49279506593302357941866
Subset: (5, 8), P-Value: 0.00000000000000000000000, Loss: 48379.44810571356356376782060
Subset: (5, 9), P-Value: 0.00000000000000001005642, Loss: 46029.88206520337553229182959
Subset: (5, 10), P-Value: 0.00000000000000000042895, Loss: 44508.33852580489474348723888
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 77918.31012357775762211531401
Subset: (6, 8), P-Value: 0.00000000000000000001449, Loss: 60012.55330429948662640526891
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 78086.24834990523231681436300
Subset: (6, 10), P-Value: 0.00000000000000000000000, Loss: 83069.88879516336601227521896
Subset: (7, 8), P-Value: 0.00000000000000000000000, Loss: 57644.04941569509537657722831
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 74751.81095397021272219717503
Subset: (7, 10), P-Value: 0.00000000000000000000000, Loss: 75723.54901554579555522650480
Subset: (8, 9), P-Value: 0.00000000000003486998372, Loss: 55971.28993740039732074365020
Subset: (8, 10), P-Value: 0.00000000000000424577250, Loss: 56507.76703730405279202386737
Subset: (9, 10), P-Value: 0.00000000000000000000000, Loss: 78530.92588017940579447895288
Subset: (0, 1, 2), P-Value: 0.00000000000000000000000, Loss: 44154.20141710379539290443063
Subset: (0, 1, 3), P-Value: 0.00000000000000000000000, Loss: 43622.52716814153245650231838
Subset: (0, 1, 4), P-Value: 0.00000000000000000000019, Loss: 38406.39194551890977891162038
Subset: (0, 1, 5), P-Value: 0.00000000000000000000000, Loss: 40812.41323199357429984956980
Subset: (0, 1, 6), P-Value: 0.00000000000000000000000, Loss: 45353.18881736502225976437330
Subset: (0, 1, 7), P-Value: 0.00000000000000000000000, Loss: 42409.27021093349321745336056
Subset: (0, 1, 8), P-Value: 0.00000000000000000000000, Loss: 44627.63369608778884867206216
Subset: (0, 1, 9), P-Value: 0.00000000000000012214895, Loss: 42354.02266979293199256062508
Subset: (0, 1, 10), P-Value: 0.00000000000000000000554, Loss: 43458.47867612108530011028051
Subset: (0, 2, 3), P-Value: 0.00000000000000000000000, Loss: 43539.87283105326787335798144
Subset: (0, 2, 4), P-Value: 0.00000000000000000000020, Loss: 38677.87032749680656706914306
Subset: (0, 2, 5), P-Value: 0.00000000000000000000013, Loss: 41318.01828870333702070638537
Subset: (0, 2, 6), P-Value: 0.00000000000000000000000, Loss: 44928.18573496861063176766038
Subset: (0, 2, 7), P-Value: 0.00000000000000000000000, Loss: 41724.65940982692700345069170
Subset: (0, 2, 8), P-Value: 0.00000000000000000000023, Loss: 47369.28184067370602861046791
Subset: (0, 2, 9), P-Value: 0.00000000000000000329949, Loss: 44278.29624608095764415338635
Subset: (0, 2, 10), P-Value: 0.00000000000000000000408, Loss: 46176.99099670024588704109192
Subset: (0, 3, 4), P-Value: 0.00000000000000000000000, Loss: 39074.33238874172820942476392
Subset: (0, 3, 5), P-Value: 0.00000000000000000000002, Loss: 43208.18543770160613348707557
Subset: (0, 3, 6), P-Value: 0.00000000000000000000000, Loss: 46313.91073588123981608077884
Subset: (0, 3, 7), P-Value: 0.00000000000000000000000, Loss: 44531.81754970536712789908051
Subset: (0, 3, 8), P-Value: 0.00000000000000000000000, Loss: 48571.50738848456967389211059
Subset: (0, 3, 9), P-Value: 0.00000000000000109264578, Loss: 45214.55656778501725057139993
Subset: (0, 3, 10), P-Value: 0.00000000000000000000362, Loss: 45850.92561338168889051303267
Subset: (0, 4, 5), P-Value: 0.00000000000000837451434, Loss: 33587.04211000427312683314085
Subset: (0, 4, 6), P-Value: 0.00000000000000000000000, Loss: 40371.39569793887494597584009
Subset: (0, 4, 7), P-Value: 0.00000000000000000000000, Loss: 39795.61223563247767742723227
Subset: (0, 4, 8), P-Value: 0.00000000000000000974497, Loss: 36922.72408093905687564983964
Subset: (0, 4, 9), P-Value: 0.00000000000000002890913, Loss: 37546.08498531035002088174224
Subset: (0, 4, 10), P-Value: 0.00000000000000000662912, Loss: 37338.95072718452138360589743
Subset: (0, 5, 6), P-Value: 0.00000000000000000000000, Loss: 42754.27016677970823366194963
Subset: (0, 5, 7), P-Value: 0.00000000000000000000001, Loss: 41815.85256589355412870645523
Subset: (0, 5, 8), P-Value: 0.00000000000000000000000, Loss: 45995.24823219211248215287924
Subset: (0, 5, 9), P-Value: 0.00000000000000000181776, Loss: 41883.89799287933419691398740
Subset: (0, 5, 10), P-Value: 0.00000000000000000052920, Loss: 40931.14940821853815577924252
Subset: (0, 6, 7), P-Value: 0.00000000000000000000000, Loss: 44727.58456053860572865232825
Subset: (0, 6, 8), P-Value: 0.00000000000000000000000, Loss: 49958.54840282747318269684911
Subset: (0, 6, 9), P-Value: 0.00000000000000067427428, Loss: 45510.66229179934452986344695
Subset: (0, 6, 10), P-Value: 0.00000000000000000000629, Loss: 47873.50361583901394624263048
Subset: (0, 7, 8), P-Value: 0.00000000000000000000000, Loss: 47795.62308241593564162030816
Subset: (0, 7, 9), P-Value: 0.00000000000000000901085, Loss: 43120.42268630051694344729185
Subset: (0, 7, 10), P-Value: 0.00000000000000000000330, Loss: 42753.16474639305670280009508
Subset: (0, 8, 9), P-Value: 0.00000000000000009415341, Loss: 45587.23654162345337681472301
Subset: (0, 8, 10), P-Value: 0.00000000000000000055574, Loss: 46555.39273857865191530436277
Subset: (0, 9, 10), P-Value: 0.00000000000000000000021, Loss: 47192.87066403495555277913809
Subset: (1, 2, 3), P-Value: 0.00000000000000000000000, Loss: 60941.38587577311409404501319
Subset: (1, 2, 4), P-Value: 0.00000000000000000000000, Loss: 67188.52135452211950905621052
Subset: (1, 2, 5), P-Value: 0.00000000000000000000007, Loss: 43348.14328300790657522156835
Subset: (1, 2, 6), P-Value: 0.00000000000000000000000, Loss: 67212.21553467371268197894096
Subset: (1, 2, 7), P-Value: 0.00000000000000000000000, Loss: 59616.87654330282384762540460
Subset: (1, 2, 8), P-Value: 0.00000000000000000000000, Loss: 50853.69597963035630527883768
Subset: (1, 2, 9), P-Value: 0.00000000000000000000000, Loss: 61338.98235048908099997788668
Subset: (1, 2, 10), P-Value: 0.00000000000000000000051, Loss: 62567.09524589010106865316629
Subset: (1, 3, 4), P-Value: 0.00000000000000000000029, Loss: 62306.39606856318278005346656
Subset: (1, 3, 5), P-Value: 0.00000000000000000000006, Loss: 44272.34859786818560678511858
Subset: (1, 3, 6), P-Value: 0.00000000000000000000000, Loss: 63634.57512039149150950834155
Subset: (1, 3, 7), P-Value: 0.00000000000000000000000, Loss: 61870.49205500002426560968161
Subset: (1, 3, 8), P-Value: 0.00000000000000000000000, Loss: 50877.29437269262416521087289
Subset: (1, 3, 9), P-Value: 0.00000000000000000000000, Loss: 59162.17991440941841574385762
Subset: (1, 3, 10), P-Value: 0.00000000000000000000000, Loss: 61757.65381971815804718062282
Subset: (1, 4, 5), P-Value: 0.00000000000000030753345, Loss: 39945.62728516353672603145242
