All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 121519.17340570247324649244547
Subset: (1,), P-Value: 0.00000000000000000000000, Loss: 101791.05761686235200613737106
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 89294.66614039642445277422667
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 107514.48480350068712141364813
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 86558.48329245659988373517990
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 134681.07880037312861531972885
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 86302.64129807658900972455740
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 97375.29904307046672329306602
Subset: (8,), P-Value: 0.00000000000000000000000, Loss: 125619.07627786265220493078232
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 87701.02030646755883935838938
Subset: (10,), P-Value: 0.00000000000000000000000, Loss: 87889.59051326446933671832085
Subset: (0, 1), P-Value: 0.00000000000000000000000, Loss: 124830.27159537179977633059025
Subset: (0, 2), P-Value: 0.00000000000000000000000, Loss: 121012.01672382437391206622124
Subset: (0, 3), P-Value: 0.00000000031366605381967, Loss: 174418.32973234460223466157913
Subset: (0, 4), P-Value: 0.00000000000000000000001, Loss: 128126.82211110026401001960039
Subset: (0, 5), P-Value: 0.00000000000000000000000, Loss: 133712.23764268803643062710762
Subset: (0, 6), P-Value: 0.00000000000000000000000, Loss: 120697.49700115859741345047951
Subset: (0, 7), P-Value: 0.00000000000000000000001, Loss: 124798.90458110207691788673401
Subset: (0, 8), P-Value: 0.00000000000000000000000, Loss: 126829.90069580668932758271694
Subset: (0, 9), P-Value: 0.00000000000000000000000, Loss: 121958.93862094814539887011051
Subset: (0, 10), P-Value: 0.00000000000000000000000, Loss: 122492.76075415566447190940380
Subset: (1, 2), P-Value: 0.00000000000000000000000, Loss: 105955.80139698821585625410080
Subset: (1, 3), P-Value: 0.00000000000000000000000, Loss: 114927.22072162150288932025433
Subset: (1, 4), P-Value: 0.00000000000000000000000, Loss: 108258.06831591937225311994553
Subset: (1, 5), P-Value: 0.00000000000000000000000, Loss: 134901.78545125082018785178661
Subset: (1, 6), P-Value: 0.00000000000000000000000, Loss: 102529.85242924401245545595884
Subset: (1, 7), P-Value: 0.00000000000000000000000, Loss: 106052.48658668993448372930288
Subset: (1, 8), P-Value: 0.00000000000000000000000, Loss: 126417.43339793881750665605068
Subset: (1, 9), P-Value: 0.00000000000000000000000, Loss: 104022.11212782414804678410292
Subset: (1, 10), P-Value: 0.00000000000000000000000, Loss: 103364.20892086380627006292343
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 98338.89004963439947459846735
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 90169.54593017791921738535166
Subset: (2, 5), P-Value: 0.00000000000000000000000, Loss: 133658.56506287836236879229546
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 89458.38763870923139620572329
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 108648.82652484622667543590069
Subset: (2, 8), P-Value: 0.00000000000000000000000, Loss: 124933.78285877051530405879021
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 91631.37507133909093681722879
Subset: (2, 10), P-Value: 0.00000000000000000000000, Loss: 92879.31918980575574096292257
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 95584.81879488544655032455921
Subset: (3, 5), P-Value: 0.00000000003468506386031, Loss: 158592.30626581978867761790752
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 106028.49155071421409957110882
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 124344.05984200567763764411211
Subset: (3, 8), P-Value: 0.00000000031525381821057, Loss: 175565.60353110480355098843575
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 110668.67583457641012500971556
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 110566.33473848788707982748747
Subset: (4, 5), P-Value: 0.00000000000000000000000, Loss: 138958.95705765721504576504230
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 87184.82080683091771788895130
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 100521.37810531581635586917400
Subset: (4, 8), P-Value: 0.00000000000000000000000, Loss: 127992.02744911417539697140455
Subset: (4, 9), P-Value: 0.00000000000000000000000, Loss: 91977.19063899142201989889145
Subset: (4, 10), P-Value: 0.00000000000000000000000, Loss: 90200.17448902779142372310162
Subset: (5, 6), P-Value: 0.00000000000000000000000, Loss: 133782.08212079980876296758652
Subset: (5, 7), P-Value: 0.00000000000000000000000, Loss: 135516.93241417285753414034843
Subset: (5, 8), P-Value: 0.00000000000000000000000, Loss: 137757.54592682930524460971355
Subset: (5, 9), P-Value: 0.00000000000000000000004, Loss: 135746.14893704777932725846767
Subset: (5, 10), P-Value: 0.00000000000000000000000, Loss: 135808.73989897585124708712101
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 97547.43117690969666000455618
Subset: (6, 8), P-Value: 0.00000000000000000000000, Loss: 125856.76855663876631297171116
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 88711.23032320605125278234482
Subset: (6, 10), P-Value: 0.00000000000000000000000, Loss: 88503.46641705009096767753363
Subset: (7, 8), P-Value: 0.00000000000000000000000, Loss: 127642.03370218750205822288990
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 98793.18124793493188917636871
Subset: (7, 10), P-Value: 0.00000000000000000000000, Loss: 98338.99966004751331638544798
Subset: (8, 9), P-Value: 0.00000000000000000000003, Loss: 126141.54545916615461464971304
Subset: (8, 10), P-Value: 0.00000000000000000000000, Loss: 126138.50569860285031609237194
Subset: (9, 10), P-Value: 0.00000000000000000000000, Loss: 87889.96784996816131751984358
Subset: (0, 1, 2), P-Value: 0.00000000000000000000000, Loss: 126034.55220079034916125237942
Subset: (0, 1, 3), P-Value: 0.00000000000120529527737, Loss: 165254.38965131508302874863148
Subset: (0, 1, 4), P-Value: 0.00000000000000000000511, Loss: 130279.36750089778797701001167
Subset: (0, 1, 5), P-Value: 0.00000000000000000000000, Loss: 134955.91681074191001243889332
Subset: (0, 1, 6), P-Value: 0.00000000000000000000000, Loss: 124290.85577667514735367149115
Subset: (0, 1, 7), P-Value: 0.00000000000000000000000, Loss: 127819.91542413004208356142044
Subset: (0, 1, 8), P-Value: 0.00000000000000000000000, Loss: 128948.19171186427411157637835
Subset: (0, 1, 9), P-Value: 0.00000000000000000000000, Loss: 126429.42597377613128628581762
Subset: (0, 1, 10), P-Value: 0.00000000000000000000000, Loss: 125015.74866317566193174570799
Subset: (0, 2, 3), P-Value: 0.00000000003091028533942, Loss: 160322.64635398279642686247826
Subset: (0, 2, 4), P-Value: 0.00000000000000000000001, Loss: 127947.27408629476849455386400
Subset: (0, 2, 5), P-Value: 0.00000000000000000000000, Loss: 132770.51668020733632147312164
Subset: (0, 2, 6), P-Value: 0.00000000000000000000000, Loss: 120308.65555658038647379726171
Subset: (0, 2, 7), P-Value: 0.00000000000000000000000, Loss: 129089.87376114101789426058531
Subset: (0, 2, 8), P-Value: 0.00000000000000000000000, Loss: 127150.41614903799199964851141
Subset: (0, 2, 9), P-Value: 0.00000000000000000000000, Loss: 121557.54938136253622360527515
Subset: (0, 2, 10), P-Value: 0.00000000000000000000000, Loss: 122329.22512468470085877925158
Subset: (0, 3, 4), P-Value: 0.00000000000000000000095, Loss: 129733.03669580043060705065727
Subset: (0, 3, 5), P-Value: 0.00004107313585513294773, Loss: 225352.39866384756169281899929
Subset: (0, 3, 6), P-Value: 0.00000000001873386897385, Loss: 164692.90065760421566665172577
Subset: (0, 3, 7), P-Value: 0.00000011259834883772909, Loss: 170294.93035131445503793656826
Subset: (0, 3, 8), P-Value: 0.00000000053788109594004, Loss: 184037.69287100987276062369347
Subset: (0, 3, 9), P-Value: 0.00000000014145198369618, Loss: 169900.61077538595418445765972
Subset: (0, 3, 10), P-Value: 0.00000000059827772796639, Loss: 174188.86171392633696086704731
Subset: (0, 4, 5), P-Value: 0.00000000000000000005247, Loss: 137378.72256982189719565212727
Subset: (0, 4, 6), P-Value: 0.00000000000000000000015, Loss: 127718.62183504455606453120708
Subset: (0, 4, 7), P-Value: 0.00000000000000000000051, Loss: 129083.14885645732283592224121
Subset: (0, 4, 8), P-Value: 0.00000000000000000010528, Loss: 132228.78366172965615987777710
Subset: (0, 4, 9), P-Value: 0.00000000000000000000004, Loss: 128118.43532175288419239223003
Subset: (0, 4, 10), P-Value: 0.00000000000000000000049, Loss: 128711.05602481828827876597643
Subset: (0, 5, 6), P-Value: 0.00000000000000000000000, Loss: 132138.06598742402275092899799
Subset: (0, 5, 7), P-Value: 0.00000000000000000000000, Loss: 134851.41364156251074746251106
Subset: (0, 5, 8), P-Value: 0.00000000000000000000000, Loss: 135801.22483152706990949809551
Subset: (0, 5, 9), P-Value: 0.00000000000000000000000, Loss: 134981.79789419018197804689407
Subset: (0, 5, 10), P-Value: 0.00000000000000000000001, Loss: 135926.82670985179720446467400
Subset: (0, 6, 7), P-Value: 0.00000000000000000000001, Loss: 124160.68476070102769881486893
Subset: (0, 6, 8), P-Value: 0.00000000000000000000000, Loss: 126052.91944372536090668290854
Subset: (0, 6, 9), P-Value: 0.00000000000000000000000, Loss: 121296.88535463910375256091356
Subset: (0, 6, 10), P-Value: 0.00000000000000000000000, Loss: 121701.68390798728796653449535
Subset: (0, 7, 8), P-Value: 0.00000000000000000000000, Loss: 129521.39329908402578439563513
Subset: (0, 7, 9), P-Value: 0.00000000000000000000027, Loss: 125311.56142760219518095254898
Subset: (0, 7, 10), P-Value: 0.00000000000000000000368, Loss: 126303.28798636398278176784515
Subset: (0, 8, 9), P-Value: 0.00000000000000000000000, Loss: 127456.92043736703635659068823
Subset: (0, 8, 10), P-Value: 0.00000000000000000000000, Loss: 127727.50330886294250376522541
Subset: (0, 9, 10), P-Value: 0.00000000000000000000000, Loss: 122164.60635884561634156852961
Subset: (1, 2, 3), P-Value: 0.00000000000000000000000, Loss: 111088.87524084406322799623013
Subset: (1, 2, 4), P-Value: 0.00000000000000000000000, Loss: 110924.23350241157459095120430
Subset: (1, 2, 5), P-Value: 0.00000000000000000000000, Loss: 135356.08350511547178030014038
Subset: (1, 2, 6), P-Value: 0.00000000000000000000000, Loss: 107064.26698565373953897505999
Subset: (1, 2, 7), P-Value: 0.00000000000000000000000, Loss: 115393.34640114461944904178381
Subset: (1, 2, 8), P-Value: 0.00000000000000000000000, Loss: 128606.14146552507008891552687
Subset: (1, 2, 9), P-Value: 0.00000000000000000000000, Loss: 108578.12980574526591226458549
Subset: (1, 2, 10), P-Value: 0.00000000000000000000000, Loss: 107401.40429809426132123917341
Subset: (1, 3, 4), P-Value: 0.00000000000000000000000, Loss: 114607.67638597289624158293009
Subset: (1, 3, 5), P-Value: 0.00000000000000000034182, Loss: 147522.64215962693560868501663
Subset: (1, 3, 6), P-Value: 0.00000000000000000000000, Loss: 115772.59460765364929102361202
Subset: (1, 3, 7), P-Value: 0.00000000000000000014097, Loss: 136381.61123539588879793882370
Subset: (1, 3, 8), P-Value: 0.00000000000000640866529, Loss: 163442.85203025411465205252171
Subset: (1, 3, 9), P-Value: 0.00000000000000000000000, Loss: 117077.06147088916623033583164
Subset: (1, 3, 10), P-Value: 0.00000000000000000000000, Loss: 116542.09497953123354818671942
Subset: (1, 4, 5), P-Value: 0.00000000000000000000000, Loss: 139666.27323030083789490163326
