All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 116802.53080970632436219602823
Subset: (1,), P-Value: 0.00000000000002688560368, Loss: 116347.32669422037724871188402
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 93835.44878528383560478687286
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 80223.30517307529225945472717
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 85299.33184850060206372290850
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 81008.45413175113208126276731
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 88589.47246319979603867977858
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 79406.15827663792879320681095
Subset: (8,), P-Value: 0.00000000000000000000001, Loss: 104046.37984301021788269281387
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 79654.03663036052603274583817
Subset: (10,), P-Value: 0.00000000000000000000000, Loss: 84514.68924558461003471165895
Subset: (0, 1), P-Value: 0.00000000000000401324974, Loss: 121688.08830225044221151620150
Subset: (0, 2), P-Value: 0.00000000000000000000000, Loss: 119378.40345670637907460331917
Subset: (0, 3), P-Value: 0.00000000151205441674270, Loss: 124920.90440150885842740535736
Subset: (0, 4), P-Value: 0.00000000000000000000000, Loss: 122788.74125943040417041629553
Subset: (0, 5), P-Value: 0.00000000000000000011685, Loss: 117389.12627210197388194501400
Subset: (0, 6), P-Value: 0.00000000000000000006540, Loss: 121064.68055141370859928429127
Subset: (0, 7), P-Value: 0.00000000000000003558280, Loss: 119499.73431002146389801055193
Subset: (0, 8), P-Value: 0.00000000000000000000000, Loss: 117197.87845644175831694155931
Subset: (0, 9), P-Value: 0.00000000000000000000000, Loss: 117202.56323963226168416440487
Subset: (0, 10), P-Value: 0.00000000000000000000114, Loss: 117346.78414139214146416634321
Subset: (1, 2), P-Value: 0.00000000000000000000000, Loss: 118218.01579252182273194193840
Subset: (1, 3), P-Value: 0.00000000000161678731403, Loss: 119974.17949450573360081762075
Subset: (1, 4), P-Value: 0.00000000000000000047561, Loss: 121866.19000327297544572502375
Subset: (1, 5), P-Value: 0.00000000014307689713817, Loss: 117885.36204212503798771649599
Subset: (1, 6), P-Value: 0.00000000000000000745270, Loss: 118207.02892227531992830336094
Subset: (1, 7), P-Value: 0.00000000000000646640582, Loss: 117579.25106133341614622622728
Subset: (1, 8), P-Value: 0.00000000000000230692625, Loss: 116912.13239904517831746488810
Subset: (1, 9), P-Value: 0.00000000000001164887136, Loss: 116146.41636656975606456398964
Subset: (1, 10), P-Value: 0.00000000000000863545540, Loss: 116976.45598251979390624910593
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 96620.05500352739181835204363
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 97032.50281103495217394083738
Subset: (2, 5), P-Value: 0.00000000000000000000000, Loss: 95085.05133799552277196198702
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 98038.49707005605159793049097
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 93975.43107621069066226482391
Subset: (2, 8), P-Value: 0.00000000000000000000000, Loss: 111655.88150221704563591629267
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 93945.10507531162875238806009
Subset: (2, 10), P-Value: 0.00000000000000000000000, Loss: 97790.75065900059416890144348
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 90206.70649278879864141345024
Subset: (3, 5), P-Value: 0.00000000000000000000000, Loss: 84063.15994898574717808514833
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 91516.77215301236719824373722
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 81251.73749178307480178773403
Subset: (3, 8), P-Value: 0.00000000000000000140978, Loss: 110816.35706041590310633182526
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 80697.82584895592299290001392
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 86576.27593205896846484392881
Subset: (4, 5), P-Value: 0.00000000000000000000000, Loss: 85314.91105137622798793017864
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 94579.13447612411982845515013
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 85685.35412002608063630759716
Subset: (4, 8), P-Value: 0.00000000000000000000000, Loss: 109588.81288392808346543461084
Subset: (4, 9), P-Value: 0.00000000000000000000000, Loss: 86624.32723067079496104270220
Subset: (4, 10), P-Value: 0.00000000000000000000000, Loss: 90540.63314222681219689548016
Subset: (5, 6), P-Value: 0.00000000000000000000000, Loss: 89643.24611030028609093278646
Subset: (5, 7), P-Value: 0.00000000000000000000000, Loss: 81382.55691392638254910707474
Subset: (5, 8), P-Value: 0.00000000000000000008604, Loss: 105205.07289987499825656414032
Subset: (5, 9), P-Value: 0.00000000000000000000000, Loss: 81420.29447745623474474996328
Subset: (5, 10), P-Value: 0.00000000000000000000000, Loss: 86799.57990213551966007798910
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 88730.26284853358811233192682
Subset: (6, 8), P-Value: 0.00000000000000000046980, Loss: 117786.72302364357165060937405
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 88818.99341586920490954071283
Subset: (6, 10), P-Value: 0.00000000000000000000000, Loss: 90938.79691472757258452475071
Subset: (7, 8), P-Value: 0.00000000000000000004794, Loss: 107276.55888649505504872649908
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 79829.16467404036666266620159
Subset: (7, 10), P-Value: 0.00000000000000000000000, Loss: 85244.20935533990268595516682
Subset: (8, 9), P-Value: 0.00000000000000000000000, Loss: 103931.11742564399901311844587
Subset: (8, 10), P-Value: 0.00000000000000000000015, Loss: 104328.56467527807399164885283
Subset: (9, 10), P-Value: 0.00000000000000000000000, Loss: 84985.40019590227166190743446
Subset: (0, 1, 2), P-Value: 0.00000000000000000000000, Loss: 122518.89380134738166816532612
Subset: (0, 1, 3), P-Value: 0.00015028014082845575364, Loss: 129215.91225701036455575376749
Subset: (0, 1, 4), P-Value: 0.00000000000000000015177, Loss: 130153.07362928983638994395733
Subset: (0, 1, 5), P-Value: 0.00000000002262646956447, Loss: 122911.88174700421222951263189
Subset: (0, 1, 6), P-Value: 0.00000000000000001361680, Loss: 124292.04352902507525868713856
Subset: (0, 1, 7), P-Value: 0.00000000000021945682290, Loss: 124340.56384932527726050466299
Subset: (0, 1, 8), P-Value: 0.00000000000000032987242, Loss: 123258.14549083240854088217020
Subset: (0, 1, 9), P-Value: 0.00000000000000025894472, Loss: 121624.24128372313862200826406
Subset: (0, 1, 10), P-Value: 0.00000000000000048639659, Loss: 121891.48634008248336613178253
Subset: (0, 2, 3), P-Value: 0.00000000000077957442291, Loss: 126271.33944847676320932805538
Subset: (0, 2, 4), P-Value: 0.00000000000000000000000, Loss: 126275.22028418292757123708725
Subset: (0, 2, 5), P-Value: 0.00000000000000000000000, Loss: 119966.64472237849258817732334
Subset: (0, 2, 6), P-Value: 0.00000000000000000000000, Loss: 122012.29532203463895712047815
Subset: (0, 2, 7), P-Value: 0.00000000000000000000000, Loss: 120737.89619967184262350201607
Subset: (0, 2, 8), P-Value: 0.00000000000000000000000, Loss: 119850.72003518757992424070835
Subset: (0, 2, 9), P-Value: 0.00000000000000000000000, Loss: 119537.95647111414291430264711
Subset: (0, 2, 10), P-Value: 0.00000000000000000000000, Loss: 119846.33321008342318236827850
Subset: (0, 3, 4), P-Value: 0.00000000003360024402706, Loss: 130310.36752765023265965282917
Subset: (0, 3, 5), P-Value: 0.00000000203437345476049, Loss: 125437.83669309191463980823755
Subset: (0, 3, 6), P-Value: 0.00000001983008832366246, Loss: 127043.23877001489745453000069
Subset: (0, 3, 7), P-Value: 0.00000004642546854583242, Loss: 125983.87926815811078995466232
Subset: (0, 3, 8), P-Value: 0.00000021186326097519783, Loss: 126185.76344705683004576712847
Subset: (0, 3, 9), P-Value: 0.00000000219512748837661, Loss: 124826.30779186387371737509966
Subset: (0, 3, 10), P-Value: 0.00000004359793476704447, Loss: 125417.60559904930414631962776
Subset: (0, 4, 5), P-Value: 0.00000000000000000000007, Loss: 121963.25304854678688570857048
Subset: (0, 4, 6), P-Value: 0.00000000000000000000001, Loss: 127090.65474498938419856131077
Subset: (0, 4, 7), P-Value: 0.00000000000000000000115, Loss: 124951.60692201771598774939775
Subset: (0, 4, 8), P-Value: 0.00000000000000000000000, Loss: 124023.98819868212740402668715
Subset: (0, 4, 9), P-Value: 0.00000000000000000000000, Loss: 122555.42738315343740396201611
Subset: (0, 4, 10), P-Value: 0.00000000000000000000000, Loss: 124457.38082828871847596019506
Subset: (0, 5, 6), P-Value: 0.00000000000000032686690, Loss: 122230.34450630431820172816515
Subset: (0, 5, 7), P-Value: 0.00000000000006017478894, Loss: 120267.52987239883805159479380
Subset: (0, 5, 8), P-Value: 0.00000000000000000009248, Loss: 117786.70042769207793753594160
Subset: (0, 5, 9), P-Value: 0.00000000000000000001315, Loss: 117825.47919226282101590186357
Subset: (0, 5, 10), P-Value: 0.00000000000000026086152, Loss: 118323.25572373480827081948519
Subset: (0, 6, 7), P-Value: 0.00000000000000016966264, Loss: 122509.95303354447241872549057
Subset: (0, 6, 8), P-Value: 0.00000000000000000185202, Loss: 123985.42496845475398004055023
Subset: (0, 6, 9), P-Value: 0.00000000000000000006158, Loss: 121212.80051569534407462924719
Subset: (0, 6, 10), P-Value: 0.00000000000000000055733, Loss: 121151.13648724916856735944748
Subset: (0, 7, 8), P-Value: 0.00000000000000078750240, Loss: 120814.09409677440999075770378
Subset: (0, 7, 9), P-Value: 0.00000000000000000890517, Loss: 119888.55331363205914385616779
Subset: (0, 7, 10), P-Value: 0.00000000000000708730928, Loss: 119969.99362925702007487416267
Subset: (0, 8, 9), P-Value: 0.00000000000000000000000, Loss: 117452.64709001856681425124407
Subset: (0, 8, 10), P-Value: 0.00000000000000000000072, Loss: 117590.80014455300988629460335
Subset: (0, 9, 10), P-Value: 0.00000000000000000000002, Loss: 117706.02665777027141302824020
Subset: (1, 2, 3), P-Value: 0.00000000000000000003275, Loss: 121333.51703305324190296232700
Subset: (1, 2, 4), P-Value: 0.00000000000000000000000, Loss: 122949.89487069315509870648384
Subset: (1, 2, 5), P-Value: 0.00000000000000000037015, Loss: 119687.84905586103559471666813
Subset: (1, 2, 6), P-Value: 0.00000000000000000000000, Loss: 119562.74232604283315595239401
Subset: (1, 2, 7), P-Value: 0.00000000000000000000000, Loss: 118805.08316221776476595550776
Subset: (1, 2, 8), P-Value: 0.00000000000000000000001, Loss: 118836.35722617129795253276825
Subset: (1, 2, 9), P-Value: 0.00000000000000000000000, Loss: 118068.18126736093836370855570
Subset: (1, 2, 10), P-Value: 0.00000000000000000000000, Loss: 118682.08240866093547083437443
Subset: (1, 3, 4), P-Value: 0.00000000000001576279414, Loss: 130425.89170633708999957889318
Subset: (1, 3, 5), P-Value: 0.00000039040162533200231, Loss: 122199.75223143152834381908178
Subset: (1, 3, 6), P-Value: 0.00000000011020366112476, Loss: 122475.67249515738512855023146
Subset: (1, 3, 7), P-Value: 0.00000000001749890352891, Loss: 120588.98538436308444943279028
Subset: (1, 3, 8), P-Value: 0.00000000188469912696983, Loss: 121162.87020044165547005832195
Subset: (1, 3, 9), P-Value: 0.00000000000198247988060, Loss: 120112.99352815060410648584366
Subset: (1, 3, 10), P-Value: 0.00000000001567753677026, Loss: 120922.48355671713943593204021
Subset: (1, 4, 5), P-Value: 0.00000000000001010768718, Loss: 126127.36012675808160565793514
Subset: (1, 4, 6), P-Value: 0.00000000000000000000016, Loss: 123531.10905735145206563174725
Subset: (1, 4, 7), P-Value: 0.00000000000000000147160, Loss: 122688.95795113412896171212196
Subset: (1, 4, 8), P-Value: 0.00000000000000000050630, Loss: 122515.29292031953809782862663
Subset: (1, 4, 9), P-Value: 0.00000000000000000004718, Loss: 122392.73645723989466205239296
Subset: (1, 4, 10), P-Value: 0.00000000000000000002298, Loss: 122335.06663706412655301392078
Subset: (1, 5, 6), P-Value: 0.00000000000028473660205, Loss: 119816.48793882869358640164137
Subset: (1, 5, 7), P-Value: 0.00000000005640247996110, Loss: 119369.29080469535256270319223
Subset: (1, 5, 8), P-Value: 0.00000000001653655308462, Loss: 118721.82711801824916619807482
Subset: (1, 5, 9), P-Value: 0.00000000005118980561796, Loss: 117889.83740492638025898486376
Subset: (1, 5, 10), P-Value: 0.00000000014383298115778, Loss: 118515.89349505789868999272585
Subset: (1, 6, 7), P-Value: 0.00000000000000022636235, Loss: 119331.98624411899072583764791
Subset: (1, 6, 8), P-Value: 0.00000000000000000003393, Loss: 118936.42402729352761525660753
Subset: (1, 6, 9), P-Value: 0.00000000000000000407325, Loss: 118055.15368467177904676645994
Subset: (1, 6, 10), P-Value: 0.00000000000000000408473, Loss: 118900.78986773095675744116306
Subset: (1, 7, 8), P-Value: 0.00000000000004323287850, Loss: 118100.75222562011913396418095
Subset: (1, 7, 9), P-Value: 0.00000000000000326921471, Loss: 117372.84496531262993812561035
Subset: (1, 7, 10), P-Value: 0.00000000000000146025050, Loss: 118230.85849819406575988978148
Subset: (1, 8, 9), P-Value: 0.00000000000000092619685, Loss: 116711.01438362860062625259161
Subset: (1, 8, 10), P-Value: 0.00000000000000045978750, Loss: 117537.54305460420437157154083
Subset: (1, 9, 10), P-Value: 0.00000000000000423225915, Loss: 116826.43220390513306483626366
Subset: (2, 3, 4), P-Value: 0.00000000000000000000000, Loss: 106184.00460643276164773851633
Subset: (2, 3, 5), P-Value: 0.00000000000000000000000, Loss: 100573.85386268216825556010008
Subset: (2, 3, 6), P-Value: 0.00000000000000000000000, Loss: 101530.98857240483630448579788
Subset: (2, 3, 7), P-Value: 0.00000000000000000000000, Loss: 97729.61008791228232439607382
Subset: (2, 3, 8), P-Value: 0.00000000000000000000000, Loss: 116284.90416758674837183207273
Subset: (2, 3, 9), P-Value: 0.00000000000000000000000, Loss: 96730.18038396666815970093012
Subset: (2, 3, 10), P-Value: 0.00000000000000000000000, Loss: 100911.53278082550968974828720
Subset: (2, 4, 5), P-Value: 0.00000000000000000000000, Loss: 97174.77854875873890705406666
Subset: (2, 4, 6), P-Value: 0.00000000000000000000000, Loss: 101810.81466497370274737477303
Subset: (2, 4, 7), P-Value: 0.00000000000000000000000, Loss: 98599.27847651623596902936697
Subset: (2, 4, 8), P-Value: 0.00000000000000000000000, Loss: 114839.45881154516246169805527
Subset: (2, 4, 9), P-Value: 0.00000000000000000000000, Loss: 97952.36303626757580786943436
Subset: (2, 4, 10), P-Value: 0.00000000000000000000000, Loss: 100939.98692705348366871476173
Subset: (2, 5, 6), P-Value: 0.00000000000000000000000, Loss: 99536.29818354996677953749895
Subset: (2, 5, 7), P-Value: 0.00000000000000000000000, Loss: 96079.84369421850715298205614
Subset: (2, 5, 8), P-Value: 0.00000000000000000000000, Loss: 112189.46065245657518971711397
Subset: (2, 5, 9), P-Value: 0.00000000000000000000000, Loss: 95318.42064830964955035597086
Subset: (2, 5, 10), P-Value: 0.00000000000000000000000, Loss: 98929.53331704865559004247189
Subset: (2, 6, 7), P-Value: 0.00000000000000000000000, Loss: 98440.50837614780175499618053
Subset: (2, 6, 8), P-Value: 0.00000000000000000000000, Loss: 119435.32222612488840240985155
Subset: (2, 6, 9), P-Value: 0.00000000000000000000000, Loss: 98028.48061863647308200597763
Subset: (2, 6, 10), P-Value: 0.00000000000000000000000, Loss: 100438.58104002653271891176701
Subset: (2, 7, 8), P-Value: 0.00000000000000000000000, Loss: 112850.58401574344316031783819
Subset: (2, 7, 9), P-Value: 0.00000000000000000000000, Loss: 94084.57254347753769252449274
Subset: (2, 7, 10), P-Value: 0.00000000000000000000000, Loss: 98198.21565740305231884121895
Subset: (2, 8, 9), P-Value: 0.00000000000000000000000, Loss: 111592.36061706059263087809086
Subset: (2, 8, 10), P-Value: 0.00000000000000000000000, Loss: 111888.39019486714096274226904
Subset: (2, 9, 10), P-Value: 0.00000000000000000000000, Loss: 97945.62233903050946537405252
Subset: (3, 4, 5), P-Value: 0.00000000000000000000000, Loss: 92033.67871645178820472210646
Subset: (3, 4, 6), P-Value: 0.00000000000000000000000, Loss: 101203.18667318063671700656414
Subset: (3, 4, 7), P-Value: 0.00000000000000000000000, Loss: 91043.96883451621397398412228
