All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 49653.30815441764571005478501
Subset: (1,), P-Value: 0.00000000000000000000182, Loss: 46086.31772169537725858390331
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 86119.96347189918742515146732
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 70890.78046131241717375814915
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 84660.42529944202397018671036
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 83443.63475034062867052853107
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 66358.91137990295828785747290
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 76491.05337530421093106269836
Subset: (8,), P-Value: 0.00000000000000000000000, Loss: 85499.34506380590028129518032
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 80780.24863093921157997101545
Subset: (10,), P-Value: 0.00000000000000000000000, Loss: 85904.37459903422859497368336
Subset: (0, 1), P-Value: 0.00000000000000000099288, Loss: 42062.70591018979030195623636
Subset: (0, 2), P-Value: 0.00000000000886724960029, Loss: 43002.16937648074235767126083
Subset: (0, 3), P-Value: 0.00000000000000000000000, Loss: 45438.08860203893709694966674
Subset: (0, 4), P-Value: 0.00000000000000000000000, Loss: 49382.09708880254765972495079
Subset: (0, 5), P-Value: 0.00000000000000000000001, Loss: 49003.46667509635881287977099
Subset: (0, 6), P-Value: 0.00000000000000000000000, Loss: 49212.01119920968631049618125
Subset: (0, 7), P-Value: 0.00000000000000000000472, Loss: 44885.02009341749362647533417
Subset: (0, 8), P-Value: 0.00000000000000000000000, Loss: 49691.39367919306096155196428
Subset: (0, 9), P-Value: 0.00000000000000000000000, Loss: 49157.95480310321727301925421
Subset: (0, 10), P-Value: 0.00000000000000000000016, Loss: 47621.10898659578379010781646
Subset: (1, 2), P-Value: 0.00000000000000000022954, Loss: 44310.62255111074045998975635
Subset: (1, 3), P-Value: 0.00000000000000000000000, Loss: 42180.14959701423504156991839
Subset: (1, 4), P-Value: 0.00000000000000000000000, Loss: 45928.35548237436887575313449
Subset: (1, 5), P-Value: 0.00000000000000000000072, Loss: 46268.29359522283630212768912
Subset: (1, 6), P-Value: 0.00000000000000000000408, Loss: 46079.80258204617712181061506
Subset: (1, 7), P-Value: 0.00000000000000000000001, Loss: 46058.01465874153655022382736
Subset: (1, 8), P-Value: 0.00000000000000000059574, Loss: 45870.72860709286760538816452
Subset: (1, 9), P-Value: 0.00000000000000000231980, Loss: 45450.20855485391803085803986
Subset: (1, 10), P-Value: 0.00000000000000000000016, Loss: 45478.25609581496973987668753
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 71307.58546813424618449062109
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 85045.35833278436621185392141
Subset: (2, 5), P-Value: 0.00000000000000000000000, Loss: 83458.15605048411816824227571
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 61077.95004611999320331960917
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 76141.22106450804858468472958
Subset: (2, 8), P-Value: 0.00000000000000000000000, Loss: 86186.05855833712848834693432
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 82172.20741304235707502812147
Subset: (2, 10), P-Value: 0.00000000000000000000000, Loss: 86010.61335315302130766212940
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 71326.49160664615919813513756
Subset: (3, 5), P-Value: 0.00000000000000000000000, Loss: 68588.20901433289691340178251
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 57157.34300886993150925263762
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 66189.52025724212580826133490
Subset: (3, 8), P-Value: 0.00000000000000000000000, Loss: 70921.79770659827045165002346
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 66475.04167608552961610257626
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 71007.75113125312782358378172
Subset: (4, 5), P-Value: 0.00000000000000000000000, Loss: 82196.89345357632555533200502
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 65505.33934189259889535605907
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 75793.11404701547871809452772
Subset: (4, 8), P-Value: 0.00000000000000000000000, Loss: 84379.45778704271651804447174
Subset: (4, 9), P-Value: 0.00000000000000000000000, Loss: 79697.29121419359580613672733
Subset: (4, 10), P-Value: 0.00000000000000000000000, Loss: 84924.11274668404075782746077
Subset: (5, 6), P-Value: 0.00000000000000000000000, Loss: 66230.19121859721781220287085
Subset: (5, 7), P-Value: 0.00000000000000000000000, Loss: 69270.30942202408914454281330
Subset: (5, 8), P-Value: 0.00000000000000000000000, Loss: 83045.94730337861983571201563
Subset: (5, 9), P-Value: 0.00000000000000000000000, Loss: 78304.71095312338729854673147
Subset: (5, 10), P-Value: 0.00000000000000000000000, Loss: 82853.56703125692729372531176
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 62485.58183314971392974257469
Subset: (6, 8), P-Value: 0.00000000000000000000000, Loss: 66353.79199791536666452884674
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 66188.40954304821207188069820
Subset: (6, 10), P-Value: 0.00000000000000000000000, Loss: 65293.71089739078161073848605
Subset: (7, 8), P-Value: 0.00000000000000000000000, Loss: 76462.20447023394808638840914
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 73982.50179707931238226592541
Subset: (7, 10), P-Value: 0.00000000000000000000000, Loss: 76566.53074582399858627468348
Subset: (8, 9), P-Value: 0.00000000000000000000000, Loss: 80639.07594409801822621375322
Subset: (8, 10), P-Value: 0.00000000000000000000000, Loss: 85810.08000111658475361764431
Subset: (9, 10), P-Value: 0.00000000000000000000000, Loss: 80958.51159436700982041656971
Subset: (0, 1, 2), P-Value: 0.00000000051177666201589, Loss: 35975.16059051137563074007630
Subset: (0, 1, 3), P-Value: 0.00000000000000000000106, Loss: 39163.02343475733505329117179
Subset: (0, 1, 4), P-Value: 0.00000000000000000000009, Loss: 41989.98372267962258774787188
Subset: (0, 1, 5), P-Value: 0.00000000000000009717919, Loss: 41800.40950326370511902496219
Subset: (0, 1, 6), P-Value: 0.00000000000000039305564, Loss: 41414.45565561545663513243198
Subset: (0, 1, 7), P-Value: 0.00000000000000000110809, Loss: 41261.32991047191171674057841
Subset: (0, 1, 8), P-Value: 0.00000000000000016104030, Loss: 41943.50564349707565270364285
Subset: (0, 1, 9), P-Value: 0.00000000000000001042493, Loss: 41813.64955717978591565042734
Subset: (0, 1, 10), P-Value: 0.00000000000000001550313, Loss: 40631.23317151710216421633959
Subset: (0, 2, 3), P-Value: 0.00000000002470554043852, Loss: 40253.02677204491919837892056
Subset: (0, 2, 4), P-Value: 0.00000000000009185563854, Loss: 43059.97240427526412531733513
Subset: (0, 2, 5), P-Value: 0.00000000000233140097832, Loss: 42477.46529196060873800888658
Subset: (0, 2, 6), P-Value: 0.00000000000002222375183, Loss: 39453.81008595048479037359357
Subset: (0, 2, 7), P-Value: 0.00000000000203898788681, Loss: 40858.14875671245681587606668
Subset: (0, 2, 8), P-Value: 0.00000000000891785981574, Loss: 42997.65877478219772456213832
Subset: (0, 2, 9), P-Value: 0.00000000002001258791008, Loss: 42433.84073071273451205343008
Subset: (0, 2, 10), P-Value: 0.00000000001154046893471, Loss: 42900.38253670601261546835303
Subset: (0, 3, 4), P-Value: 0.00000000000000000000000, Loss: 45615.84270065947202965617180
Subset: (0, 3, 5), P-Value: 0.00000000000000000000000, Loss: 45206.31001363367249723523855
Subset: (0, 3, 6), P-Value: 0.00000000000000000000000, Loss: 44959.79486856993753463029861
Subset: (0, 3, 7), P-Value: 0.00000000000000000000001, Loss: 42267.59040247950179036706686
Subset: (0, 3, 8), P-Value: 0.00000000000000000000000, Loss: 45430.35077763203298673033714
Subset: (0, 3, 9), P-Value: 0.00000000000000000000000, Loss: 44822.20026245322515023872256
Subset: (0, 3, 10), P-Value: 0.00000000000000000000002, Loss: 43889.34420689036051044240594
Subset: (0, 4, 5), P-Value: 0.00000000000000000000000, Loss: 48786.23744622915546642616391
Subset: (0, 4, 6), P-Value: 0.00000000000000000000000, Loss: 48895.96588135956699261441827
Subset: (0, 4, 7), P-Value: 0.00000000000000000000001, Loss: 44812.83942012958868872374296
Subset: (0, 4, 8), P-Value: 0.00000000000000000000000, Loss: 49489.55538009450538083910942
Subset: (0, 4, 9), P-Value: 0.00000000000000000000000, Loss: 48903.30369983751734253019094
Subset: (0, 4, 10), P-Value: 0.00000000000000000000000, Loss: 47556.15847924690024228766561
Subset: (0, 5, 6), P-Value: 0.00000000000000000000000, Loss: 48044.80303278569772373884916
Subset: (0, 5, 7), P-Value: 0.00000000000000000000000, Loss: 45175.74029036978026852011681
Subset: (0, 5, 8), P-Value: 0.00000000000000000000023, Loss: 49009.00382973026717081665993
Subset: (0, 5, 9), P-Value: 0.00000000000000000000048, Loss: 48544.01258615490951342508197
Subset: (0, 5, 10), P-Value: 0.00000000000000000000279, Loss: 47464.31328402107465080916882
Subset: (0, 6, 7), P-Value: 0.00000000000000000000346, Loss: 44869.31754911381722195073962
Subset: (0, 6, 8), P-Value: 0.00000000000000000000000, Loss: 49247.78429782505554612725973
Subset: (0, 6, 9), P-Value: 0.00000000000000000000000, Loss: 48962.12185855945426737889647
Subset: (0, 6, 10), P-Value: 0.00000000000000000000000, Loss: 47041.93636081858130637556314
Subset: (0, 7, 8), P-Value: 0.00000000000000000006060, Loss: 44892.60780159700516378507018
Subset: (0, 7, 9), P-Value: 0.00000000000000000000433, Loss: 44891.61821440946368966251612
Subset: (0, 7, 10), P-Value: 0.00000000000000000005237, Loss: 44032.65197921002254588529468
Subset: (0, 8, 9), P-Value: 0.00000000000000000000000, Loss: 49187.38658942947222385555506
Subset: (0, 8, 10), P-Value: 0.00000000000000000000100, Loss: 47619.15301139797520590946078
Subset: (0, 9, 10), P-Value: 0.00000000000000000000072, Loss: 47276.48002149519015802070498
Subset: (1, 2, 3), P-Value: 0.00000000000000000000042, Loss: 40734.37218188127735629677773
Subset: (1, 2, 4), P-Value: 0.00000000000000000000018, Loss: 44188.61013479750545229762793
Subset: (1, 2, 5), P-Value: 0.00000000000000000850472, Loss: 42307.38894726579746929928660
Subset: (1, 2, 6), P-Value: 0.00000000000000000009658, Loss: 43865.99386825871624751016498
Subset: (1, 2, 7), P-Value: 0.00000000000000000122253, Loss: 44231.07262801826436771079898
Subset: (1, 2, 8), P-Value: 0.00000000000000000171141, Loss: 43900.77918002470687497407198
Subset: (1, 2, 9), P-Value: 0.00000000000000001831403, Loss: 43581.73109543701866641640663
Subset: (1, 2, 10), P-Value: 0.00000000000000000012927, Loss: 44331.91145389377197716385126
Subset: (1, 3, 4), P-Value: 0.00000000000000000000000, Loss: 42404.14599641123641049489379
Subset: (1, 3, 5), P-Value: 0.00000000000000000000000, Loss: 42213.63980453140538884326816
Subset: (1, 3, 6), P-Value: 0.00000000000000000000004, Loss: 42204.86858145899168448522687
Subset: (1, 3, 7), P-Value: 0.00000000000000000000000, Loss: 42204.45363268083019647747278
Subset: (1, 3, 8), P-Value: 0.00000000000000000000091, Loss: 41914.88619061743520433083177
Subset: (1, 3, 9), P-Value: 0.00000000000000000000117, Loss: 41808.08683995740284444764256
Subset: (1, 3, 10), P-Value: 0.00000000000000000000000, Loss: 41704.49110796669992851093411
Subset: (1, 4, 5), P-Value: 0.00000000000000000000000, Loss: 46120.56415572059631813317537
