All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 46230.77761962735530687496066
Subset: (1,), P-Value: 0.00000000000000000000000, Loss: 71298.32920712049235589802265
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 81036.06243283062940463423729
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 77306.37119132191583048552275
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 82972.98234683225746266543865
Subset: (5,), P-Value: 0.00000000000000000029014, Loss: 54428.78741490377433365210891
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 86700.84810336394002661108971
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 82204.53105940860405098646879
Subset: (8,), P-Value: 0.00000000000000000000000, Loss: 67688.67329333197267260402441
Subset: (9,), P-Value: 0.00000000000000000000853, Loss: 92900.24128740644664503633976
Subset: (10,), P-Value: 0.00000000000000000000302, Loss: 99959.63809240712726023048162
Subset: (0, 1), P-Value: 0.00000000000000000000000, Loss: 43693.50257889757631346583366
Subset: (0, 2), P-Value: 0.00000000000000000000000, Loss: 44803.62350514226272935047746
Subset: (0, 3), P-Value: 0.00000000000000000000000, Loss: 46153.27459672314580529928207
Subset: (0, 4), P-Value: 0.00000000000000000000000, Loss: 39925.70882106273347744718194
Subset: (0, 5), P-Value: 0.00000000000000000000101, Loss: 48358.24788514016108820214868
Subset: (0, 6), P-Value: 0.00000000000000000000000, Loss: 47156.86608981252356898039579
Subset: (0, 7), P-Value: 0.00000000000000000000000, Loss: 48285.56501938902511028572917
Subset: (0, 8), P-Value: 0.00000000000000000001176, Loss: 55578.66538354326621629297733
Subset: (0, 9), P-Value: 0.00000000000000010393627, Loss: 53954.56611644478107336908579
Subset: (0, 10), P-Value: 0.00000000000000000000244, Loss: 61158.07916155784914735704660
Subset: (1, 2), P-Value: 0.00000000000000000000000, Loss: 67026.98730416980106383562088
Subset: (1, 3), P-Value: 0.00000000000000000000000, Loss: 64221.39180367860535625368357
Subset: (1, 4), P-Value: 0.00000000000000000000000, Loss: 76477.54052528187457937747240
Subset: (1, 5), P-Value: 0.00000000000000000000000, Loss: 45744.27335007776855491101742
Subset: (1, 6), P-Value: 0.00000000000000000000000, Loss: 72139.91671493292960803955793
Subset: (1, 7), P-Value: 0.00000000000000000000000, Loss: 71584.55830513797991443425417
Subset: (1, 8), P-Value: 0.00000000000000000000000, Loss: 56043.65705016133870230987668
Subset: (1, 9), P-Value: 0.00000000000000005553262, Loss: 79062.63319699709245469421148
Subset: (1, 10), P-Value: 0.00000000000000000589047, Loss: 84776.94410626092576421797276
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 73739.49474774450936820358038
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 84193.57243602500238921493292
Subset: (2, 5), P-Value: 0.00000000000001453597821, Loss: 55682.01116709900816204026341
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 81869.29397347528720274567604
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 72969.27777911163866519927979
Subset: (2, 8), P-Value: 0.00000000000000000123873, Loss: 69722.10660560397082008421421
Subset: (2, 9), P-Value: 0.00000000000000000000212, Loss: 90742.66070262013818137347698
Subset: (2, 10), P-Value: 0.00000000000000000000023, Loss: 91918.17907789724995382130146
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 78329.27805394431925378739834
Subset: (3, 5), P-Value: 0.00000000000000003134416, Loss: 55829.05496154988941270858049
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 78530.96315550318104214966297
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 79791.36586205496860202401876
Subset: (3, 8), P-Value: 0.00000000000000004782988, Loss: 70954.77314849541289731860161
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 86213.73579909576801583170891
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 89029.74911627209803555160761
Subset: (4, 5), P-Value: 0.00000000000002271629102, Loss: 45469.97199672434362582862377
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 83804.61615057908056769520044
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 83674.67510835826396942138672
Subset: (4, 8), P-Value: 0.00000000000000002561344, Loss: 61673.72110100589634384959936
Subset: (4, 9), P-Value: 0.00000000000109994150652, Loss: 77504.90558485963265411555767
Subset: (4, 10), P-Value: 0.00000000000049333971810, Loss: 80560.67503255943302065134048
Subset: (5, 6), P-Value: 0.00000000000000000018730, Loss: 53759.67725577141391113400459
Subset: (5, 7), P-Value: 0.00000000000000000243142, Loss: 51927.71830820602917810901999
Subset: (5, 8), P-Value: 0.00000000000000000144391, Loss: 52689.45513611331261927261949
Subset: (5, 9), P-Value: 0.00000000000000012130419, Loss: 49817.04103589756414294242859
Subset: (5, 10), P-Value: 0.00000000000000014332148, Loss: 48344.05427021753712324425578
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 84908.37447252031415700912476
Subset: (6, 8), P-Value: 0.00000000000000000000000, Loss: 66753.78427926846779882907867
Subset: (6, 9), P-Value: 0.00000000000000000000002, Loss: 90462.22432781776296906173229
Subset: (6, 10), P-Value: 0.00000000000000000000017, Loss: 99424.34603927683201618492603
Subset: (7, 8), P-Value: 0.00000000000000000000000, Loss: 65762.87570690370921511203051
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 83596.68400519184069707989693
Subset: (7, 10), P-Value: 0.00000000000000000001426, Loss: 89946.86408732889685779809952
Subset: (8, 9), P-Value: 0.00000000000028359116865, Loss: 62413.34178099069686140865088
Subset: (8, 10), P-Value: 0.00000000000000003120926, Loss: 64337.64023882834590040147305
Subset: (9, 10), P-Value: 0.00000000000000000000102, Loss: 82336.14689598092809319496155
Subset: (0, 1, 2), P-Value: 0.00000000000000000000000, Loss: 43065.33930120865989010781050
Subset: (0, 1, 3), P-Value: 0.00000000000000000000000, Loss: 43527.76178219412395264953375
Subset: (0, 1, 4), P-Value: 0.00000000000000000000917, Loss: 39264.22256038786144927144051
Subset: (0, 1, 5), P-Value: 0.00000000000000000001402, Loss: 42862.28869526955531910061836
Subset: (0, 1, 6), P-Value: 0.00000000000000000000000, Loss: 44371.34302217708318494260311
Subset: (0, 1, 7), P-Value: 0.00000000000000000000000, Loss: 44163.93636755591433029621840
Subset: (0, 1, 8), P-Value: 0.00000000000000000000002, Loss: 49009.68076560570625588297844
Subset: (0, 1, 9), P-Value: 0.00000000000017874015159, Loss: 48726.25347123564279172569513
Subset: (0, 1, 10), P-Value: 0.00000000000002551520333, Loss: 51073.50788652239862130954862
Subset: (0, 2, 3), P-Value: 0.00000000000000000000000, Loss: 44583.45969331185915507376194
Subset: (0, 2, 4), P-Value: 0.00000000000000000000239, Loss: 40530.90189669113897252827883
Subset: (0, 2, 5), P-Value: 0.00000000000000001222195, Loss: 46733.42628134577535092830658
Subset: (0, 2, 6), P-Value: 0.00000000000000000000000, Loss: 45503.36501648747798753902316
Subset: (0, 2, 7), P-Value: 0.00000000000000000000000, Loss: 47011.60045711833663517609239
Subset: (0, 2, 8), P-Value: 0.00000000000000366302272, Loss: 51373.79784927871514810249209
Subset: (0, 2, 9), P-Value: 0.00000000000000000417352, Loss: 50620.07054528864682652056217
Subset: (0, 2, 10), P-Value: 0.00000000000000721086380, Loss: 55617.98762588654790306463838
Subset: (0, 3, 4), P-Value: 0.00000000000000000000073, Loss: 41818.12547783514310140162706
Subset: (0, 3, 5), P-Value: 0.00000000000000003271676, Loss: 48090.08738427954085636883974
Subset: (0, 3, 6), P-Value: 0.00000000000000000000000, Loss: 47073.20644392108806641772389
Subset: (0, 3, 7), P-Value: 0.00000000000000000000000, Loss: 47831.35604865109053207561374
Subset: (0, 3, 8), P-Value: 0.00000000000000000000197, Loss: 55468.06421100865554763004184
Subset: (0, 3, 9), P-Value: 0.00000000000000038478430, Loss: 50943.11031760945479618385434
Subset: (0, 3, 10), P-Value: 0.00000000000000000000333, Loss: 54203.83824388962239027023315
Subset: (0, 4, 5), P-Value: 0.00000000000000000985363, Loss: 34479.87861611747939605265856
Subset: (0, 4, 6), P-Value: 0.00000000000000000000000, Loss: 40079.00638741214061155915260
Subset: (0, 4, 7), P-Value: 0.00000000000000000000003, Loss: 40765.94994886474160011857748
Subset: (0, 4, 8), P-Value: 0.00000000000000006461713, Loss: 38494.24347249302809359505773
Subset: (0, 4, 9), P-Value: 0.00000000000000000626696, Loss: 40801.13893857457878766581416
Subset: (0, 4, 10), P-Value: 0.00000000000000000099938, Loss: 39077.96054563222423894330859
Subset: (0, 5, 6), P-Value: 0.00000000000000000003914, Loss: 47050.29333544813562184572220
Subset: (0, 5, 7), P-Value: 0.00000000000000000004735, Loss: 46253.35472715227660955861211
Subset: (0, 5, 8), P-Value: 0.00000000000000002481751, Loss: 46377.98027574603474931791425
Subset: (0, 5, 9), P-Value: 0.00000000000000000011468, Loss: 42825.09529557915084296837449
Subset: (0, 5, 10), P-Value: 0.00000000000000000000001, Loss: 41957.58181789999798638746142
Subset: (0, 6, 7), P-Value: 0.00000000000000000000000, Loss: 50088.84467186319670872762799
Subset: (0, 6, 8), P-Value: 0.00000000000000000009547, Loss: 54051.61335663023055531084538
Subset: (0, 6, 9), P-Value: 0.00000000000000001472089, Loss: 52755.96341776873305207118392
Subset: (0, 6, 10), P-Value: 0.00000000000000000041941, Loss: 61140.86770031906780786812305
Subset: (0, 7, 8), P-Value: 0.00000000000000000000115, Loss: 53401.07216289066855097189546
Subset: (0, 7, 9), P-Value: 0.00000000000000727098434, Loss: 48730.17344682724797166883945
Subset: (0, 7, 10), P-Value: 0.00000000000009514834385, Loss: 51632.10742688114260090515018
Subset: (0, 8, 9), P-Value: 0.00000000000017598546948, Loss: 49426.11557608059229096397758
Subset: (0, 8, 10), P-Value: 0.00000000000000000012112, Loss: 50682.41657866138120880350471
Subset: (0, 9, 10), P-Value: 0.00000000000000000074285, Loss: 50698.91344556155672762542963
Subset: (1, 2, 3), P-Value: 0.00000000000000000000000, Loss: 61769.00114030723489122465253
Subset: (1, 2, 4), P-Value: 0.00000000000000000000000, Loss: 73285.49150556331733241677284
Subset: (1, 2, 5), P-Value: 0.00000000000000000011941, Loss: 47909.21595896335929865017533
Subset: (1, 2, 6), P-Value: 0.00000000000000000000000, Loss: 67600.35324019675317686051130
Subset: (1, 2, 7), P-Value: 0.00000000000000000000000, Loss: 64423.88474289666919503360987
Subset: (1, 2, 8), P-Value: 0.00000000000000000000003, Loss: 59570.51209164861938916146755
Subset: (1, 2, 9), P-Value: 0.00000000000000233732396, Loss: 75974.52278433486935682594776
Subset: (1, 2, 10), P-Value: 0.00000000000000006416158, Loss: 74083.13938437994511332362890
Subset: (1, 3, 4), P-Value: 0.00000000000000000053661, Loss: 69089.90350668234168551862240
Subset: (1, 3, 5), P-Value: 0.00000000000000000019280, Loss: 47465.35254585476650390774012
Subset: (1, 3, 6), P-Value: 0.00000000000000000000000, Loss: 64193.49457704907399602234364
Subset: (1, 3, 7), P-Value: 0.00000000000000000000000, Loss: 66357.53386340146244037896395
Subset: (1, 3, 8), P-Value: 0.00000000000000000063462, Loss: 57419.72374046713230200111866
Subset: (1, 3, 9), P-Value: 0.00000000000000000120911, Loss: 72692.83335793172591365873814
Subset: (1, 3, 10), P-Value: 0.00000000000000000004658, Loss: 70812.22178911860100924968719
Subset: (1, 4, 5), P-Value: 0.00000000000002612162655, Loss: 42548.85210882287356071174145
