All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 7.84678258002923545433305
Subset: (1,), P-Value: 0.00000000000000000000000, Loss: 5.21630438790070805055166
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 7.89409114188524885236120
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 7.12696339296203440483168
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 7.72104494141168107290696
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 4.19581881426881597718648
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 6.10916972615764475307287
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 7.90485647485411924151322
Subset: (8,), P-Value: 0.00000000000000000000000, Loss: 7.18629764928616321384425
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 5.40314923331425589481114
Subset: (10,), P-Value: 0.00000000000000000000000, Loss: 4.53410833683452008102677
Subset: (0, 1), P-Value: 0.00000000000000000001081, Loss: 5.04183991398207176359847
Subset: (0, 2), P-Value: 0.00000000000000000000000, Loss: 7.82696108835248693935682
Subset: (0, 3), P-Value: 0.00000000000000000000000, Loss: 7.06427334127204442637549
Subset: (0, 4), P-Value: 0.00000000000000000000000, Loss: 7.67594241404552768415215
Subset: (0, 5), P-Value: 0.00000000000000000000000, Loss: 4.15567895045785107299707
Subset: (0, 6), P-Value: 0.00000000000000000000000, Loss: 6.04991389682518665438238
Subset: (0, 7), P-Value: 0.00000000000000000000000, Loss: 7.83685508689393017789371
Subset: (0, 8), P-Value: 0.00000000000000000000000, Loss: 7.16397637588489288873461
Subset: (0, 9), P-Value: 0.00000000000000000000000, Loss: 5.38722493075515540539300
Subset: (0, 10), P-Value: 0.00000000000000000000000, Loss: 4.51171374852656192899758
Subset: (1, 2), P-Value: 0.00000000000000000000000, Loss: 5.21487371339104210932192
Subset: (1, 3), P-Value: 0.02258182751314264172238, Loss: 4.40987720560647566969692
Subset: (1, 4), P-Value: 0.00000000001247022039151, Loss: 5.10700011376469209523066
Subset: (1, 5), P-Value: 0.00000000000000000000000, Loss: 3.21056885877487196978564
Subset: (1, 6), P-Value: 0.00000000000000000000000, Loss: 4.27286707969391876815735
Subset: (1, 7), P-Value: 0.00000000000000000000000, Loss: 5.19668802980409783032201
Subset: (1, 8), P-Value: 0.00000000000000000000000, Loss: 4.85761410612714961132497
Subset: (1, 9), P-Value: 0.00000000000000000000000, Loss: 3.98427199494874573204584
Subset: (1, 10), P-Value: 0.00000000000000000000000, Loss: 3.46758790924365367658311
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 7.12826276424020033317674
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 7.56921160668715753416791
Subset: (2, 5), P-Value: 0.00000000000000000000000, Loss: 4.17658281502172634702674
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 6.05579779165493192749636
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 7.88631807981191990108982
Subset: (2, 8), P-Value: 0.00000000000000000000000, Loss: 7.14759548275601108713317
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 5.33496132831127045648145
Subset: (2, 10), P-Value: 0.00000000000000000000000, Loss: 4.43666298757980293032688
Subset: (3, 4), P-Value: 0.00000000000732996508928, Loss: 6.87675464843370676248924
Subset: (3, 5), P-Value: 0.00000000000000000000000, Loss: 3.84286613706774993204363
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 5.72527616918859738603942
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 7.12267237722211898898195
Subset: (3, 8), P-Value: 0.00000000000000000000000, Loss: 6.57644474571793136163933
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 5.14732209336547352762636
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 4.28320024237438801151256
Subset: (4, 5), P-Value: 0.00000000000000000000000, Loss: 4.17967090792145512523348
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 5.97819170672079547301792
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 7.69746456939212464476441
Subset: (4, 8), P-Value: 0.00000000000000000000000, Loss: 7.04054915729066976837203
Subset: (4, 9), P-Value: 0.00000000000000000000000, Loss: 5.40286674801282806868130
Subset: (4, 10), P-Value: 0.00000000000000000000000, Loss: 4.45468487986317018823001
Subset: (5, 6), P-Value: 0.00000000000000000000000, Loss: 2.32974630459250420244643
Subset: (5, 7), P-Value: 0.00000000000000000000000, Loss: 3.62631076314822209383237
Subset: (5, 8), P-Value: 0.00000000000000000000000, Loss: 3.13759499534968977485505
Subset: (5, 9), P-Value: 0.00000000000000000000000, Loss: 2.49796032981835613995258
Subset: (5, 10), P-Value: 0.00000000000000000000000, Loss: 2.40290156723659498183565
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 5.44317282475536945440808
Subset: (6, 8), P-Value: 0.00000000000000000000000, Loss: 5.98597162164601659384289
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 5.19976517993729814293147
Subset: (6, 10), P-Value: 0.00000000000000000000000, Loss: 4.46957593384901397115527
Subset: (7, 8), P-Value: 0.00000000000000000000000, Loss: 7.17784280227788595851734
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 4.97599395861616322633836
Subset: (7, 10), P-Value: 0.00000000000000000000000, Loss: 4.35614014807950589158736
Subset: (8, 9), P-Value: 0.00000000000000000000000, Loss: 5.12562649765430400350397
Subset: (8, 10), P-Value: 0.00000000000000000000000, Loss: 4.12240264835147307564966
Subset: (9, 10), P-Value: 0.00000000000000000000000, Loss: 4.45420367103384862161874
Subset: (0, 1, 2), P-Value: 0.00000000000000000000634, Loss: 5.04132531928268523557790
Subset: (0, 1, 3), P-Value: 0.16654002999773759308155, Loss: 4.22583844269868347254260
Subset: (0, 1, 4), P-Value: 0.00068334630970901411723, Loss: 4.90580298431427852534625
Subset: (0, 1, 5), P-Value: 0.00000000000000000000000, Loss: 3.15933114675596637965782
Subset: (0, 1, 6), P-Value: 0.00000000000000000000000, Loss: 4.16628419967802976486837
Subset: (0, 1, 7), P-Value: 0.00000000000000000000002, Loss: 5.02404216962357086373459
Subset: (0, 1, 8), P-Value: 0.00000000000000000000000, Loss: 4.64352278242037730393577
Subset: (0, 1, 9), P-Value: 0.00000000000000000000000, Loss: 3.85314114926058026711075
Subset: (0, 1, 10), P-Value: 0.00000000000000000000000, Loss: 3.38623633672638568725688
Subset: (0, 2, 3), P-Value: 0.00000000000000000000000, Loss: 7.06534272811962971161392
Subset: (0, 2, 4), P-Value: 0.00000000000000000000000, Loss: 7.53220608389905699198152
Subset: (0, 2, 5), P-Value: 0.00000000000000000000000, Loss: 4.13625753282456720683058
Subset: (0, 2, 6), P-Value: 0.00000000000000000000000, Loss: 5.99610001259233804660198
Subset: (0, 2, 7), P-Value: 0.00000000000000000000000, Loss: 7.81796191539490070709917
Subset: (0, 2, 8), P-Value: 0.00000000000000000000000, Loss: 7.12546959678419256078996
Subset: (0, 2, 9), P-Value: 0.00000000000000000000000, Loss: 5.31916361820750172029193
Subset: (0, 2, 10), P-Value: 0.00000000000000000000000, Loss: 4.41432087391237448770198
Subset: (0, 3, 4), P-Value: 0.00000000000000000013799, Loss: 6.83779004056094841246249
Subset: (0, 3, 5), P-Value: 0.00000000000000000000000, Loss: 3.80373625602154064040406
Subset: (0, 3, 6), P-Value: 0.00000000000000000000000, Loss: 5.66804090144111238913638
Subset: (0, 3, 7), P-Value: 0.00000000000000000000000, Loss: 7.06084773541774346483635
Subset: (0, 3, 8), P-Value: 0.00000000000000000000000, Loss: 6.55213122823792648574681
Subset: (0, 3, 9), P-Value: 0.00000000000000000000000, Loss: 5.12976052822949579734768
Subset: (0, 3, 10), P-Value: 0.00000000000000000000000, Loss: 4.26018739154405157165684
Subset: (0, 4, 5), P-Value: 0.00000000000000000000000, Loss: 4.13361507474966050068588
Subset: (0, 4, 6), P-Value: 0.00000000000000000000000, Loss: 5.93579705850816363721378
Subset: (0, 4, 7), P-Value: 0.00000000000000000000000, Loss: 7.65159390950088802441087
Subset: (0, 4, 8), P-Value: 0.00000000000000000000000, Loss: 7.02802430282102541525546
Subset: (0, 4, 9), P-Value: 0.00000000000000000000000, Loss: 5.38644263739779827204757
Subset: (0, 4, 10), P-Value: 0.00000000000000000000000, Loss: 4.42356165584581706440304
Subset: (0, 5, 6), P-Value: 0.00000000000000000000000, Loss: 2.29594968633113261091694
Subset: (0, 5, 7), P-Value: 0.00000000000000000000000, Loss: 3.58088904171992172820183
Subset: (0, 5, 8), P-Value: 0.00000000000000000000000, Loss: 3.13365747935128435841534
Subset: (0, 5, 9), P-Value: 0.00000000000000000000000, Loss: 2.48872261322468490973847
Subset: (0, 5, 10), P-Value: 0.00000000000000000000000, Loss: 2.38592856722439128347446
Subset: (0, 6, 7), P-Value: 0.00000000000000000000000, Loss: 5.39833992365754244957543
Subset: (0, 6, 8), P-Value: 0.00000000000000000000000, Loss: 5.94700353783415991415495
Subset: (0, 6, 9), P-Value: 0.00000000000000000000000, Loss: 5.17720280337386640212571
Subset: (0, 6, 10), P-Value: 0.00000000000000000000000, Loss: 4.44437704341328743140593
Subset: (0, 7, 8), P-Value: 0.00000000000000000000000, Loss: 7.15695492822848144953696
Subset: (0, 7, 9), P-Value: 0.00000000000000000000000, Loss: 4.96936385110231348960497
Subset: (0, 7, 10), P-Value: 0.00000000000000000000000, Loss: 4.33893850104917344623345
Subset: (0, 8, 9), P-Value: 0.00000000000000000000000, Loss: 5.12134230573162962940614
Subset: (0, 8, 10), P-Value: 0.00000000000000000000000, Loss: 4.11723156910385323925539
Subset: (0, 9, 10), P-Value: 0.00000000000000000000000, Loss: 4.43642892841035596518395
Subset: (1, 2, 3), P-Value: 0.06448709716533973512753, Loss: 4.40306720808084417484451
Subset: (1, 2, 4), P-Value: 0.00000002081397074184105, Loss: 5.05790962018360712448839
Subset: (1, 2, 5), P-Value: 0.00000000000000000000000, Loss: 3.20538072307037058550350
Subset: (1, 2, 6), P-Value: 0.00000000000000000000000, Loss: 4.25802437915098064280528
Subset: (1, 2, 7), P-Value: 0.00000000000000000000000, Loss: 5.19563941556255759479654
Subset: (1, 2, 8), P-Value: 0.00000000000000000000000, Loss: 4.85036939037745096214849
Subset: (1, 2, 9), P-Value: 0.00000000000000000000000, Loss: 3.96108727500946145028138
Subset: (1, 2, 10), P-Value: 0.00000000000000000000000, Loss: 3.42531939247226535627533
Subset: (1, 3, 4), P-Value: 0.07943654024721148732002, Loss: 4.25591254725014334070465
Subset: (1, 3, 5), P-Value: 0.00000000000000000000000, Loss: 2.76680151942491558969550
Subset: (1, 3, 6), P-Value: 0.00000000000000000000000, Loss: 3.77768428457443761203649
Subset: (1, 3, 7), P-Value: 0.02296014857435993081203, Loss: 4.40985416213245340344429
Subset: (1, 3, 8), P-Value: 0.00000000000000000000000, Loss: 4.17750714287092517196243
Subset: (1, 3, 9), P-Value: 0.00000000000000000000000, Loss: 3.59505725321873192967814
Subset: (1, 3, 10), P-Value: 0.00000000000000000000000, Loss: 3.10377939223576282401496
Subset: (1, 4, 5), P-Value: 0.00000000000000000000000, Loss: 3.20455753674858367929801
