All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 7.11876744870180733215648
Subset: (1,), P-Value: 0.00000000000000000000000, Loss: 7.70589882680735538400540
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 10.12749421288169848764937
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 9.33707418975748382194979
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 8.57809860663757284271469
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 0.66035105599190202507742
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 6.21915671779488032910876
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 9.28669230301066939148313
Subset: (8,), P-Value: 0.00000000000000000000000, Loss: 3.88999683303649135268643
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 5.22872643449617768851567
Subset: (10,), P-Value: 0.00000000000000000000000, Loss: 1.15268526419730643617356
Subset: (0, 1), P-Value: 0.00000000696622813034992, Loss: 5.67430601168493886632405
Subset: (0, 2), P-Value: 0.00000000000000000000000, Loss: 7.07709596126772488844381
Subset: (0, 3), P-Value: 0.00000000000000000292776, Loss: 6.18007394233719331566590
Subset: (0, 4), P-Value: 0.00000000001760537314412, Loss: 5.73408078801141751768000
Subset: (0, 5), P-Value: 0.00000000000000000000000, Loss: 0.58819998248469074209055
Subset: (0, 6), P-Value: 0.00000000000000000000000, Loss: 4.79011385949735224443202
Subset: (0, 7), P-Value: 0.00000000000000000000000, Loss: 6.57238422652093134956885
Subset: (0, 8), P-Value: 0.00000000000000000000000, Loss: 3.41102596607012520379953
Subset: (0, 9), P-Value: 0.00000000000000000000000, Loss: 4.03500842483390087522821
Subset: (0, 10), P-Value: 0.00000000000000000000000, Loss: 1.01951672595985942670893
Subset: (1, 2), P-Value: 0.00000000000000000000000, Loss: 7.65491041686263429255632
Subset: (1, 3), P-Value: 0.00000000000000000000000, Loss: 7.42624422474859979814710
Subset: (1, 4), P-Value: 0.00000000000000000000001, Loss: 6.41037654877040630196916
Subset: (1, 5), P-Value: 0.00000000000000000000000, Loss: 0.61346823765020974672524
Subset: (1, 6), P-Value: 0.00000000000000000000000, Loss: 5.05776330713870603261739
Subset: (1, 7), P-Value: 0.00000000000000103402093, Loss: 7.03817131959181363498601
Subset: (1, 8), P-Value: 0.00000000000000000000000, Loss: 3.44565730851580864779748
Subset: (1, 9), P-Value: 0.00000000000000000000000, Loss: 4.47416127965917098663340
Subset: (1, 10), P-Value: 0.00000000000000000000000, Loss: 1.06351969663592593740020
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 9.32824193530261602802511
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 8.52994261771161355056847
Subset: (2, 5), P-Value: 0.00000000000000000000000, Loss: 0.64992585424641102775922
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 6.21832304080721964822942
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 9.27873374876824819068588
Subset: (2, 8), P-Value: 0.00000000000000000000000, Loss: 3.88303692208972961452673
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 5.19609828842039433993705
Subset: (2, 10), P-Value: 0.00000000000000000000000, Loss: 1.13428321238948948135317
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 7.88887589627178442697186
Subset: (3, 5), P-Value: 0.00000000000000000000000, Loss: 0.64875115177624298468118
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 5.92593601262393487871805
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 8.54418950822498679542605
Subset: (3, 8), P-Value: 0.00000000000000000000000, Loss: 3.74890912065064529912206
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 4.96411626711660503019630
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 1.12083798745723428602616
Subset: (4, 5), P-Value: 0.00000000000226865138395, Loss: 0.29401459935244822485600
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 5.98728798751353519236318
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 8.50541920605688162027036
Subset: (4, 8), P-Value: 0.00000000000000000000000, Loss: 3.76462340518357585494869
Subset: (4, 9), P-Value: 0.00000000000000000000000, Loss: 5.21762126942251391881200
Subset: (4, 10), P-Value: 0.00000000000000000000000, Loss: 0.75767264534723544056050
Subset: (5, 6), P-Value: 0.00000000000000000000000, Loss: 0.65861995356041258542490
Subset: (5, 7), P-Value: 0.00000000000000000000000, Loss: 0.59949440012379862086078
Subset: (5, 8), P-Value: 0.00000000000000000000000, Loss: 0.62699526489459544986715
Subset: (5, 9), P-Value: 0.00000000000000000000000, Loss: 0.66033996578367393226472
Subset: (5, 10), P-Value: 0.00000000000000000000000, Loss: 0.61325949521563527522261
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 6.15644352045580856014340
Subset: (6, 8), P-Value: 0.00000000000000000000000, Loss: 3.06959603095889255186535
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 3.83068909556176739883426
Subset: (6, 10), P-Value: 0.00000000000000000000000, Loss: 1.10330879891138677884044
Subset: (7, 8), P-Value: 0.00000000000000000000000, Loss: 3.79015933364916657311028
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 5.21700887848185956841007
Subset: (7, 10), P-Value: 0.00000000000000000000000, Loss: 1.01682708651533637578268
Subset: (8, 9), P-Value: 0.00000000000000000000000, Loss: 3.05980525256990887328357
Subset: (8, 10), P-Value: 0.00000000000000000000000, Loss: 1.09712385406606305338073
Subset: (9, 10), P-Value: 0.00000000000000000000000, Loss: 1.14606253162069471329687
Subset: (0, 1, 2), P-Value: 0.00000000370091555884344, Loss: 5.67212391107189883854289
Subset: (0, 1, 3), P-Value: 0.13825439500531111480797, Loss: 5.21324926409936839633019
Subset: (0, 1, 4), P-Value: 0.43527137474990162946398, Loss: 4.46178041815897863386908
Subset: (0, 1, 5), P-Value: 0.00000000000000000000000, Loss: 0.54233797248159099080311
Subset: (0, 1, 6), P-Value: 0.00000000000000000000000, Loss: 3.97691439836335014490487
Subset: (0, 1, 7), P-Value: 0.00000000000000000000000, Loss: 5.20457830774839713683377
Subset: (0, 1, 8), P-Value: 0.00000000000000000000000, Loss: 3.02283681247060354024825
Subset: (0, 1, 9), P-Value: 0.00000000000000000000000, Loss: 3.49961807232748123297483
Subset: (0, 1, 10), P-Value: 0.00000000000000000000001, Loss: 0.93570779614060350937166
Subset: (0, 2, 3), P-Value: 0.00000000000000000496600, Loss: 6.13890125012561860273763
Subset: (0, 2, 4), P-Value: 0.00000000000054288748144, Loss: 5.72934562745735309619022
Subset: (0, 2, 5), P-Value: 0.00000000000000000000000, Loss: 0.58569510158807402966374
Subset: (0, 2, 6), P-Value: 0.00000000000000000000000, Loss: 4.76346744633885865738421
Subset: (0, 2, 7), P-Value: 0.00000000000000000000000, Loss: 6.53692815162641860382564
Subset: (0, 2, 8), P-Value: 0.00000000000000000000000, Loss: 3.40898434251366522218518
Subset: (0, 2, 9), P-Value: 0.00000000000000000000000, Loss: 4.03436887687132017532576
Subset: (0, 2, 10), P-Value: 0.00000000000000000000000, Loss: 1.01536898419523935466202
Subset: (0, 3, 4), P-Value: 0.02445322042524116987194, Loss: 4.91106256105436056458302
Subset: (0, 3, 5), P-Value: 0.00000000000000000000000, Loss: 0.56110799582946169206110
Subset: (0, 3, 6), P-Value: 0.00000000000000000000000, Loss: 4.34039725912043294897558
Subset: (0, 3, 7), P-Value: 0.00000000000000000000000, Loss: 5.68719759857295681371170
Subset: (0, 3, 8), P-Value: 0.00000000000000000000000, Loss: 3.17055900513458910339182
Subset: (0, 3, 9), P-Value: 0.00000000000000000000000, Loss: 3.63469709269349516844727
Subset: (0, 3, 10), P-Value: 0.00000000000000000000000, Loss: 0.95727156148304493044066
Subset: (0, 4, 5), P-Value: 0.00000000009875283661679, Loss: 0.28854981171892107871813
Subset: (0, 4, 6), P-Value: 0.00000000000000000000000, Loss: 4.43466158287235234780610
Subset: (0, 4, 7), P-Value: 0.00000000000176728085955, Loss: 5.72493596673761917514867
Subset: (0, 4, 8), P-Value: 0.00000000000000000000000, Loss: 3.19803817753395103196112
Subset: (0, 4, 9), P-Value: 0.00000000000000000000000, Loss: 3.95808546658697979481190
Subset: (0, 4, 10), P-Value: 0.00000000000000000000000, Loss: 0.72976080428839484870451
Subset: (0, 5, 6), P-Value: 0.00000000000000000000000, Loss: 0.58696225314162575603660
Subset: (0, 5, 7), P-Value: 0.00000000000000000000000, Loss: 0.53883720407566715326908
Subset: (0, 5, 8), P-Value: 0.00000000000000000000000, Loss: 0.56554732269397534061284
Subset: (0, 5, 9), P-Value: 0.00000000000000000000000, Loss: 0.58806064596756979501180
Subset: (0, 5, 10), P-Value: 0.00000000000000000000000, Loss: 0.54428017495647929013813
Subset: (0, 6, 7), P-Value: 0.00000000000000000000000, Loss: 4.73060759787618856364588
Subset: (0, 6, 8), P-Value: 0.00000000000000000000000, Loss: 2.71810886684114283440294
Subset: (0, 6, 9), P-Value: 0.00000000000000000000000, Loss: 3.06738844366988727685452
Subset: (0, 6, 10), P-Value: 0.00000000000000000000000, Loss: 0.97393592027978181935310
Subset: (0, 7, 8), P-Value: 0.00000000000000000000000, Loss: 3.31076257263212747616876
Subset: (0, 7, 9), P-Value: 0.00000000000000000000000, Loss: 4.02181213405772020053064
Subset: (0, 7, 10), P-Value: 0.00000000000000000000000, Loss: 0.91138363303424441141942
Subset: (0, 8, 9), P-Value: 0.00000000000000000000000, Loss: 2.66408803896293022717146
Subset: (0, 8, 10), P-Value: 0.00000000000000000000000, Loss: 0.98479625678724536097519
Subset: (0, 9, 10), P-Value: 0.00000000000000000000000, Loss: 1.01039596604458692397088
Subset: (1, 2, 3), P-Value: 0.00000000000000000000000, Loss: 7.37835938254867862440278
Subset: (1, 2, 4), P-Value: 0.00000000000001356249337, Loss: 6.29384038283815971936974
Subset: (1, 2, 5), P-Value: 0.00000000000000000000000, Loss: 0.59806101764763408557002
Subset: (1, 2, 6), P-Value: 0.00000000000000000000000, Loss: 5.03719661724674327984985
Subset: (1, 2, 7), P-Value: 0.00000000000000000016053, Loss: 6.98827780256990482854462
Subset: (1, 2, 8), P-Value: 0.00000000000000000000000, Loss: 3.42368177004154583542572
Subset: (1, 2, 9), P-Value: 0.00000000000000000000000, Loss: 4.41144829045657527188951
Subset: (1, 2, 10), P-Value: 0.00000000000000000000000, Loss: 1.03675942164832846081879
Subset: (1, 3, 4), P-Value: 0.00000011441079682920851, Loss: 6.17080733032103445623306
Subset: (1, 3, 5), P-Value: 0.00000000000000000000000, Loss: 0.60770960939739182560260
Subset: (1, 3, 6), P-Value: 0.00000000000000000000000, Loss: 4.95257155934579529343864
Subset: (1, 3, 7), P-Value: 0.00000000000000011018178, Loss: 6.77418157222521344351662
Subset: (1, 3, 8), P-Value: 0.00000000000000000000000, Loss: 3.37868950411213520013121
Subset: (1, 3, 9), P-Value: 0.00000000000000000000000, Loss: 4.35316169433909649910674
Subset: (1, 3, 10), P-Value: 0.00000000000000000000000, Loss: 1.04600404580758676864605
Subset: (1, 4, 5), P-Value: 0.00000000000002196501327, Loss: 0.28887731002824307280363
