All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 47472.80022845599160064011812
Subset: (1,), P-Value: 0.00000000000000000000000, Loss: 50358.52232855390320764854550
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 61172.90440284508804325014353
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 76158.60465972140082158148289
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 72179.44689855420438107103109
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 75228.56635756971081718802452
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 72629.73399444980896078050137
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 76393.36312962985539343208075
Subset: (8,), P-Value: 0.00000000000000000000000, Loss: 58012.85320636123651638627052
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 76266.41228490298090036958456
Subset: (10,), P-Value: 0.00000000000000000000000, Loss: 70922.11961454972333740442991
Subset: (0, 1), P-Value: 0.00000000000000000000001, Loss: 44368.81390239726897561922669
Subset: (0, 2), P-Value: 0.00000000000000000000000, Loss: 41487.74511399004404665902257
Subset: (0, 3), P-Value: 0.00000000000001580167706, Loss: 43734.16727122097654500976205
Subset: (0, 4), P-Value: 0.00000000000000000000000, Loss: 44562.61156937829218804836273
Subset: (0, 5), P-Value: 0.00000000000000000000000, Loss: 47469.82837006975023541599512
Subset: (0, 6), P-Value: 0.00000000000000000000143, Loss: 44231.40418171256169443950057
Subset: (0, 7), P-Value: 0.00000000000000000000025, Loss: 45912.62859899784962181001902
Subset: (0, 8), P-Value: 0.00000000000000000000000, Loss: 47169.89975277352641569450498
Subset: (0, 9), P-Value: 0.00000000000000000000000, Loss: 47189.34497145930799888446927
Subset: (0, 10), P-Value: 0.00000000000000000000000, Loss: 47317.64225487304793205112219
Subset: (1, 2), P-Value: 0.00000000000000000000000, Loss: 43373.08180041213199729099870
Subset: (1, 3), P-Value: 0.00000000000000000000000, Loss: 49064.50206606717256363481283
Subset: (1, 4), P-Value: 0.00000000000000000000000, Loss: 47496.55798459029756486415863
Subset: (1, 5), P-Value: 0.00000000000000000000000, Loss: 50010.10066205047041876241565
Subset: (1, 6), P-Value: 0.00000000000000000000000, Loss: 50133.07760503528697881847620
Subset: (1, 7), P-Value: 0.00000000000000000000000, Loss: 49864.02878575724753318354487
Subset: (1, 8), P-Value: 0.00000000000000000000000, Loss: 50475.97620735630334820598364
Subset: (1, 9), P-Value: 0.00000000000000000000000, Loss: 50138.27030967966129537671804
Subset: (1, 10), P-Value: 0.00000000000000000000000, Loss: 48885.89924588141002459451556
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 60614.17228376712591852992773
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 60234.11399053402419667690992
Subset: (2, 5), P-Value: 0.00000000000000000000000, Loss: 60739.27099994957825401797891
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 59383.67889383310102857649326
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 60999.39006883606634801253676
Subset: (2, 8), P-Value: 0.00000000000000000000000, Loss: 48195.37345685490436153486371
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 61204.96496219364053104072809
Subset: (2, 10), P-Value: 0.00000000000000000000000, Loss: 57183.78711846396618057042360
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 71620.83356890485447365790606
Subset: (3, 5), P-Value: 0.00000000000000000000000, Loss: 74523.82588884072902146726847
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 71096.15602055733324959874153
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 75515.06474193776375614106655
Subset: (3, 8), P-Value: 0.00000000000000000000000, Loss: 55311.05209891784033970907331
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 75711.61295930542109999805689
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 70891.67015996837290003895760
Subset: (4, 5), P-Value: 0.00000000000000000000000, Loss: 71113.74388968777202535420656
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 68395.73806487626279704272747
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 71978.48074114507471676915884
Subset: (4, 8), P-Value: 0.00000000000000000000000, Loss: 54668.91991826857702108100057
Subset: (4, 9), P-Value: 0.00000000000000000000000, Loss: 72155.59063433567644096910954
Subset: (4, 10), P-Value: 0.00000000000000000000000, Loss: 66498.80180390157329384237528
Subset: (5, 6), P-Value: 0.00000000000000000000000, Loss: 71681.65492636214185040444136
Subset: (5, 7), P-Value: 0.00000000000000000000000, Loss: 75072.90311659759026952087879
Subset: (5, 8), P-Value: 0.00000000000000000000000, Loss: 58013.35512031260441290214658
Subset: (5, 9), P-Value: 0.00000000000000000000000, Loss: 74978.56378809991292655467987
Subset: (5, 10), P-Value: 0.00000000000000000000000, Loss: 70441.79895146000490058213472
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 72616.59388711414067074656487
Subset: (6, 8), P-Value: 0.00000000000000000000000, Loss: 48959.68007122668495867401361
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 72231.13385111567913554608822
Subset: (6, 10), P-Value: 0.00000000000000000000000, Loss: 68533.11919684598979074507952
Subset: (7, 8), P-Value: 0.00000000000000000000000, Loss: 56510.65903989761864067986608
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 75995.04949935506738256663084
Subset: (7, 10), P-Value: 0.00000000000000000000000, Loss: 70743.09418738434033002704382
Subset: (8, 9), P-Value: 0.00000000000000000000000, Loss: 57837.48155805364513071253896
Subset: (8, 10), P-Value: 0.00000000000000000000000, Loss: 58038.07610192771244328469038
Subset: (9, 10), P-Value: 0.00000000000000000000000, Loss: 70526.70557891455246135592461
Subset: (0, 1, 2), P-Value: 0.00000000000000000000000, Loss: 39087.79906062366353580728173
Subset: (0, 1, 3), P-Value: 0.00000000000001884033553, Loss: 40412.06732163991546258330345
Subset: (0, 1, 4), P-Value: 0.00000000000000000000000, Loss: 41704.14554756930010626092553
Subset: (0, 1, 5), P-Value: 0.00000000000000000000132, Loss: 44160.14218953097588382661343
Subset: (0, 1, 6), P-Value: 0.00000000000000000000184, Loss: 42904.17946336385648464784026
Subset: (0, 1, 7), P-Value: 0.00000000000000000000023, Loss: 43156.38403638232557568699121
Subset: (0, 1, 8), P-Value: 0.00000000000000000000005, Loss: 43680.62133285947493277490139
Subset: (0, 1, 9), P-Value: 0.00000000000000000000000, Loss: 44126.37186280251626158133149
Subset: (0, 1, 10), P-Value: 0.00000000000000000000010, Loss: 43773.99487267872609663754702
Subset: (0, 2, 3), P-Value: 0.00000000000000378871192, Loss: 39138.06459319061832502484322
Subset: (0, 2, 4), P-Value: 0.00000000000000000000000, Loss: 40411.22911663432751083746552
Subset: (0, 2, 5), P-Value: 0.00000000000000000000000, Loss: 41476.22493205014325212687254
Subset: (0, 2, 6), P-Value: 0.00000000000000000000002, Loss: 39517.51943867748195771127939
Subset: (0, 2, 7), P-Value: 0.00000000000000000000000, Loss: 40280.03031211545021506026387
Subset: (0, 2, 8), P-Value: 0.00000000000000000000000, Loss: 41110.88269716013746801763773
Subset: (0, 2, 9), P-Value: 0.00000000000000000000000, Loss: 41477.82931486468442017212510
Subset: (0, 2, 10), P-Value: 0.00000000000000000000000, Loss: 41355.55006995020085014402866
Subset: (0, 3, 4), P-Value: 0.00000000000000000002884, Loss: 41247.78463306915364228188992
Subset: (0, 3, 5), P-Value: 0.00000000000015818382325, Loss: 43564.82396588163828710094094
Subset: (0, 3, 6), P-Value: 0.00000000000009821554501, Loss: 42103.12371206792886368930340
Subset: (0, 3, 7), P-Value: 0.00000000000007132543873, Loss: 43343.72199042425927473232150
Subset: (0, 3, 8), P-Value: 0.00000000000003702068930, Loss: 42482.09248620315338484942913
Subset: (0, 3, 9), P-Value: 0.00000000000000689071247, Loss: 43617.10487678327626781538129
Subset: (0, 3, 10), P-Value: 0.00000000000023988240280, Loss: 43541.39865173731959657743573
Subset: (0, 4, 5), P-Value: 0.00000000000000000000000, Loss: 44564.49429740935738664120436
Subset: (0, 4, 6), P-Value: 0.00000000000000000000000, Loss: 41479.77871841131855035200715
Subset: (0, 4, 7), P-Value: 0.00000000000000000000000, Loss: 43137.58560716283682268112898
Subset: (0, 4, 8), P-Value: 0.00000000000000000000000, Loss: 44287.33782921684905886650085
Subset: (0, 4, 9), P-Value: 0.00000000000000000000000, Loss: 44563.99617305734136607497931
Subset: (0, 4, 10), P-Value: 0.00000000000000000000000, Loss: 44360.77260822212701896205544
Subset: (0, 5, 6), P-Value: 0.00000000000000000000151, Loss: 44226.68833446878124959766865
Subset: (0, 5, 7), P-Value: 0.00000000000000000000040, Loss: 45908.20608385286323027685285
Subset: (0, 5, 8), P-Value: 0.00000000000000000000000, Loss: 47168.81443562656932044774294
Subset: (0, 5, 9), P-Value: 0.00000000000000000000000, Loss: 47188.96340611293271649628878
Subset: (0, 5, 10), P-Value: 0.00000000000000000000000, Loss: 47320.69159270836826181039214
Subset: (0, 6, 7), P-Value: 0.00000000000000000002689, Loss: 43377.28434414459479739889503
Subset: (0, 6, 8), P-Value: 0.00000000000000000000677, Loss: 42589.20050276938127353787422
Subset: (0, 6, 9), P-Value: 0.00000000000000000000170, Loss: 43912.44201265729498118162155
Subset: (0, 6, 10), P-Value: 0.00000000000000000000210, Loss: 44263.32583938565949210897088
Subset: (0, 7, 8), P-Value: 0.00000000000000000000075, Loss: 45459.84248315908189397305250
Subset: (0, 7, 9), P-Value: 0.00000000000000000000057, Loss: 45564.53118923616420943289995
Subset: (0, 7, 10), P-Value: 0.00000000000000000000092, Loss: 45837.35968620718631427735090
Subset: (0, 8, 9), P-Value: 0.00000000000000000000000, Loss: 46910.86688822582800639793277
Subset: (0, 8, 10), P-Value: 0.00000000000000000000000, Loss: 47169.97250483121752040460706
Subset: (0, 9, 10), P-Value: 0.00000000000000000000000, Loss: 47025.40021236890606814995408
Subset: (1, 2, 3), P-Value: 0.00000000000000000000000, Loss: 42692.67217288126266794279218
Subset: (1, 2, 4), P-Value: 0.00000000000000000000000, Loss: 42443.06201441742450697347522
Subset: (1, 2, 5), P-Value: 0.00000000000000000000000, Loss: 42893.64601463499275268986821
Subset: (1, 2, 6), P-Value: 0.00000000000000000000000, Loss: 43340.39383659473969601094723
Subset: (1, 2, 7), P-Value: 0.00000000000000000000000, Loss: 42986.66975489638571161776781
Subset: (1, 2, 8), P-Value: 0.00000000000000000000000, Loss: 43412.67794809608312789350748
Subset: (1, 2, 9), P-Value: 0.00000000000000000000000, Loss: 43394.02305884147790493443608
Subset: (1, 2, 10), P-Value: 0.00000000000000000000000, Loss: 42529.91618616828054655343294
Subset: (1, 3, 4), P-Value: 0.00000000000000000000000, Loss: 46411.97051378941978327929974
Subset: (1, 3, 5), P-Value: 0.00000000000000000000000, Loss: 48209.32582120475126430392265
Subset: (1, 3, 6), P-Value: 0.00000000000000000000000, Loss: 49128.91780825467867543920875
Subset: (1, 3, 7), P-Value: 0.00000000000000000000000, Loss: 48975.88327248914720257744193
Subset: (1, 3, 8), P-Value: 0.00000000000000000000000, Loss: 48991.46076359746075468137860
Subset: (1, 3, 9), P-Value: 0.00000000000000000000000, Loss: 48927.29481127412873320281506
Subset: (1, 3, 10), P-Value: 0.00000000000000000000000, Loss: 47475.21211964584654197096825
Subset: (1, 4, 5), P-Value: 0.00000000000000000000000, Loss: 47027.51970117809105431661010
Subset: (1, 4, 6), P-Value: 0.00000000000000000000000, Loss: 47279.38956791642704047262669
Subset: (1, 4, 7), P-Value: 0.00000000000000000000000, Loss: 47060.99329405080789001658559
Subset: (1, 4, 8), P-Value: 0.00000000000000000000000, Loss: 47629.15935132624872494488955
Subset: (1, 4, 9), P-Value: 0.00000000000000000000000, Loss: 47517.19118411855015438050032
Subset: (1, 4, 10), P-Value: 0.00000000000000000000000, Loss: 46268.93117270542279584333301
Subset: (1, 5, 6), P-Value: 0.00000000000000000000000, Loss: 49789.90172191377496346831322
Subset: (1, 5, 7), P-Value: 0.00000000000000000000000, Loss: 49419.12838279493007576093078
Subset: (1, 5, 8), P-Value: 0.00000000000000000000000, Loss: 50109.33566317602526396512985
Subset: (1, 5, 9), P-Value: 0.00000000000000000000000, Loss: 49748.52802859290386550128460
Subset: (1, 5, 10), P-Value: 0.00000000000000000000000, Loss: 48519.74576231907121837139130
Subset: (1, 6, 7), P-Value: 0.00000000000000000000000, Loss: 49769.06344362749223364517093
Subset: (1, 6, 8), P-Value: 0.00000000000000000000000, Loss: 49094.61701323918532580137253
Subset: (1, 6, 9), P-Value: 0.00000000000000000000000, Loss: 49883.27639164081483613699675
Subset: (1, 6, 10), P-Value: 0.00000000000000000000000, Loss: 48637.19242980266426457092166
Subset: (1, 7, 8), P-Value: 0.00000000000000000000000, Loss: 49984.02509658335475251078606
Subset: (1, 7, 9), P-Value: 0.00000000000000000000000, Loss: 49612.11787232645292533561587
Subset: (1, 7, 10), P-Value: 0.00000000000000000000000, Loss: 48253.66558720132888993248343
Subset: (1, 8, 9), P-Value: 0.00000000000000000000000, Loss: 50223.60893781055347062647343
Subset: (1, 8, 10), P-Value: 0.00000000000000000000000, Loss: 48965.98316654015070525929332
Subset: (1, 9, 10), P-Value: 0.00000000000000000000000, Loss: 48706.10823892929329304024577
Subset: (2, 3, 4), P-Value: 0.00000000000000000000000, Loss: 59639.52208220661850646138191
Subset: (2, 3, 5), P-Value: 0.00000000000000000000000, Loss: 60036.66310164995957165956497
Subset: (2, 3, 6), P-Value: 0.00000000000000000000000, Loss: 58111.73305475553206633776426
Subset: (2, 3, 7), P-Value: 0.00000000000000000000000, Loss: 60068.29769275755097623914480
Subset: (2, 3, 8), P-Value: 0.00000000000000000000000, Loss: 46670.01393931741040432825685
Subset: (2, 3, 9), P-Value: 0.00000000000000000000000, Loss: 60627.63848812326614279299974
Subset: (2, 3, 10), P-Value: 0.00000000000000000000000, Loss: 57090.05417651271272916346788
Subset: (2, 4, 5), P-Value: 0.00000000000000000000000, Loss: 59836.16414683494076598435640
Subset: (2, 4, 6), P-Value: 0.00000000000000000000000, Loss: 58386.09865754701604600995779
Subset: (2, 4, 7), P-Value: 0.00000000000000000000000, Loss: 60076.11713739006518153473735
Subset: (2, 4, 8), P-Value: 0.00000000000000000000000, Loss: 47275.67002356067678192630410
Subset: (2, 4, 9), P-Value: 0.00000000000000000000000, Loss: 60343.35102760183508507907391
Subset: (2, 4, 10), P-Value: 0.00000000000000000000000, Loss: 56077.81973163441580254584551
Subset: (2, 5, 6), P-Value: 0.00000000000000000000000, Loss: 59115.23898175550857558846474
Subset: (2, 5, 7), P-Value: 0.00000000000000000000000, Loss: 60613.97622667435643961653113
Subset: (2, 5, 8), P-Value: 0.00000000000000000000000, Loss: 48123.43186841373244533315301
Subset: (2, 5, 9), P-Value: 0.00000000000000000000000, Loss: 60815.76764979292056523263454
Subset: (2, 5, 10), P-Value: 0.00000000000000000000000, Loss: 57117.79830176735413260757923
Subset: (2, 6, 7), P-Value: 0.00000000000000000000000, Loss: 59366.32261241130618145689368
Subset: (2, 6, 8), P-Value: 0.00000000000000000000000, Loss: 42613.38815437784796813502908
Subset: (2, 6, 9), P-Value: 0.00000000000000000000000, Loss: 59357.61952718515385640785098
Subset: (2, 6, 10), P-Value: 0.00000000000000000000000, Loss: 56230.95639184388710418716073
Subset: (2, 7, 8), P-Value: 0.00000000000000000000000, Loss: 47072.94723261975741479545832
Subset: (2, 7, 9), P-Value: 0.00000000000000000000000, Loss: 61019.13281594852014677599072
Subset: (2, 7, 10), P-Value: 0.00000000000000000000000, Loss: 57056.61230627347686095163226
Subset: (2, 8, 9), P-Value: 0.00000000000000000000000, Loss: 48304.97028197272447869181633
Subset: (2, 8, 10), P-Value: 0.00000000000000000000000, Loss: 48256.52932247707212809473276
Subset: (2, 9, 10), P-Value: 0.00000000000000000000000, Loss: 57194.23422335751092759892344
Subset: (3, 4, 5), P-Value: 0.00000000000000000000000, Loss: 70351.33699808019446209073067
Subset: (3, 4, 6), P-Value: 0.00000000000000000000000, Loss: 66763.94345632690237835049629
Subset: (3, 4, 7), P-Value: 0.00000000000000000000000, Loss: 71021.93603413975506555289030
Subset: (3, 4, 8), P-Value: 0.00000000000000000000000, Loss: 52348.30356299295817734673619
Subset: (3, 4, 9), P-Value: 0.00000000000000000000000, Loss: 71577.42099228991719428449869
Subset: (3, 4, 10), P-Value: 0.00000000000000000000000, Loss: 66427.72905470825207885354757
Subset: (3, 5, 6), P-Value: 0.00000000000000000000000, Loss: 69869.63277387502603232860565
Subset: (3, 5, 7), P-Value: 0.00000000000000000000000, Loss: 73969.04293515793688129633665
Subset: (3, 5, 8), P-Value: 0.00000000000000000000000, Loss: 54990.74290590918826637789607
Subset: (3, 5, 9), P-Value: 0.00000000000000000000000, Loss: 74211.11865980656875763088465
Subset: (3, 5, 10), P-Value: 0.00000000000000000000000, Loss: 70334.45819283796299714595079
Subset: (3, 6, 7), P-Value: 0.00000000000000000000000, Loss: 70768.61040730949025601148605
Subset: (3, 6, 8), P-Value: 0.00000000000000000000000, Loss: 47621.95402608378935838118196
Subset: (3, 6, 9), P-Value: 0.00000000000000000000000, Loss: 70546.34984588893712498247623
Subset: (3, 6, 10), P-Value: 0.00000000000000000000000, Loss: 67983.85705186991253867745399
Subset: (3, 7, 8), P-Value: 0.00000000000000000000000, Loss: 54788.14933305501472204923630
Subset: (3, 7, 9), P-Value: 0.00000000000000000000000, Loss: 74975.89644590888929087668657
Subset: (3, 7, 10), P-Value: 0.00000000000000000000000, Loss: 70590.01312025926017668098211
Subset: (3, 8, 9), P-Value: 0.00000000000000000000000, Loss: 55267.77375351613591192290187
Subset: (3, 8, 10), P-Value: 0.00000000000000000000000, Loss: 55357.58719724146067164838314
Subset: (3, 9, 10), P-Value: 0.00000000000000000000000, Loss: 70445.93642714347515720874071
Subset: (4, 5, 6), P-Value: 0.00000000000000000000000, Loss: 67704.91476401305408217012882
Subset: (4, 5, 7), P-Value: 0.00000000000000000000000, Loss: 70981.42419462891120929270983
Subset: (4, 5, 8), P-Value: 0.00000000000000000000000, Loss: 54646.07722876461775740608573
Subset: (4, 5, 9), P-Value: 0.00000000000000000000000, Loss: 71155.62550427767564542591572
Subset: (4, 5, 10), P-Value: 0.00000000000000000000000, Loss: 66214.08634747295582201331854
