All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 108783.37797469554061535745859
Subset: (1,), P-Value: 0.00000000000000000000000, Loss: 111120.37630797657766379415989
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 91715.99327090459701139479876
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 80825.98680076104938052594662
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 76836.16762830311199650168419
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 80890.42334891430800780653954
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 85813.76308007499028462916613
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 74835.48011456108361016958952
Subset: (8,), P-Value: 0.00000000000000000000000, Loss: 100862.06582703045569360256195
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 74415.43854080661549232900143
Subset: (10,), P-Value: 0.00000000000000000000000, Loss: 77196.75878434747573919594288
Subset: (0, 1), P-Value: 0.00000000000000000000000, Loss: 113141.56827089258877094835043
Subset: (0, 2), P-Value: 0.00000000000000000000000, Loss: 116647.68512835513683967292309
Subset: (0, 3), P-Value: 0.00000000000000000000000, Loss: 115374.96193881193175911903381
Subset: (0, 4), P-Value: 0.00000000000000000000000, Loss: 119198.06623510451754555106163
Subset: (0, 5), P-Value: 0.00000000000000000000000, Loss: 111881.27657148022262845188379
Subset: (0, 6), P-Value: 0.00000000000000000000000, Loss: 110900.21654037805274128913879
Subset: (0, 7), P-Value: 0.00000000000000000000000, Loss: 111066.27076588670024648308754
Subset: (0, 8), P-Value: 0.00000000000000000000000, Loss: 109287.46872536356386262923479
Subset: (0, 9), P-Value: 0.00000000000000000000000, Loss: 109661.24056263394595589488745
Subset: (0, 10), P-Value: 0.00000000000000000000000, Loss: 110394.25628071934625040739775
Subset: (1, 2), P-Value: 0.00000000000000000000000, Loss: 116600.00302527332678437232971
Subset: (1, 3), P-Value: 0.00000000000000000000000, Loss: 114173.20815518857853021472692
Subset: (1, 4), P-Value: 0.00000000000000000000000, Loss: 116016.36874329259444493800402
Subset: (1, 5), P-Value: 0.00000000000000000000000, Loss: 114409.19319193418778013437986
Subset: (1, 6), P-Value: 0.00000000000000000000000, Loss: 111633.37942212565394584089518
Subset: (1, 7), P-Value: 0.00000000000000000000000, Loss: 111809.21907541331893298774958
Subset: (1, 8), P-Value: 0.00000000000000000000000, Loss: 111248.83204507616756018251181
Subset: (1, 9), P-Value: 0.00000000000000000000000, Loss: 111826.58485150715569034218788
Subset: (1, 10), P-Value: 0.00000000000000000000000, Loss: 112169.47663154866313561797142
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 93957.37487416423391550779343
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 95288.35923072636069264262915
Subset: (2, 5), P-Value: 0.00000000000000000000000, Loss: 97053.29479121387703344225883
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 95849.07574613587348721921444
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 92589.86304407549323514103889
Subset: (2, 8), P-Value: 0.00000000000000000000000, Loss: 113484.21597633043711539357901
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 92758.85425902080896776169538
Subset: (2, 10), P-Value: 0.00000000000000000000000, Loss: 95663.18957193732785526663065
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 84602.77593861117202322930098
Subset: (3, 5), P-Value: 0.00000000000000000000000, Loss: 86309.58253801761020440608263
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 91342.33904161077225580811501
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 82099.36232008037040941417217
Subset: (3, 8), P-Value: 0.00000000000000000000000, Loss: 105424.69923192985879722982645
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 81902.96941814785532187670469
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 84385.08226386134629137814045
Subset: (4, 5), P-Value: 0.00000000000000000000000, Loss: 86813.72616329777520149946213
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 89500.53760486269311513751745
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 78175.27868784349993802607059
Subset: (4, 8), P-Value: 0.00000000000000000000000, Loss: 108630.39559902502514887601137
Subset: (4, 9), P-Value: 0.00000000000000000000000, Loss: 77640.59256297217507380992174
Subset: (4, 10), P-Value: 0.00000000000000000000000, Loss: 79818.50846410151279997080564
Subset: (5, 6), P-Value: 0.00000000000000000000000, Loss: 89975.21300806185172405093908
Subset: (5, 7), P-Value: 0.00000000000000000000000, Loss: 82098.10470839290064759552479
Subset: (5, 8), P-Value: 0.00000000000000000000000, Loss: 105657.19343209017824847251177
Subset: (5, 9), P-Value: 0.00000000000000000000000, Loss: 81794.34231437844573520123959
Subset: (5, 10), P-Value: 0.00000000000000000000000, Loss: 85243.34952986989810597151518
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 86823.84174041177902836352587
Subset: (6, 8), P-Value: 0.00000000000000000000000, Loss: 110296.07680059727863408625126
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 86565.78764184434839989989996
Subset: (6, 10), P-Value: 0.00000000000000000000000, Loss: 93412.12978229200234636664391
Subset: (7, 8), P-Value: 0.00000000000000000000000, Loss: 102395.19680520787369459867477
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 75703.23083936559851281344891
Subset: (7, 10), P-Value: 0.00000000000000000000000, Loss: 78453.29770819707482587546110
Subset: (8, 9), P-Value: 0.00000000000000000000000, Loss: 101509.30205515849229414016008
Subset: (8, 10), P-Value: 0.00000000000000000000000, Loss: 102737.55133835747255943715572
Subset: (9, 10), P-Value: 0.00000000000000000000000, Loss: 77973.41655554922181181609631
Subset: (0, 1, 2), P-Value: 0.00000000000000000000000, Loss: 118455.67396590854332316666842
Subset: (0, 1, 3), P-Value: 0.00000000000000000000000, Loss: 117147.92003132081299554556608
Subset: (0, 1, 4), P-Value: 0.00000000000000000000000, Loss: 122029.44525091817195061594248
Subset: (0, 1, 5), P-Value: 0.00000000000000000000000, Loss: 116616.53610696835676208138466
Subset: (0, 1, 6), P-Value: 0.00000000000000000000000, Loss: 114011.92867920472053810954094
Subset: (0, 1, 7), P-Value: 0.00000000000000000000000, Loss: 114466.51721288551925681531429
Subset: (0, 1, 8), P-Value: 0.00000000000000000000000, Loss: 113391.23113784566521644592285
Subset: (0, 1, 9), P-Value: 0.00000000000000000000000, Loss: 113899.40685205822228454053402
Subset: (0, 1, 10), P-Value: 0.00000000000000000000000, Loss: 114555.48286989318148698657751
Subset: (0, 2, 3), P-Value: 0.00000000000000000000000, Loss: 119795.56085185283154714852571
Subset: (0, 2, 4), P-Value: 0.00000000000000000000000, Loss: 125434.09133187936095055192709
Subset: (0, 2, 5), P-Value: 0.00000000000000000000000, Loss: 119548.29842158324026968330145
Subset: (0, 2, 6), P-Value: 0.00000000000000000000000, Loss: 117123.41788536054082214832306
Subset: (0, 2, 7), P-Value: 0.00000000000000000000000, Loss: 118088.57005443399248179048300
Subset: (0, 2, 8), P-Value: 0.00000000000000000000000, Loss: 117594.39004900029976852238178
Subset: (0, 2, 9), P-Value: 0.00000000000000000000000, Loss: 117566.63658353018399793654680
Subset: (0, 2, 10), P-Value: 0.00000000000000000000000, Loss: 118372.25646435182716231793165
Subset: (0, 3, 4), P-Value: 0.00000000000000000000000, Loss: 125163.82093099711346440017223
Subset: (0, 3, 5), P-Value: 0.00000000000000000000000, Loss: 118849.10846624497207812964916
Subset: (0, 3, 6), P-Value: 0.00000000000000000000000, Loss: 117003.71257812339172232896090
Subset: (0, 3, 7), P-Value: 0.00000000000000000000000, Loss: 117542.03622795485716778784990
Subset: (0, 3, 8), P-Value: 0.00000000000000000000000, Loss: 115157.18750533269485458731651
Subset: (0, 3, 9), P-Value: 0.00000000000000000000000, Loss: 116322.97626939915062393993139
Subset: (0, 3, 10), P-Value: 0.00000000000000000000000, Loss: 116994.53662002903001848608255
Subset: (0, 4, 5), P-Value: 0.00000000000000000000000, Loss: 119769.18664904125034809112549
Subset: (0, 4, 6), P-Value: 0.00000000000000000000000, Loss: 118290.69098691553517710417509
Subset: (0, 4, 7), P-Value: 0.00000000000000000000000, Loss: 119942.64385559693619143217802
Subset: (0, 4, 8), P-Value: 0.00000000000000000000000, Loss: 120797.99821547754982020705938
Subset: (0, 4, 9), P-Value: 0.00000000000000000000000, Loss: 119232.90894717891933396458626
Subset: (0, 4, 10), P-Value: 0.00000000000000000000000, Loss: 119992.59638324176194146275520
Subset: (0, 5, 6), P-Value: 0.00000000000000000000000, Loss: 113287.96973561767663341015577
Subset: (0, 5, 7), P-Value: 0.00000000000000000000000, Loss: 114048.60489049443276599049568
Subset: (0, 5, 8), P-Value: 0.00000000000000000000000, Loss: 113102.68364310963079333305359
Subset: (0, 5, 9), P-Value: 0.00000000000000000000000, Loss: 112881.89447452366584911942482
Subset: (0, 5, 10), P-Value: 0.00000000000000000000000, Loss: 112738.42687398816633503884077
Subset: (0, 6, 7), P-Value: 0.00000000000000000000000, Loss: 112421.48558516884804703295231
Subset: (0, 6, 8), P-Value: 0.00000000000000000000000, Loss: 113108.76834497283562086522579
Subset: (0, 6, 9), P-Value: 0.00000000000000000000000, Loss: 111681.71659821236971765756607
Subset: (0, 6, 10), P-Value: 0.00000000000000000000000, Loss: 112604.79534253622114192694426
Subset: (0, 7, 8), P-Value: 0.00000000000000000000000, Loss: 111430.58921011525671929121017
Subset: (0, 7, 9), P-Value: 0.00000000000000000000000, Loss: 112141.24454164523922372609377
Subset: (0, 7, 10), P-Value: 0.00000000000000000000000, Loss: 112135.46541762941342312842607
Subset: (0, 8, 9), P-Value: 0.00000000000000000000000, Loss: 110074.80466232875187415629625
Subset: (0, 8, 10), P-Value: 0.00000000000000000000000, Loss: 111276.61173020885325968265533
Subset: (0, 9, 10), P-Value: 0.00000000000000000000000, Loss: 111044.30929866411315742880106
Subset: (1, 2, 3), P-Value: 0.00000000000000000000000, Loss: 118160.50748383360041771084070
Subset: (1, 2, 4), P-Value: 0.00000000000000000000000, Loss: 121169.28840048237179871648550
Subset: (1, 2, 5), P-Value: 0.00000000000000000000000, Loss: 119817.60888322080427315086126
Subset: (1, 2, 6), P-Value: 0.00000000000000000000000, Loss: 117648.82110922725405544042587
Subset: (1, 2, 7), P-Value: 0.00000000000000000000000, Loss: 117005.75618228758685290813446
Subset: (1, 2, 8), P-Value: 0.00000000000000000000000, Loss: 117193.23684720251185353845358
Subset: (1, 2, 9), P-Value: 0.00000000000000000000000, Loss: 117342.22772910518688149750233
Subset: (1, 2, 10), P-Value: 0.00000000000000000000000, Loss: 117802.48932185786543413996696
Subset: (1, 3, 4), P-Value: 0.00000000000000000000000, Loss: 118892.32119450930622406303883
Subset: (1, 3, 5), P-Value: 0.00000000000000000000000, Loss: 117546.20697452822059858590364
Subset: (1, 3, 6), P-Value: 0.00000000000000000000000, Loss: 114722.58639962374581955373287
Subset: (1, 3, 7), P-Value: 0.00000000000000000000000, Loss: 114847.36401105186087079346180
Subset: (1, 3, 8), P-Value: 0.00000000000000000000000, Loss: 114327.20576724487182218581438
Subset: (1, 3, 9), P-Value: 0.00000000000000000000000, Loss: 114952.67033871222520247101784
Subset: (1, 3, 10), P-Value: 0.00000000000000000000000, Loss: 115358.39896743535064160823822
Subset: (1, 4, 5), P-Value: 0.00000000000000000000000, Loss: 118357.46229441613832022994757
