All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 113462.77114329833420924842358
Subset: (1,), P-Value: 0.00000000000000000085896, Loss: 111216.30939558437967207282782
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 91847.81669911585049703717232
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 79823.91934534512984100729227
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 78114.99363225704291835427284
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 83420.87668612728884909301996
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 88412.07385203083686064928770
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 76376.47725211655779276043177
Subset: (8,), P-Value: 0.00000000000000000000000, Loss: 97639.46022322686621919274330
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 77633.46409900496655609458685
Subset: (10,), P-Value: 0.00000000000000000000000, Loss: 78935.31119017943274229764938
Subset: (0, 1), P-Value: 0.00000000000000000085396, Loss: 116832.65076634415891021490097
Subset: (0, 2), P-Value: 0.00000000000000000000000, Loss: 119214.76594975979242008179426
Subset: (0, 3), P-Value: 0.00000000000000000000000, Loss: 115820.24679044117510784417391
Subset: (0, 4), P-Value: 0.00000007897275363177033, Loss: 123223.14876244911283720284700
Subset: (0, 5), P-Value: 0.00000000000000363398251, Loss: 116622.84105326808639802038670
Subset: (0, 6), P-Value: 0.00000000000000195290275, Loss: 119276.55775023717433214187622
Subset: (0, 7), P-Value: 0.00000000000000000691158, Loss: 116109.07814910246815998107195
Subset: (0, 8), P-Value: 0.00000000000000000000000, Loss: 112419.84931409594719298183918
Subset: (0, 9), P-Value: 0.00000000000000008223225, Loss: 126751.35629070721915923058987
Subset: (0, 10), P-Value: 0.00000000000000000014419, Loss: 115428.09292247949633747339249
Subset: (1, 2), P-Value: 0.00000000000000000000002, Loss: 118721.82813437779259402304888
Subset: (1, 3), P-Value: 0.00000000000000000000301, Loss: 113342.12667268015502486377954
Subset: (1, 4), P-Value: 0.00000000000019290823138, Loss: 117052.70889062894275411963463
Subset: (1, 5), P-Value: 0.00000000046129414414826, Loss: 114589.35960242715373169630766
Subset: (1, 6), P-Value: 0.00000000000000025285233, Loss: 112794.80154812539694830775261
Subset: (1, 7), P-Value: 0.00000000000000003810603, Loss: 112272.02920158808410633355379
Subset: (1, 8), P-Value: 0.00000000000000000052233, Loss: 111762.53805267815187107771635
Subset: (1, 9), P-Value: 0.00000000000002579076229, Loss: 117215.02356374867667909711599
Subset: (1, 10), P-Value: 0.00000000000000000091887, Loss: 112377.18270870823471341282129
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 92413.63417841827322263270617
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 94973.24201827523938845843077
Subset: (2, 5), P-Value: 0.00000000000000000000072, Loss: 98415.63262259136536158621311
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 100749.72810109167767222970724
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 92729.57146951803588308393955
Subset: (2, 8), P-Value: 0.00000000000000000000000, Loss: 109213.75595616130158305168152
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 92720.61655248745228163897991
Subset: (2, 10), P-Value: 0.00000000000000000000000, Loss: 95639.93760092766024172306061
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 83420.95502391766058281064034
Subset: (3, 5), P-Value: 0.00000000000000000000000, Loss: 87629.83109973130922298878431
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 91484.60001917085901368409395
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 81295.39826514539890922605991
Subset: (3, 8), P-Value: 0.00000000000000000000000, Loss: 100894.24658813029236625880003
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 81476.96012209904438350349665
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 83767.60610376021941192448139
Subset: (4, 5), P-Value: 0.00000000000000000000000, Loss: 89470.39527517564420122653246
Subset: (4, 6), P-Value: 0.00000000000000000000009, Loss: 93924.24373541869863402098417
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 79781.79978561765165068209171
Subset: (4, 8), P-Value: 0.00000000000000000000002, Loss: 105225.88238923592143692076206
Subset: (4, 9), P-Value: 0.00000000000000000000000, Loss: 80421.21913710724038537591696
Subset: (4, 10), P-Value: 0.00000000000000000000000, Loss: 81784.04116112191695719957352
Subset: (5, 6), P-Value: 0.00000000000000000000721, Loss: 94201.89618295083346311002970
Subset: (5, 7), P-Value: 0.00000000000000000000014, Loss: 85073.80211573203268926590681
Subset: (5, 8), P-Value: 0.00000000000000000003027, Loss: 100898.90922937836148776113987
Subset: (5, 9), P-Value: 0.00000000000000000000850, Loss: 89278.00868269610509742051363
Subset: (5, 10), P-Value: 0.00000000000000000000000, Loss: 88220.88803557754727080464363
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 89439.59264121805608738213778
Subset: (6, 8), P-Value: 0.00000000000000005937939, Loss: 111359.46654159409808926284313
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 89570.13069611182436347007751
Subset: (6, 10), P-Value: 0.00000000000000175257973, Loss: 97781.97254793581669218838215
Subset: (7, 8), P-Value: 0.00000000000000000000000, Loss: 99920.43574548364267684519291
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 78989.90495517721865326166153
Subset: (7, 10), P-Value: 0.00000000000000000000000, Loss: 80537.24144483916461467742920
Subset: (8, 9), P-Value: 0.00000000000000000000000, Loss: 102263.93242362920136656612158
Subset: (8, 10), P-Value: 0.00000000000000000000000, Loss: 99170.92619085997284855693579
Subset: (9, 10), P-Value: 0.00000000000000000000000, Loss: 80663.53160621761344373226166
Subset: (0, 1, 2), P-Value: 0.00000000000000000000001, Loss: 122374.15455972851486876606941
Subset: (0, 1, 3), P-Value: 0.00000000000000000001365, Loss: 118621.62329811041126959025860
Subset: (0, 1, 4), P-Value: 0.00001484434053778809671, Loss: 126311.11117814210592769086361
Subset: (0, 1, 5), P-Value: 0.00000000186083472982710, Loss: 120166.63562301742786075919867
Subset: (0, 1, 6), P-Value: 0.00000000000000416742038, Loss: 119719.06842168016009964048862
Subset: (0, 1, 7), P-Value: 0.00000000000037245362770, Loss: 118840.23018314399814698845148
Subset: (0, 1, 8), P-Value: 0.00000000000000004272718, Loss: 119328.68877965405408758670092
Subset: (0, 1, 9), P-Value: 0.00000000006644771053705, Loss: 129370.63858742317825090140104
Subset: (0, 1, 10), P-Value: 0.00000000000002226325751, Loss: 118663.85422146384371444582939
Subset: (0, 2, 3), P-Value: 0.00000000000000000000000, Loss: 119172.93739878764608874917030
Subset: (0, 2, 4), P-Value: 0.00000046064424772634915, Loss: 127334.37779895114363171160221
Subset: (0, 2, 5), P-Value: 0.00000000000006181118613, Loss: 122726.03561790932144504040480
Subset: (0, 2, 6), P-Value: 0.00000000000000000669786, Loss: 124075.38868542738782707601786
Subset: (0, 2, 7), P-Value: 0.00000000000000000297921, Loss: 120969.98977869626833125948906
Subset: (0, 2, 8), P-Value: 0.00000000000000000000000, Loss: 118389.38399117368680890649557
Subset: (0, 2, 9), P-Value: 0.00000000000002890098510, Loss: 134825.85272044857265427708626
Subset: (0, 2, 10), P-Value: 0.00000000000000000002155, Loss: 120859.92999723940738476812840
Subset: (0, 3, 4), P-Value: 0.00000001673629545951909, Loss: 125569.68779855436878278851509
Subset: (0, 3, 5), P-Value: 0.00000000000000403777956, Loss: 118988.38156624467228539288044
Subset: (0, 3, 6), P-Value: 0.00000000000000007101170, Loss: 121270.52950532789691351354122
Subset: (0, 3, 7), P-Value: 0.00000000000000000012025, Loss: 118431.15685810886498074978590
Subset: (0, 3, 8), P-Value: 0.00000000000000000000000, Loss: 114678.91198698387597687542439
Subset: (0, 3, 9), P-Value: 0.00000000000000001181286, Loss: 128327.56596824323059991002083
Subset: (0, 3, 10), P-Value: 0.00000000000000000000995, Loss: 117794.07507121891831047832966
Subset: (0, 4, 5), P-Value: 0.00000060995361970862986, Loss: 123827.74276729048870038241148
Subset: (0, 4, 6), P-Value: 0.00000364091931900834035, Loss: 126645.04134272277588024735451
Subset: (0, 4, 7), P-Value: 0.00000009164114940755613, Loss: 124101.34596989705460146069527
Subset: (0, 4, 8), P-Value: 0.00000001728007963104198, Loss: 123183.07717347917787265032530
Subset: (0, 4, 9), P-Value: 0.00000782263533413659076, Loss: 134633.22812333703041076660156
Subset: (0, 4, 10), P-Value: 0.00000029036557724631059, Loss: 123471.50531904451781883835793
Subset: (0, 5, 6), P-Value: 0.00000006534003811304465, Loss: 122604.21764061837166082113981
Subset: (0, 5, 7), P-Value: 0.00000000010075039040385, Loss: 118932.31138175299565773457289
Subset: (0, 5, 8), P-Value: 0.00000000000000858682511, Loss: 115304.07372590315935667604208
Subset: (0, 5, 9), P-Value: 0.00000000026589377233980, Loss: 128929.76835212724108714610338
Subset: (0, 5, 10), P-Value: 0.00000000000021401359571, Loss: 117950.51405266813526395708323
Subset: (0, 6, 7), P-Value: 0.00000000000906307885421, Loss: 120467.00254568955278955399990
Subset: (0, 6, 8), P-Value: 0.00000000000000461328536, Loss: 119592.18457928353745955973864
Subset: (0, 6, 9), P-Value: 0.00000000014494020882819, Loss: 128935.40374616133340168744326
Subset: (0, 6, 10), P-Value: 0.00000000000000427387698, Loss: 121441.56281577321351505815983
Subset: (0, 7, 8), P-Value: 0.00000000000000000310262, Loss: 115257.03273451805580407381058
Subset: (0, 7, 9), P-Value: 0.00000007430654194217017, Loss: 137774.77361727730021812021732
Subset: (0, 7, 10), P-Value: 0.00000000000000101271769, Loss: 117211.90948286659840960055590
Subset: (0, 8, 9), P-Value: 0.00000000000000015746474, Loss: 125841.55832722067134454846382
Subset: (0, 8, 10), P-Value: 0.00000000000000000100521, Loss: 114486.50822396134026348590851
Subset: (0, 9, 10), P-Value: 0.00000000000042260481999, Loss: 125538.16814143331430386751890
Subset: (1, 2, 3), P-Value: 0.00000000000000000000011, Loss: 118499.13646866829367354512215
Subset: (1, 2, 4), P-Value: 0.00000000000001204249922, Loss: 123291.98502440420270431786776
Subset: (1, 2, 5), P-Value: 0.00000000014940973219042, Loss: 121962.47800662895315326750278
Subset: (1, 2, 6), P-Value: 0.00000000000000000021588, Loss: 119774.49134792576660402119160
Subset: (1, 2, 7), P-Value: 0.00000000000000000003863, Loss: 119310.42523953145428095012903
Subset: (1, 2, 8), P-Value: 0.00000000000000000000025, Loss: 118393.57301874953554943203926
Subset: (1, 2, 9), P-Value: 0.00000000000003450868878, Loss: 127488.80522997875232249498367
Subset: (1, 2, 10), P-Value: 0.00000000000000000000006, Loss: 119169.13320536384708248078823
Subset: (1, 3, 4), P-Value: 0.00000000000006130206960, Loss: 119196.43223798291001003235579
Subset: (1, 3, 5), P-Value: 0.00000000056016627364011, Loss: 116661.19160614450811408460140
Subset: (1, 3, 6), P-Value: 0.00000000000000001966863, Loss: 115051.26521909341681748628616
Subset: (1, 3, 7), P-Value: 0.00000000000000000040082, Loss: 114406.26377224184398073703051
Subset: (1, 3, 8), P-Value: 0.00000000000000000000510, Loss: 113648.85441047415952198207378
Subset: (1, 3, 9), P-Value: 0.00000000000000354895007, Loss: 119113.89264846082369331270456
Subset: (1, 3, 10), P-Value: 0.00000000000000000000264, Loss: 114403.88664738119405228644609
Subset: (1, 4, 5), P-Value: 0.00000000338272105197100, Loss: 119287.07454491590033285319805
