All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 51409.00545708643767284229398
Subset: (1,), P-Value: 0.00000000000000000000000, Loss: 53109.25699632657051552087069
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 67700.84000641004240605980158
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 86596.97316775869694538414478
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 90334.22833109290513675659895
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 82529.41617873829090967774391
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 81064.04354721611889544874430
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 89499.91461479164718184620142
Subset: (8,), P-Value: 0.00000000000000000000000, Loss: 65231.03551146186509868130088
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 90028.81915463626501150429249
Subset: (10,), P-Value: 0.00000000000000000000000, Loss: 83076.61035020586859900504351
Subset: (0, 1), P-Value: 0.00000000000000000000000, Loss: 49079.68742189045588020235300
Subset: (0, 2), P-Value: 0.00000000000000000000000, Loss: 43855.71560906388185685500503
Subset: (0, 3), P-Value: 0.00000000000000000000000, Loss: 42702.19721333394409157335758
Subset: (0, 4), P-Value: 0.00000000000000000000000, Loss: 51409.00545708643767284229398
Subset: (0, 5), P-Value: 0.00000000000000000000000, Loss: 49514.36314345172286266461015
Subset: (0, 6), P-Value: 0.00000000000000000000000, Loss: 51142.72031253546447260305285
Subset: (0, 7), P-Value: 0.00000000000000000000000, Loss: 48336.21662750850373413413763
Subset: (0, 8), P-Value: 0.00000000000000000000000, Loss: 53307.90670476725790649652481
Subset: (0, 9), P-Value: 0.00000000000000000000000, Loss: 50863.03179150869982549920678
Subset: (0, 10), P-Value: 0.00000000000000000000000, Loss: 50275.30317629429191583767533
Subset: (1, 2), P-Value: 0.00000000000000000000000, Loss: 44762.54038567661336855962873
Subset: (1, 3), P-Value: 0.00000000000000000000000, Loss: 47997.90684936542675131931901
Subset: (1, 4), P-Value: 0.00000000000000000000000, Loss: 53109.25699632657051552087069
Subset: (1, 5), P-Value: 0.00000000000000000000000, Loss: 51080.36097543579671764746308
Subset: (1, 6), P-Value: 0.00000000000000000000000, Loss: 53288.84767106398794567212462
Subset: (1, 7), P-Value: 0.00000000000000000000000, Loss: 51550.42447804320545401424170
Subset: (1, 8), P-Value: 0.00000000000000000000000, Loss: 53175.07678682574623962864280
Subset: (1, 9), P-Value: 0.00000000000000000000000, Loss: 52684.27445158713089767843485
Subset: (1, 10), P-Value: 0.00000000000000000000000, Loss: 52454.84124364385934313759208
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 64606.05447885748435510322452
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 67700.84000641004240605980158
Subset: (2, 5), P-Value: 0.00000000000000000000000, Loss: 61995.57344429738441249355674
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 66898.87073115058592520654202
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 67338.36537267208041157573462
Subset: (2, 8), P-Value: 0.00000000000000000000000, Loss: 51676.85525425958621781319380
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 67685.17453066498273983597755
Subset: (2, 10), P-Value: 0.00000000000000000000000, Loss: 62390.93265958964911988005042
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 86596.97316775869694538414478
Subset: (3, 5), P-Value: 0.00000000000000000000000, Loss: 73128.41988205257803201675415
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 75402.60257192110293544828892
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 85780.08245445549255236983299
Subset: (3, 8), P-Value: 0.00000000000000000000000, Loss: 56599.78826880589622305706143
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 86365.64010077679995447397232
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 80312.32015745743410661816597
Subset: (4, 5), P-Value: 0.00000000000000000000000, Loss: 82529.41617873829090967774391
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 81064.04354721611889544874430
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 89499.91461479164718184620142
Subset: (4, 8), P-Value: 0.00000000000000000000000, Loss: 65231.03551146186509868130088
Subset: (4, 9), P-Value: 0.00000000000000000000000, Loss: 90028.81915463626501150429249
Subset: (4, 10), P-Value: 0.00000000000000000000000, Loss: 83076.61035020586859900504351
Subset: (5, 6), P-Value: 0.00000000000000000000000, Loss: 75002.52855849357729312032461
Subset: (5, 7), P-Value: 0.00000000000000000000000, Loss: 81429.63478317503177095204592
Subset: (5, 8), P-Value: 0.00000000000000000000000, Loss: 60655.07575487474241526797414
Subset: (5, 9), P-Value: 0.00000000000000000000000, Loss: 82405.53964513626124244183302
Subset: (5, 10), P-Value: 0.00000000000000000000000, Loss: 77862.20656840760784689337015
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 81331.81647845444967970252037
Subset: (6, 8), P-Value: 0.00000000000000000000000, Loss: 52307.80681765703047858551145
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 80452.29673708460177294909954
Subset: (6, 10), P-Value: 0.00000000000000000000000, Loss: 77029.04976085296948440372944
Subset: (7, 8), P-Value: 0.00000000000000000000000, Loss: 62282.76730587219935841858387
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 89091.56084708540583960711956
Subset: (7, 10), P-Value: 0.00000000000000000000000, Loss: 83039.67198787131928838789463
Subset: (8, 9), P-Value: 0.00000000000000000000000, Loss: 64190.06547649491403717547655
Subset: (8, 10), P-Value: 0.00000000000000000000000, Loss: 63988.65783415189798688516021
Subset: (9, 10), P-Value: 0.00000000000000000000000, Loss: 82736.90489645399793516844511
Subset: (0, 1, 2), P-Value: 0.00000000000000000000000, Loss: 41154.51424851672345539554954
Subset: (0, 1, 3), P-Value: 0.00000000000000000000000, Loss: 36651.98770603888988262042403
Subset: (0, 1, 4), P-Value: 0.00000000000000000000000, Loss: 49079.68742189045588020235300
Subset: (0, 1, 5), P-Value: 0.00000000000000000000000, Loss: 46007.40064129748498089611530
Subset: (0, 1, 6), P-Value: 0.00000000000000000000000, Loss: 48286.67321226794592803344131
Subset: (0, 1, 7), P-Value: 0.00000000000000000000000, Loss: 45618.98134904664038913324475
Subset: (0, 1, 8), P-Value: 0.00000000000000000000000, Loss: 47354.68052412364340852946043
Subset: (0, 1, 9), P-Value: 0.00000000000000000000000, Loss: 48289.05947292293421924114227
Subset: (0, 1, 10), P-Value: 0.00000000000000000000000, Loss: 48503.33533188109868206083775
Subset: (0, 2, 3), P-Value: 0.00000000000000000000000, Loss: 36714.74687783537956420332193
Subset: (0, 2, 4), P-Value: 0.00000000000000000000000, Loss: 43855.71560906388185685500503
Subset: (0, 2, 5), P-Value: 0.00000000000000000000000, Loss: 41354.29299685390287777408957
Subset: (0, 2, 6), P-Value: 0.00000000000000000000000, Loss: 45060.80954376934096217155457
Subset: (0, 2, 7), P-Value: 0.00000000000000000000000, Loss: 42215.43627899255079682916403
Subset: (0, 2, 8), P-Value: 0.00000000000000000000000, Loss: 45123.67387488405074691399932
Subset: (0, 2, 9), P-Value: 0.00000000000000000000000, Loss: 43601.25503736424434464424849
Subset: (0, 2, 10), P-Value: 0.00000000000000000000000, Loss: 42583.38642036863166140392423
Subset: (0, 3, 4), P-Value: 0.00000000000000000000000, Loss: 42702.19721333394409157335758
Subset: (0, 3, 5), P-Value: 0.00000000000000000000000, Loss: 39897.02756271219550399109721
Subset: (0, 3, 6), P-Value: 0.00000000000000000000000, Loss: 41965.82233292845194227993488
Subset: (0, 3, 7), P-Value: 0.00000000000000000000000, Loss: 41933.72634514850506093353033
Subset: (0, 3, 8), P-Value: 0.00000000000000000000000, Loss: 38798.77529014400352025404572
Subset: (0, 3, 9), P-Value: 0.00000000000000000000000, Loss: 42097.81006065604742616415024
Subset: (0, 3, 10), P-Value: 0.00000000000000000000000, Loss: 42330.82513359338918235152960
Subset: (0, 4, 5), P-Value: 0.00000000000000000000000, Loss: 49514.36314345172286266461015
Subset: (0, 4, 6), P-Value: 0.00000000000000000000000, Loss: 51142.72031253546447260305285
Subset: (0, 4, 7), P-Value: 0.00000000000000000000000, Loss: 48336.21662750850373413413763
Subset: (0, 4, 8), P-Value: 0.00000000000000000000000, Loss: 53307.90670476725790649652481
Subset: (0, 4, 9), P-Value: 0.00000000000000000000000, Loss: 50863.03179150869982549920678
Subset: (0, 4, 10), P-Value: 0.00000000000000000000000, Loss: 50275.30317629429191583767533
Subset: (0, 5, 6), P-Value: 0.00000000000000000000000, Loss: 47109.59845059120561927556992
Subset: (0, 5, 7), P-Value: 0.00000000000000000000000, Loss: 46834.61039877049915958195925
Subset: (0, 5, 8), P-Value: 0.00000000000000000000000, Loss: 50045.95020557471434585750103
Subset: (0, 5, 9), P-Value: 0.00000000000000000000000, Loss: 49423.52725345772341825067997
Subset: (0, 5, 10), P-Value: 0.00000000000000000000000, Loss: 48140.72522879565076436847448
Subset: (0, 6, 7), P-Value: 0.00000000000000000000000, Loss: 50254.98075428996526170521975
Subset: (0, 6, 8), P-Value: 0.00000000000000000000000, Loss: 47162.42065207790437852963805
Subset: (0, 6, 9), P-Value: 0.00000000000000000000000, Loss: 50320.24891507495340192690492
Subset: (0, 6, 10), P-Value: 0.00000000000000000000000, Loss: 50181.66061717429693089798093
Subset: (0, 7, 8), P-Value: 0.00000000000000000000000, Loss: 49547.58398325101734371855855
Subset: (0, 7, 9), P-Value: 0.00000000000000000000000, Loss: 47737.05459483194863423705101
Subset: (0, 7, 10), P-Value: 0.00000000000000000000000, Loss: 47247.24446403727779397740960
Subset: (0, 8, 9), P-Value: 0.00000000000000000000000, Loss: 52270.18575156541919568553567
Subset: (0, 8, 10), P-Value: 0.00000000000000000000000, Loss: 51684.02095207607635529711843
Subset: (0, 9, 10), P-Value: 0.00000000000000000000000, Loss: 49677.31810909158957656472921
Subset: (1, 2, 3), P-Value: 0.00000000000000000000000, Loss: 40562.21991281803639139980078
Subset: (1, 2, 4), P-Value: 0.00000000000000000000000, Loss: 44762.54038567661336855962873
Subset: (1, 2, 5), P-Value: 0.00000000000000000000000, Loss: 42476.62235757101734634488821
Subset: (1, 2, 6), P-Value: 0.00000000000000000000000, Loss: 45479.13341997251700377091765
Subset: (1, 2, 7), P-Value: 0.00000000000000000000000, Loss: 44124.03076569551922148093581
Subset: (1, 2, 8), P-Value: 0.00000000000000000000000, Loss: 44428.96360637108591618016362
Subset: (1, 2, 9), P-Value: 0.00000000000000000000000, Loss: 44952.41242098435031948611140
Subset: (1, 2, 10), P-Value: 0.00000000000000000000000, Loss: 44657.20142698899144306778908
Subset: (1, 3, 4), P-Value: 0.00000000000000000000000, Loss: 47997.90684936542675131931901
Subset: (1, 3, 5), P-Value: 0.00000000000000000000000, Loss: 44257.29336229497130261734128
Subset: (1, 3, 6), P-Value: 0.00000000000000000000000, Loss: 47285.60269528267963323742151
Subset: (1, 3, 7), P-Value: 0.00000000000000000000000, Loss: 47282.53641579765098867937922
Subset: (1, 3, 8), P-Value: 0.00000000000000000000000, Loss: 46484.32827757612540153786540
Subset: (1, 3, 9), P-Value: 0.00000000000000000000000, Loss: 48589.11898320730688283219934
Subset: (1, 3, 10), P-Value: 0.00000000000000000000000, Loss: 47317.81665215222892584279180
Subset: (1, 4, 5), P-Value: 0.00000000000000000000000, Loss: 51080.36097543579671764746308
