All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 113123.01474381594744045287371
Subset: (1,), P-Value: 0.00000000000000000060863, Loss: 108710.23559564280731137841940
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 92201.82568951787834521383047
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 72342.54096174279402475804090
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 77256.85834912011341657489538
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 73464.56575903957127593457699
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 80151.90305900776002090424299
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 71418.83581345758284442126751
Subset: (8,), P-Value: 0.00000000000000000000000, Loss: 97889.88168725432478822767735
Subset: (9,), P-Value: 0.00192000318721093727811, Loss: 502566.48376223194645717740059
Subset: (10,), P-Value: 0.00000000000000000000000, Loss: 81418.29561946578905917704105
Subset: (0, 1), P-Value: 0.00000000000000020685061, Loss: 116926.71788585133617743849754
Subset: (0, 2), P-Value: 0.00000000000000000000000, Loss: 118402.03794294009276200085878
Subset: (0, 3), P-Value: 0.00000000001099024276874, Loss: 121419.61082492205605376511812
Subset: (0, 4), P-Value: 0.00000000000000000000000, Loss: 113419.58215386094525456428528
Subset: (0, 5), P-Value: 0.00000000000000000000000, Loss: 113482.02849218799383379518986
Subset: (0, 6), P-Value: 0.00000000000000000000416, Loss: 116527.14029667899012565612793
Subset: (0, 7), P-Value: 0.00000000000000003228907, Loss: 115958.07195424605743028223515
Subset: (0, 8), P-Value: 0.00000000000000000000000, Loss: 113345.57695027286536060273647
Subset: (0, 9), P-Value: 0.00000713870588088107021, Loss: 171483.24683674678090028464794
Subset: (0, 10), P-Value: 0.00000000000000000000491, Loss: 115407.81508855721040163189173
Subset: (1, 2), P-Value: 0.00000000000000000000000, Loss: 116836.56768876005662605166435
Subset: (1, 3), P-Value: 0.00000000000000001065079, Loss: 112981.05485588243755046278238
Subset: (1, 4), P-Value: 0.00000000000000000112428, Loss: 111492.21159153160988353192806
Subset: (1, 5), P-Value: 0.00000000000000040976753, Loss: 109021.40250265068607404828072
Subset: (1, 6), P-Value: 0.00000000000000000011713, Loss: 108817.96439507923787459731102
Subset: (1, 7), P-Value: 0.00000000000000000000035, Loss: 109345.08257930981926620006561
Subset: (1, 8), P-Value: 0.00000000000000000705436, Loss: 108887.30860988488711882382631
Subset: (1, 9), P-Value: 0.00024368791581301681159, Loss: 153017.16234854908543638885021
Subset: (1, 10), P-Value: 0.00000000000000091695726, Loss: 111658.22934997556149028241634
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 94755.37477465860138181596994
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 90593.59612069372087717056274
Subset: (2, 5), P-Value: 0.00000000000000000000000, Loss: 91794.99964958694181405007839
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 96708.80150176268944051116705
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 92394.03597807453479617834091
Subset: (2, 8), P-Value: 0.00000000000000000000000, Loss: 109623.36262517278373707085848
Subset: (2, 9), P-Value: 0.01304643790054720899063, Loss: 427876.52788654656615108251572
Subset: (2, 10), P-Value: 0.00000000000000000000000, Loss: 102272.50587827162235043942928
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 77743.29682529921410605311394
Subset: (3, 5), P-Value: 0.00000000000000000000000, Loss: 77340.87127343092288356274366
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 83424.87106258605490438640118
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 72998.99412431633390951901674
Subset: (3, 8), P-Value: 0.00000000000000000000000, Loss: 105064.54619258691673167049885
Subset: (3, 9), P-Value: 0.00179276286167450891670, Loss: 500741.39424871362280100584030
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 82378.38578881067223846912384
Subset: (4, 5), P-Value: 0.00000000000000000000000, Loss: 78324.67052876650996040552855
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 85398.12681949387479107826948
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 77864.00656982630607672035694
Subset: (4, 8), P-Value: 0.00000000000000000000000, Loss: 100733.01291742101602721959352
Subset: (4, 9), P-Value: 0.00079299536947361533735, Loss: 434700.66826191643485799431801
Subset: (4, 10), P-Value: 0.00000000000000000000000, Loss: 89762.47341135799069888889790
Subset: (5, 6), P-Value: 0.00000000000000000000000, Loss: 81326.38964880014827940613031
Subset: (5, 7), P-Value: 0.00000000000000000000000, Loss: 74435.36731213051825761795044
Subset: (5, 8), P-Value: 0.00000000000000000000000, Loss: 99206.46658078624750487506390
Subset: (5, 9), P-Value: 0.00203501848739674230659, Loss: 504294.18692891026148572564125
Subset: (5, 10), P-Value: 0.00000000000000000000000, Loss: 81841.63033100329630542546511
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 80181.74754990916699171066284
Subset: (6, 8), P-Value: 0.00000000000000000000673, Loss: 107518.01780002514715306460857
Subset: (6, 9), P-Value: 0.00021455513447888558223, Loss: 326242.25247128034243360161781
Subset: (6, 10), P-Value: 0.00000000000000000000000, Loss: 84906.16898056413629092276096
Subset: (7, 8), P-Value: 0.00000000000000000000000, Loss: 99534.03767822831287048757076
Subset: (7, 9), P-Value: 0.01904693784803796613447, Loss: 726224.89979223930276930332184
Subset: (7, 10), P-Value: 0.00000000000000000000000, Loss: 81478.42750283882196526974440
Subset: (8, 9), P-Value: 0.00017290715566478933002, Loss: 209939.65596321207704022526741
Subset: (8, 10), P-Value: 0.00000000000000000000000, Loss: 102749.22027890440949704498053
Subset: (9, 10), P-Value: 0.00100833571777288535931, Loss: 401443.43342747603310272097588
Subset: (0, 1, 2), P-Value: 0.00000000000000000000000, Loss: 122125.20016510534333065152168
Subset: (0, 1, 3), P-Value: 0.00000021328900482170286, Loss: 125227.85882384231081232428551
Subset: (0, 1, 4), P-Value: 0.00000000000000190214061, Loss: 118055.03225671182735823094845
Subset: (0, 1, 5), P-Value: 0.00000000000000717496907, Loss: 117686.41652406455250456929207
Subset: (0, 1, 6), P-Value: 0.00000000000000018211341, Loss: 117878.52618660284497309476137
Subset: (0, 1, 7), P-Value: 0.00000000000060574038799, Loss: 119196.94398381421342492103577
Subset: (0, 1, 8), P-Value: 0.00000000000000033571630, Loss: 118164.28000838532170746475458
Subset: (0, 1, 9), P-Value: 0.00000179428921976876825, Loss: 136177.54418002869351767003536
Subset: (0, 1, 10), P-Value: 0.00000000000002103713819, Loss: 119675.60228453989839181303978
Subset: (0, 2, 3), P-Value: 0.00000000011780608532235, Loss: 125583.15006148358224891126156
Subset: (0, 2, 4), P-Value: 0.00000000000000000000000, Loss: 115805.26175353402504697442055
Subset: (0, 2, 5), P-Value: 0.00000000000000000000000, Loss: 118126.43028590474568773061037
Subset: (0, 2, 6), P-Value: 0.00000000000000000000112, Loss: 121109.11234120234439615160227
Subset: (0, 2, 7), P-Value: 0.00000000000000000001305, Loss: 121092.39196088566677644848824
Subset: (0, 2, 8), P-Value: 0.00000000000000000000000, Loss: 118721.67281317670131102204323
Subset: (0, 2, 9), P-Value: 0.00001423710503339085697, Loss: 184973.11985283752437680959702
Subset: (0, 2, 10), P-Value: 0.00000000000000000000000, Loss: 121234.82254298911720979958773
Subset: (0, 3, 4), P-Value: 0.00000000000965868941611, Loss: 121241.27792098530335351824760
Subset: (0, 3, 5), P-Value: 0.00000000000514535309499, Loss: 121610.83120371958648320287466
Subset: (0, 3, 6), P-Value: 0.00000000012407659243134, Loss: 123043.32853286377212498337030
Subset: (0, 3, 7), P-Value: 0.00000000025746099582741, Loss: 122656.36024524527601897716522
Subset: (0, 3, 8), P-Value: 0.00000000039011672811677, Loss: 122960.55995079028070904314518
Subset: (0, 3, 9), P-Value: 0.00000146312096433826286, Loss: 130889.51665646830224432051182
Subset: (0, 3, 10), P-Value: 0.00000000004494688955536, Loss: 122716.53166000198689289391041
Subset: (0, 4, 5), P-Value: 0.00000000000000000000000, Loss: 113423.37785315525252372026443
Subset: (0, 4, 6), P-Value: 0.00000000000000000000080, Loss: 116616.60661826377327088266611
Subset: (0, 4, 7), P-Value: 0.00000000000000000000167, Loss: 116424.13922429743979591876268
Subset: (0, 4, 8), P-Value: 0.00000000000000000000000, Loss: 114132.00246930732100736349821
Subset: (0, 4, 9), P-Value: 0.00000134189090461862888, Loss: 167369.62255526197259314358234
Subset: (0, 4, 10), P-Value: 0.00000000000000000000175, Loss: 117627.79222333195502869784832
Subset: (0, 5, 6), P-Value: 0.00000000000000000379181, Loss: 118225.15903143848117906600237
Subset: (0, 5, 7), P-Value: 0.00000000000000027474961, Loss: 116795.38950393260165583342314
Subset: (0, 5, 8), P-Value: 0.00000000000000000000001, Loss: 113737.71110186439182143658400
Subset: (0, 5, 9), P-Value: 0.00012787896752340286409, Loss: 183823.54129036451922729611397
Subset: (0, 5, 10), P-Value: 0.00000000000000000075421, Loss: 116701.07394107608706690371037
Subset: (0, 6, 7), P-Value: 0.00000000000000002117063, Loss: 118233.46881412301445379853249
Subset: (0, 6, 8), P-Value: 0.00000000000000004133547, Loss: 117091.66319366073003038764000
Subset: (0, 6, 9), P-Value: 0.00000269580253600724380, Loss: 146884.92403725298936478793621
Subset: (0, 6, 10), P-Value: 0.00000000000000000165037, Loss: 117449.69562084152130410075188
Subset: (0, 7, 8), P-Value: 0.00000000000000330815533, Loss: 116204.90846671049075666815042
Subset: (0, 7, 9), P-Value: 0.01018450515483577609177, Loss: 212578.49008097560727037489414
Subset: (0, 7, 10), P-Value: 0.00000000000011233243496, Loss: 118654.67787300708005204796791
Subset: (0, 8, 9), P-Value: 0.00000269792140735579775, Loss: 159002.32041089597623795270920
Subset: (0, 8, 10), P-Value: 0.00000000000000000032843, Loss: 116908.59712805785238742828369
Subset: (0, 9, 10), P-Value: 0.00004605803190252793366, Loss: 171368.10590232742833904922009
Subset: (1, 2, 3), P-Value: 0.00000000000000000000034, Loss: 120932.88151823155931197106838
Subset: (1, 2, 4), P-Value: 0.00000000000000000000369, Loss: 115617.58990448023541830480099
Subset: (1, 2, 5), P-Value: 0.00000000000000000000001, Loss: 116752.23927127372007817029953
Subset: (1, 2, 6), P-Value: 0.00000000000000000000000, Loss: 116862.16782461482216604053974
Subset: (1, 2, 7), P-Value: 0.00000000000000000000000, Loss: 117475.20738689624704420566559
Subset: (1, 2, 8), P-Value: 0.00000000000000000000000, Loss: 116532.71800537465605884790421
Subset: (1, 2, 9), P-Value: 0.00016281571478468697062, Loss: 177779.45586356992134824395180
Subset: (1, 2, 10), P-Value: 0.00000000000000000000000, Loss: 118283.11071095151419285684824
Subset: (1, 3, 4), P-Value: 0.00000000000000006087409, Loss: 115275.03165682747203391045332
Subset: (1, 3, 5), P-Value: 0.00000000002757769943579, Loss: 113450.42383598364540375769138
Subset: (1, 3, 6), P-Value: 0.00000000000004631223928, Loss: 113956.57068277882353868335485
Subset: (1, 3, 7), P-Value: 0.00000000000000009419725, Loss: 113756.69106203084811568260193
Subset: (1, 3, 8), P-Value: 0.00000000000046664957223, Loss: 113771.38463558797957375645638
Subset: (1, 3, 9), P-Value: 0.00000000011327130869317, Loss: 121541.95785894055734388530254
Subset: (1, 3, 10), P-Value: 0.00000000000000427414730, Loss: 114730.62328263791278004646301
Subset: (1, 4, 5), P-Value: 0.00000000000001169857109, Loss: 111820.06666238515754230320454
Subset: (1, 4, 6), P-Value: 0.00000000000000000028764, Loss: 111721.01835498618311248719692
Subset: (1, 4, 7), P-Value: 0.00000000000000000000253, Loss: 111677.89426160843868274241686
Subset: (1, 4, 8), P-Value: 0.00000000000000001572490, Loss: 111597.17199197286390699446201
Subset: (1, 4, 9), P-Value: 0.00001503905181587388892, Loss: 151292.47179633274208754301071
Subset: (1, 4, 10), P-Value: 0.00000000000000006239306, Loss: 113918.26143324311124160885811
Subset: (1, 5, 6), P-Value: 0.00000000000000089471960, Loss: 110376.61420676911075133830309
Subset: (1, 5, 7), P-Value: 0.00000000000000000680594, Loss: 110125.28301840677158907055855
Subset: (1, 5, 8), P-Value: 0.00000000000007037536590, Loss: 110270.87275759095791727304459
Subset: (1, 5, 9), P-Value: 0.00274706236582078055369, Loss: 163695.90420832231757231056690
Subset: (1, 5, 10), P-Value: 0.00000000000028263702707, Loss: 112272.28036585779045708477497
Subset: (1, 6, 7), P-Value: 0.00000000000000000000287, Loss: 109519.26578723755665123462677
Subset: (1, 6, 8), P-Value: 0.00000000000000000001825, Loss: 108347.30597189048421569168568
Subset: (1, 6, 9), P-Value: 0.00031846528983601904384, Loss: 152114.26212265805224888026714
Subset: (1, 6, 10), P-Value: 0.00000000000000104058366, Loss: 111903.32298823432938661426306
Subset: (1, 7, 8), P-Value: 0.00000000000000000005566, Loss: 109551.09793957899091765284538
Subset: (1, 7, 9), P-Value: 0.00145577110508210904802, Loss: 179596.86391247579012997448444
Subset: (1, 7, 10), P-Value: 0.00000000000000001453930, Loss: 111823.75119359274685848504305
Subset: (1, 8, 9), P-Value: 0.00108415682999124496876, Loss: 157945.23057768665603362023830
Subset: (1, 8, 10), P-Value: 0.00000000000000425409882, Loss: 111967.99083064921433106064796
Subset: (1, 9, 10), P-Value: 0.00016003353947103890324, Loss: 146936.97468283478519879281521
Subset: (2, 3, 4), P-Value: 0.00000000000000000000000, Loss: 92800.42543741725967265665531
Subset: (2, 3, 5), P-Value: 0.00000000000000000000000, Loss: 95720.04611962704802863299847
Subset: (2, 3, 6), P-Value: 0.00000000000000000000000, Loss: 99894.62315628016949631273746
Subset: (2, 3, 7), P-Value: 0.00000000000000000000000, Loss: 96202.84053562996268738061190
Subset: (2, 3, 8), P-Value: 0.00000000000000000000000, Loss: 115546.05439365365600679069757
