All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 39056.46287852340174140408635
Subset: (1,), P-Value: 0.00000000000000000012167, Loss: 41714.79510053496051114052534
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 57972.23588886136712972074747
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 72113.11265472910599783062935
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 70252.61476037513057235628366
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 72076.62478761095553636550903
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 66755.75376653116836678236723
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 73033.61849796558090019971132
Subset: (8,), P-Value: 0.00000000000000000000000, Loss: 52294.98551912177208578214049
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 72524.37037173981661908328533
Subset: (10,), P-Value: 0.00000000000000000000000, Loss: 67232.95818409610365051776171
Subset: (0, 1), P-Value: 0.00000000000000000000236, Loss: 36397.42022149774129502475262
Subset: (0, 2), P-Value: 0.00000000000000000000000, Loss: 36187.53733613871008856222034
Subset: (0, 3), P-Value: 0.00000000000000000000000, Loss: 30361.29318225815222831442952
Subset: (0, 4), P-Value: 0.00000000000000000000000, Loss: 39230.63667533247644314542413
Subset: (0, 5), P-Value: 0.00000000000000000000004, Loss: 37982.13542304079601308330894
Subset: (0, 6), P-Value: 0.00000000000000000000001, Loss: 35474.28788685669860569760203
Subset: (0, 7), P-Value: 0.00000000000000000000000, Loss: 37345.41327014711714582517743
Subset: (0, 8), P-Value: 0.00000000000000000000000, Loss: 39555.45783943374408408999443
Subset: (0, 9), P-Value: 0.00000000000000000000000, Loss: 37685.23804544462473131716251
Subset: (0, 10), P-Value: 0.00000000000000000000000, Loss: 38412.01618115888413740321994
Subset: (1, 2), P-Value: 0.00000000000000000000000, Loss: 37292.32811307517113164067268
Subset: (1, 3), P-Value: 0.00000000000000252101955, Loss: 36888.65026421781658427789807
Subset: (1, 4), P-Value: 0.00000000000000000000003, Loss: 40668.79857460346102016046643
Subset: (1, 5), P-Value: 0.00000000000277892938198, Loss: 40576.11730622496543219313025
Subset: (1, 6), P-Value: 0.00000000000000000137094, Loss: 40561.54563310584489954635501
Subset: (1, 7), P-Value: 0.00000000000000000022013, Loss: 40573.50012803788558812811971
Subset: (1, 8), P-Value: 0.00000000000000000155198, Loss: 41050.89690565598721150308847
Subset: (1, 9), P-Value: 0.00000000000000000007500, Loss: 41244.44545394867600407451391
Subset: (1, 10), P-Value: 0.00000000000000000005442, Loss: 41083.67628003186109708622098
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 55536.04694166141416644677520
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 58907.84791568321088561788201
Subset: (2, 5), P-Value: 0.00000000000000000000000, Loss: 57088.77968085915199480950832
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 55716.80765987021004548296332
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 57650.13459713431075215339661
Subset: (2, 8), P-Value: 0.00000000000000000000000, Loss: 42734.55446338518231641501188
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 57912.97777935235353652387857
Subset: (2, 10), P-Value: 0.00000000000000000000000, Loss: 53402.21474386478803353384137
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 70263.07810302451252937316895
Subset: (3, 5), P-Value: 0.00000000000000000000000, Loss: 64677.16600256173842353746295
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 62633.95849936579907080158591
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 71172.73360621467872988432646
Subset: (3, 8), P-Value: 0.00000000000000000004525, Loss: 46131.11754168262996245175600
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 71129.41844526893692091107368
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 65182.97012340799119556322694
Subset: (4, 5), P-Value: 0.00000000000000000000000, Loss: 68374.08621119987219572067261
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 64814.55745745611056918278337
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 70753.63402196473907679319382
Subset: (4, 8), P-Value: 0.00000000000000000000000, Loss: 49840.41288111395988380536437
Subset: (4, 9), P-Value: 0.00000000000000000000000, Loss: 70011.12633533870393875986338
Subset: (4, 10), P-Value: 0.00000000000000000000000, Loss: 65023.65385998405690770596266
Subset: (5, 6), P-Value: 0.00000000000000000000000, Loss: 65851.85507414693711325526237
Subset: (5, 7), P-Value: 0.00000000000000000000000, Loss: 70850.05258420195605140179396
Subset: (5, 8), P-Value: 0.00000000000000000000024, Loss: 50725.57610869494237704202533
Subset: (5, 9), P-Value: 0.00000000000000000000000, Loss: 71077.83400127892673481255770
Subset: (5, 10), P-Value: 0.00000000000000000000000, Loss: 67118.05928644358937162905931
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 66353.04352357858442701399326
Subset: (6, 8), P-Value: 0.00000000000000000071237, Loss: 40692.45938667682639788836241
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 66584.38410906847275327891111
Subset: (6, 10), P-Value: 0.00000000000000000000000, Loss: 63165.74693524264148436486721
Subset: (7, 8), P-Value: 0.00000000000000000000006, Loss: 49903.96417811530409380793571
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 72610.00946747355919796973467
Subset: (7, 10), P-Value: 0.00000000000000000000000, Loss: 67081.00620521085511427372694
Subset: (8, 9), P-Value: 0.00000000000000000000000, Loss: 51015.42801350638910662382841
Subset: (8, 10), P-Value: 0.00000000000000000000000, Loss: 51696.90878376150067197158933
Subset: (9, 10), P-Value: 0.00000000000000000000000, Loss: 66304.18620214964903425425291
Subset: (0, 1, 2), P-Value: 0.00000000000000000000000, Loss: 33775.13803725554316770285368
Subset: (0, 1, 3), P-Value: 0.00000000003167675097739, Loss: 27336.82306507542671170085669
Subset: (0, 1, 4), P-Value: 0.00000000000000000000094, Loss: 36752.70901725535077275708318
Subset: (0, 1, 5), P-Value: 0.00000000000154396917054, Loss: 35093.69023787253536283969879
Subset: (0, 1, 6), P-Value: 0.00000000000000000524919, Loss: 34716.65691221958695678040385
Subset: (0, 1, 7), P-Value: 0.00000000000000002576211, Loss: 34116.84877170568506699055433
Subset: (0, 1, 8), P-Value: 0.00000000000000000331962, Loss: 35098.06633154240262228995562
Subset: (0, 1, 9), P-Value: 0.00000000000000000000034, Loss: 35403.54908549652463989332318
Subset: (0, 1, 10), P-Value: 0.00000000000000000000123, Loss: 36431.85624486352753592655063
Subset: (0, 2, 3), P-Value: 0.00000000000000000000000, Loss: 29219.09915042571810772642493
Subset: (0, 2, 4), P-Value: 0.00000000000000000000000, Loss: 38229.38168264950218144804239
Subset: (0, 2, 5), P-Value: 0.00000000000000000000021, Loss: 34999.49137292145314859226346
Subset: (0, 2, 6), P-Value: 0.00000000000000000000000, Loss: 34770.23129856643208768218756
Subset: (0, 2, 7), P-Value: 0.00000000000000000000000, Loss: 34612.48552548197039868682623
Subset: (0, 2, 8), P-Value: 0.00000000000000000000000, Loss: 36343.92610232504375744611025
Subset: (0, 2, 9), P-Value: 0.00000000000000000000000, Loss: 35764.86435318989970255643129
Subset: (0, 2, 10), P-Value: 0.00000000000000000000000, Loss: 35621.81763192884682212024927
Subset: (0, 3, 4), P-Value: 0.00000000000000000000001, Loss: 31762.29358494490588782355189
Subset: (0, 3, 5), P-Value: 0.00000000000000000000029, Loss: 30176.99411117887939326465130
Subset: (0, 3, 6), P-Value: 0.00000000000000000014035, Loss: 28677.91511158324283314868808
Subset: (0, 3, 7), P-Value: 0.00000000000000002296937, Loss: 30671.27676616545431897975504
Subset: (0, 3, 8), P-Value: 0.00000000000000000059391, Loss: 29893.05874360674715717323124
Subset: (0, 3, 9), P-Value: 0.00000000000000000000000, Loss: 30081.63405192051868652924895
Subset: (0, 3, 10), P-Value: 0.00000000000000000021780, Loss: 29657.60477851212999667041004
Subset: (0, 4, 5), P-Value: 0.00000000000000000000030, Loss: 38171.22727918261807644739747
Subset: (0, 4, 6), P-Value: 0.00000000000000000000026, Loss: 36297.22562619350355817005038
Subset: (0, 4, 7), P-Value: 0.00000000000000000000000, Loss: 38088.73811817527166567742825
Subset: (0, 4, 8), P-Value: 0.00000000000000000000000, Loss: 39925.24026954583678161725402
Subset: (0, 4, 9), P-Value: 0.00000000000000000000000, Loss: 38785.47903365609090542420745
Subset: (0, 4, 10), P-Value: 0.00000000000000000025086, Loss: 44295.24070474320615176111460
Subset: (0, 5, 6), P-Value: 0.00000000000000000028028, Loss: 33731.03037002590281190350652
Subset: (0, 5, 7), P-Value: 0.00000000000000000116105, Loss: 36428.77763304862310178577900
Subset: (0, 5, 8), P-Value: 0.00000000000000000000012, Loss: 38504.67875330852984916418791
Subset: (0, 5, 9), P-Value: 0.00000000000000000000001, Loss: 36587.20247514043148839846253
Subset: (0, 5, 10), P-Value: 0.00000000000000000000413, Loss: 37179.06117124207958113402128
Subset: (0, 6, 7), P-Value: 0.00000000000000000000121, Loss: 35227.32484063898300519213080
Subset: (0, 6, 8), P-Value: 0.00000000000000000321748, Loss: 34692.15916971520346123725176
Subset: (0, 6, 9), P-Value: 0.00000000000000000000001, Loss: 34677.04465397532476345077157
Subset: (0, 6, 10), P-Value: 0.00000000000000000001036, Loss: 35156.46920188955846242606640
Subset: (0, 7, 8), P-Value: 0.00000000000000000000030, Loss: 37090.04475852793984813615680
Subset: (0, 7, 9), P-Value: 0.00000000000000000000000, Loss: 35980.89575423544010845944285
Subset: (0, 7, 10), P-Value: 0.00000000000000000016884, Loss: 37105.07563021744863362982869
Subset: (0, 8, 9), P-Value: 0.00000000000000000000000, Loss: 38207.66038084602769231423736
Subset: (0, 8, 10), P-Value: 0.00000000000000000000000, Loss: 39010.48772762353473808616400
Subset: (0, 9, 10), P-Value: 0.00000000000000000000000, Loss: 37069.28494881356164114549756
Subset: (1, 2, 3), P-Value: 0.00000000000000000000303, Loss: 33067.03866070335789117962122
Subset: (1, 2, 4), P-Value: 0.00000000000000000000000, Loss: 38030.03765387189923785626888
Subset: (1, 2, 5), P-Value: 0.00000000000000000373259, Loss: 36099.65154027844255324453115
Subset: (1, 2, 6), P-Value: 0.00000000000000000000000, Loss: 36466.22176123158715199679136
Subset: (1, 2, 7), P-Value: 0.00000000000000000000000, Loss: 36383.41304098042746772989631
Subset: (1, 2, 8), P-Value: 0.00000000000000000000000, Loss: 36772.54880449534539366140962
Subset: (1, 2, 9), P-Value: 0.00000000000000000000000, Loss: 37549.29294974458025535568595
Subset: (1, 2, 10), P-Value: 0.00000000000000000000000, Loss: 36845.90742044810758670791984
Subset: (1, 3, 4), P-Value: 0.00000000000000000308980, Loss: 36525.98571403556707082316279
Subset: (1, 3, 5), P-Value: 0.00000000007096396978366, Loss: 35241.89369386072939960286021
Subset: (1, 3, 6), P-Value: 0.00000000000000372714734, Loss: 35972.28871841142245102673769
Subset: (1, 3, 7), P-Value: 0.00000000000989117552928, Loss: 36819.10052982985507696866989
Subset: (1, 3, 8), P-Value: 0.00000000000000821630676, Loss: 36213.86542109823494683951139
Subset: (1, 3, 9), P-Value: 0.00000000000000225363456, Loss: 37036.08801770062564173713326
Subset: (1, 3, 10), P-Value: 0.00000000000000094193401, Loss: 36025.07809798378730192780495
Subset: (1, 4, 5), P-Value: 0.00000000000000068381913, Loss: 38815.73563190672575728967786
