All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 43750.24449704155267681926489
Subset: (1,), P-Value: 0.00000000000000000000000, Loss: 51166.95821423333836719393730
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 63960.27607487408386077731848
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 76451.91095087597204837948084
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 74012.86613703149487264454365
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 88438.78011939048883505165577
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 78551.29645196866476908326149
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 78088.73097832519852090626955
Subset: (8,), P-Value: 0.00000000000000000000000, Loss: 64514.00188057494960958138108
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 79128.94323873954999726265669
Subset: (10,), P-Value: 0.00000000000000000000000, Loss: 70694.68109739632927812635899
Subset: (0, 1), P-Value: 0.00000000000000000000000, Loss: 48892.35721904494857881218195
Subset: (0, 2), P-Value: 0.00000000000000000000000, Loss: 40664.71585935899202013388276
Subset: (0, 3), P-Value: 0.00000000000000000000000, Loss: 37415.20957351895776810124516
Subset: (0, 4), P-Value: 0.00000000000000000000000, Loss: 41529.00083015568088740110397
Subset: (0, 5), P-Value: 0.00000000000000000000000, Loss: 52272.90935109283600468188524
Subset: (0, 6), P-Value: 0.00000000000000000000000, Loss: 45017.22551808948628604412079
Subset: (0, 7), P-Value: 0.00000000000000000000000, Loss: 40664.72909916721255285665393
Subset: (0, 8), P-Value: 0.00000000000000000000000, Loss: 54363.99812164847389794886112
Subset: (0, 9), P-Value: 0.00000000000000000000000, Loss: 43379.37507574290066258981824
Subset: (0, 10), P-Value: 0.00000000000000000000000, Loss: 43154.98047217701241606846452
Subset: (1, 2), P-Value: 0.00000000000000000000000, Loss: 44070.44362365339475218206644
Subset: (1, 3), P-Value: 0.00000000000000000000000, Loss: 44919.91435391941195121034980
Subset: (1, 4), P-Value: 0.00000000000000000000000, Loss: 46503.58403535625257063657045
Subset: (1, 5), P-Value: 0.00000000000000000000000, Loss: 46079.90143590368097648024559
Subset: (1, 6), P-Value: 0.00000000000000000000000, Loss: 50089.92771302617620676755905
Subset: (1, 7), P-Value: 0.00000000000000000000000, Loss: 48956.25723373289656592532992
Subset: (1, 8), P-Value: 0.00000000000000000000000, Loss: 50924.62582910544733749702573
Subset: (1, 9), P-Value: 0.00000000000000000000000, Loss: 50342.16168938741611782461405
Subset: (1, 10), P-Value: 0.00000000000000000000000, Loss: 55014.85356316849356517195702
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 62769.99351803772879065945745
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 63636.10556222830928163602948
Subset: (2, 5), P-Value: 0.00000000000000000000000, Loss: 67772.79237268984434194862843
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 63343.64204718610562849789858
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 63536.93023874977370724081993
Subset: (2, 8), P-Value: 0.00000000000000000000000, Loss: 55292.95477852417388930916786
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 64249.47668407822493463754654
Subset: (2, 10), P-Value: 0.00000000000000000000000, Loss: 57205.43908486507280031219125
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 71528.81053377001080662012100
Subset: (3, 5), P-Value: 0.00000000000000000000000, Loss: 72643.07279605328221805393696
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 71825.73190382185566704720259
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 77893.26514874996792059391737
Subset: (3, 8), P-Value: 0.00000000000000000000000, Loss: 58929.11196204678708454594016
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 76144.42861619357427116483450
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 77343.44835913182760123163462
Subset: (4, 5), P-Value: 0.00000000000000000000000, Loss: 84662.49220930325100198388100
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 73448.80213220207951962947845
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 73199.06647506174340378493071
Subset: (4, 8), P-Value: 0.00000000000000000000000, Loss: 60232.48326850312150781974196
Subset: (4, 9), P-Value: 0.00000000000000000000000, Loss: 74152.57539096252003218978643
Subset: (4, 10), P-Value: 0.00000000000000000000000, Loss: 65969.15886202876572497189045
Subset: (5, 6), P-Value: 0.00000000000000000000000, Loss: 76829.48369778775668237358332
Subset: (5, 7), P-Value: 0.00000000000000000000000, Loss: 81812.14415864221518859267235
Subset: (5, 8), P-Value: 0.00000000000000000000000, Loss: 56851.36066092240071156993508
Subset: (5, 9), P-Value: 0.00000000000000000000000, Loss: 88389.39890022862527985125780
Subset: (5, 10), P-Value: 0.00000000000000000000000, Loss: 80932.47559533445746637880802
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 79849.31956730483216233551502
Subset: (6, 8), P-Value: 0.00000000000000000000000, Loss: 51642.75414620069204829633236
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 77391.21612028378876857459545
Subset: (6, 10), P-Value: 0.00000000000000000000000, Loss: 75953.91912399425928015261889
Subset: (7, 8), P-Value: 0.00000000000000000000000, Loss: 65316.36625832048594020307064
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 78289.31927377550164237618446
Subset: (7, 10), P-Value: 0.00000000000000000000000, Loss: 70052.46099528486956842243671
Subset: (8, 9), P-Value: 0.00000000000000000000000, Loss: 64521.10445523080852581188083
Subset: (8, 10), P-Value: 0.00000000000000000000000, Loss: 64627.90185515071789268404245
Subset: (9, 10), P-Value: 0.00000000000000000000000, Loss: 72079.50178695772774517536163
Subset: (0, 1, 2), P-Value: 0.00000000000000000000000, Loss: 40418.74217883001256268471479
Subset: (0, 1, 3), P-Value: 0.00000000000000000000000, Loss: 35077.99354915560252266004682
Subset: (0, 1, 4), P-Value: 0.00000000000000000000000, Loss: 43871.82106747647048905491829
Subset: (0, 1, 5), P-Value: 0.00000000000000000000000, Loss: 40204.56388721401890506967902
Subset: (0, 1, 6), P-Value: 0.00000000000000000000000, Loss: 43977.39895777631318196654320
Subset: (0, 1, 7), P-Value: 0.00000000000000000000000, Loss: 45246.58016321835020789876580
Subset: (0, 1, 8), P-Value: 0.00000000000000000000000, Loss: 42984.13266757310339016839862
Subset: (0, 1, 9), P-Value: 0.00000000000000000000000, Loss: 48296.17346606541832443326712
Subset: (0, 1, 10), P-Value: 0.00000000000000000000000, Loss: 48749.73153368988278089091182
Subset: (0, 2, 3), P-Value: 0.00000000000000000000000, Loss: 35949.64844631882442627102137
Subset: (0, 2, 4), P-Value: 0.00000000000000000000000, Loss: 41340.03724213146051624789834
Subset: (0, 2, 5), P-Value: 0.00000000000000000000000, Loss: 44801.18883264439500635489821
Subset: (0, 2, 6), P-Value: 0.00000000000000000000000, Loss: 38592.45200207806919934228063
Subset: (0, 2, 7), P-Value: 0.00000000000000000000000, Loss: 39512.48622475756565108895302
Subset: (0, 2, 8), P-Value: 0.00000000000000000000000, Loss: 45791.28898999603552510961890
Subset: (0, 2, 9), P-Value: 0.00000000000000000000000, Loss: 39205.52029500250500859692693
Subset: (0, 2, 10), P-Value: 0.00000000000000000000000, Loss: 40493.00344965983822476118803
Subset: (0, 3, 4), P-Value: 0.00000000000000000000000, Loss: 37861.37658579256094526499510
Subset: (0, 3, 5), P-Value: 0.00000000000000000000000, Loss: 35071.92445742828567745164037
Subset: (0, 3, 6), P-Value: 0.00000000000000000000000, Loss: 37294.01372390479809837415814
Subset: (0, 3, 7), P-Value: 0.00000000000000000000000, Loss: 38599.54773579314496601000428
Subset: (0, 3, 8), P-Value: 0.00000000000000000000000, Loss: 37536.31993237413553288206458
Subset: (0, 3, 9), P-Value: 0.00000000000000000000000, Loss: 38368.53347756842413218691945
Subset: (0, 3, 10), P-Value: 0.00000000000000000000000, Loss: 41143.08463975908671272918582
Subset: (0, 4, 5), P-Value: 0.00000000000000000000000, Loss: 49593.62707677822618279606104
Subset: (0, 4, 6), P-Value: 0.00000000000000000000000, Loss: 41084.19052691802062327042222
Subset: (0, 4, 7), P-Value: 0.00000000000000000000000, Loss: 39184.74920076761191012337804
Subset: (0, 4, 8), P-Value: 0.00000000000000000000000, Loss: 50155.40539429149066563695669
Subset: (0, 4, 9), P-Value: 0.00000000000000000000000, Loss: 41164.03271219732414465397596
Subset: (0, 4, 10), P-Value: 0.00000000000000000000000, Loss: 40098.47160802861617412418127
Subset: (0, 5, 6), P-Value: 0.00000000000000000000000, Loss: 45387.00436674430238781496882
Subset: (0, 5, 7), P-Value: 0.00000000000000000000000, Loss: 47019.15049367595202056691051
Subset: (0, 5, 8), P-Value: 0.00000000000000000000000, Loss: 43878.55771101835125591605902
Subset: (0, 5, 9), P-Value: 0.00000000000000000000000, Loss: 50234.97495025616808561608195
Subset: (0, 5, 10), P-Value: 0.00000000000000000000000, Loss: 49583.60907531005068449303508
Subset: (0, 6, 7), P-Value: 0.00000000000000000000000, Loss: 43463.65294195151363965123892
Subset: (0, 6, 8), P-Value: 0.00000000000000000000000, Loss: 43375.48358429861400509253144
Subset: (0, 6, 9), P-Value: 0.00000000000000000000000, Loss: 44574.11256573739956365898252
Subset: (0, 6, 10), P-Value: 0.00000000000000000000000, Loss: 44857.25825289589556632563472
Subset: (0, 7, 8), P-Value: 0.00000000000000000000000, Loss: 51244.46117491084442008286715
Subset: (0, 7, 9), P-Value: 0.00000000000000000000000, Loss: 39448.79080089458875590935349
Subset: (0, 7, 10), P-Value: 0.00000000000000000000000, Loss: 39993.01980762876337394118309
Subset: (0, 8, 9), P-Value: 0.00000000000000000000000, Loss: 51650.74593103474035160616040
Subset: (0, 8, 10), P-Value: 0.00000000000000000000000, Loss: 53221.83193240127729950472713
Subset: (0, 9, 10), P-Value: 0.00000000000000000000000, Loss: 42486.21730050348560325801373
Subset: (1, 2, 3), P-Value: 0.00000000000000000000000, Loss: 37990.36516498154378496110439
Subset: (1, 2, 4), P-Value: 0.00000000000000000000000, Loss: 44050.03515702809090726077557
Subset: (1, 2, 5), P-Value: 0.00000000000000000000000, Loss: 39352.67025231855222955346107
Subset: (1, 2, 6), P-Value: 0.00000000000000000000000, Loss: 43352.19017152139713289216161
Subset: (1, 2, 7), P-Value: 0.00000000000000000000000, Loss: 44332.98007725818024482578039
Subset: (1, 2, 8), P-Value: 0.00000000000000000000000, Loss: 43457.91978308781835949048400
Subset: (1, 2, 9), P-Value: 0.00000000000000000000000, Loss: 43841.57943783370865276083350
Subset: (1, 2, 10), P-Value: 0.00000000000000000000000, Loss: 48917.76586078375839861109853
Subset: (1, 3, 4), P-Value: 0.00000000000000000000000, Loss: 41516.71946871416730573400855
Subset: (1, 3, 5), P-Value: 0.00000000000000000000000, Loss: 39664.27802709830575622618198
Subset: (1, 3, 6), P-Value: 0.00000000000000000000000, Loss: 42989.76586032556951977312565
Subset: (1, 3, 7), P-Value: 0.00000000000000000000000, Loss: 44419.12672819388535572215915
Subset: (1, 3, 8), P-Value: 0.00000000000000000000000, Loss: 42751.16263028787216171622276
Subset: (1, 3, 9), P-Value: 0.00000000000000000000000, Loss: 46082.72882014377682935446501
Subset: (1, 3, 10), P-Value: 0.00000000000000000000000, Loss: 43657.52785424316971329972148
Subset: (1, 4, 5), P-Value: 0.00000000000000000000000, Loss: 43066.94305101573263527825475
