All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000004104, Loss: 43527.04334703235508641228080
Subset: (1,), P-Value: 0.00000000000000000000002, Loss: 47932.84511697162815835326910
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 58811.67985050244169542565942
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 73047.93097303574904799461365
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 70252.61476037517422810196877
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 72538.88105806343082804232836
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 69630.41442237919545732438564
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 73378.78919367195339873433113
Subset: (8,), P-Value: 0.00000000000000000000000, Loss: 55435.11966623221087502315640
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 72883.47783151469775475561619
Subset: (10,), P-Value: 0.00000000000000000000000, Loss: 67594.94616940320702269673347
Subset: (0, 1), P-Value: 0.00000000000000005426546, Loss: 41182.77152652404765831306577
Subset: (0, 2), P-Value: 0.00000000000000000000108, Loss: 38733.37909598344413097947836
Subset: (0, 3), P-Value: 0.00000000011406609264311, Loss: 40146.60794424184859963133931
Subset: (0, 4), P-Value: 0.00000000000000000000014, Loss: 42476.89506475364760262891650
Subset: (0, 5), P-Value: 0.00000000000000000002081, Loss: 43569.54584902391798095777631
Subset: (0, 6), P-Value: 0.00000000000000069971812, Loss: 40562.72913308707938995212317
Subset: (0, 7), P-Value: 0.00000000000001664924863, Loss: 42275.93845572014106437563896
Subset: (0, 8), P-Value: 0.00000000000000000011871, Loss: 43382.41984945209696888923645
Subset: (0, 9), P-Value: 0.00000000000000000005636, Loss: 42904.27576503063028212636709
Subset: (0, 10), P-Value: 0.00000000000000000245207, Loss: 43405.94272305058257188647985
Subset: (1, 2), P-Value: 0.00000000000000000000000, Loss: 41305.14219896324357250705361
Subset: (1, 3), P-Value: 0.00000000000000000000095, Loss: 46718.51463561464333906769753
Subset: (1, 4), P-Value: 0.00000000000000000000000, Loss: 46022.45012945743656018748879
Subset: (1, 5), P-Value: 0.00000000000000000002132, Loss: 47528.79511147828452521935105
Subset: (1, 6), P-Value: 0.00000000000000000000000, Loss: 47584.50049657189811114221811
Subset: (1, 7), P-Value: 0.00000000000000000000000, Loss: 47418.90938295490923337638378
Subset: (1, 8), P-Value: 0.00000000000000000000000, Loss: 47961.07094829575362382456660
Subset: (1, 9), P-Value: 0.00000000000000000000001, Loss: 47486.09485456295078620314598
Subset: (1, 10), P-Value: 0.00000000000000000001110, Loss: 46278.36504002829315140843391
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 58224.44388805169000988826156
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 58571.45667166491330135613680
Subset: (2, 5), P-Value: 0.00000000000000000000000, Loss: 58579.77956779496162198483944
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 56938.68106058033299632370472
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 58650.38502425685874186456203
Subset: (2, 8), P-Value: 0.00000000000000000000000, Loss: 46255.23578803519922075793147
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 58690.26698677978856721892953
Subset: (2, 10), P-Value: 0.00000000000000000000000, Loss: 54413.75472452406393131241202
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 69674.09471352724358439445496
Subset: (3, 5), P-Value: 0.00000000000000000000000, Loss: 71830.76758846917073242366314
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 68068.96409903548192232847214
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 72473.45061861377325840294361
Subset: (3, 8), P-Value: 0.00000000000000000000751, Loss: 53018.49816410402127075940371
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 72189.07810349532519467175007
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 67552.61382245906861498951912
Subset: (4, 5), P-Value: 0.00000000000000000000000, Loss: 69353.92841808262164704501629
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 66449.00295928321429528295994
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 70098.39006726846855599433184
Subset: (4, 8), P-Value: 0.00000000000000000000000, Loss: 53227.44554571181652136147022
Subset: (4, 9), P-Value: 0.00000000000000000000000, Loss: 70003.55665407970082014799118
Subset: (4, 10), P-Value: 0.00000000000000000000000, Loss: 64364.51972268221288686618209
Subset: (5, 6), P-Value: 0.00000000000000000000000, Loss: 68883.44171576171356718987226
Subset: (5, 7), P-Value: 0.00000000000000000000000, Loss: 72390.42882110636855941265821
Subset: (5, 8), P-Value: 0.00000000000000000000000, Loss: 55454.39787142803834285587072
Subset: (5, 9), P-Value: 0.00000000000000000000000, Loss: 71912.32780164087307639420033
Subset: (5, 10), P-Value: 0.00000000000000000000000, Loss: 67418.83427203079918399453163
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 69617.78535679100605193525553
Subset: (6, 8), P-Value: 0.00000000000000000000008, Loss: 46271.21665607968316180631518
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 69086.86032008491747546941042
Subset: (6, 10), P-Value: 0.00000000000000000000000, Loss: 65193.99376244989252882078290
Subset: (7, 8), P-Value: 0.00000000000000000000000, Loss: 53974.64797837788501055911183
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 72660.81882024592778179794550
Subset: (7, 10), P-Value: 0.00000000000000000000000, Loss: 67419.00341527136333752423525
Subset: (8, 9), P-Value: 0.00000000000000000000000, Loss: 54836.84485910761577542871237
Subset: (8, 10), P-Value: 0.00000000000000000000000, Loss: 55472.69480875795852625742555
Subset: (9, 10), P-Value: 0.00000000000000000000000, Loss: 66903.59561522847798187285662
Subset: (0, 1, 2), P-Value: 0.00000000000000002500443, Loss: 36669.58887538926501292735338
Subset: (0, 1, 3), P-Value: 0.00000000147475009407857, Loss: 37418.43923308914963854476810
Subset: (0, 1, 4), P-Value: 0.00000000000000000000579, Loss: 39936.88956001916085369884968
Subset: (0, 1, 5), P-Value: 0.00000000000000244369494, Loss: 40907.40276670199091313406825
Subset: (0, 1, 6), P-Value: 0.00000000000000119478922, Loss: 39589.87382506333233322948217
Subset: (0, 1, 7), P-Value: 0.00000000000000737534111, Loss: 40038.64289611233834875747561
Subset: (0, 1, 8), P-Value: 0.00000000000000006810929, Loss: 40363.02945474328589625656605
Subset: (0, 1, 9), P-Value: 0.00000000000000005468409, Loss: 40661.36141886444238480180502
Subset: (0, 1, 10), P-Value: 0.00000000000000007073617, Loss: 40570.39718944788182852789760
Subset: (0, 2, 3), P-Value: 0.00000000067758827857102, Loss: 36578.34237908524664817377925
Subset: (0, 2, 4), P-Value: 0.00000000000000000000385, Loss: 38799.60519869022391503676772
Subset: (0, 2, 5), P-Value: 0.00000000000000000000120, Loss: 38726.83441667100851191207767
Subset: (0, 2, 6), P-Value: 0.00000000000000021338358, Loss: 36778.86372478721750667318702
Subset: (0, 2, 7), P-Value: 0.00000000000000596590940, Loss: 37700.57602623405546182766557
Subset: (0, 2, 8), P-Value: 0.00000000000000000000291, Loss: 38517.57210522289824439212680
Subset: (0, 2, 9), P-Value: 0.00000000000000000000108, Loss: 38507.85565784692880697548389
Subset: (0, 2, 10), P-Value: 0.00000000000000000029757, Loss: 38550.02834270823950646445155
Subset: (0, 3, 4), P-Value: 0.00000000000251539681051, Loss: 39459.21655264918081229552627
Subset: (0, 3, 5), P-Value: 0.00000000049144963600662, Loss: 39907.97472436893440317362547
Subset: (0, 3, 6), P-Value: 0.00000000050017350421219, Loss: 38610.36426882682280847802758
Subset: (0, 3, 7), P-Value: 0.00000000103804347351600, Loss: 39882.72849293908075196668506
Subset: (0, 3, 8), P-Value: 0.00000000032061979021661, Loss: 39217.03401809080241946503520
Subset: (0, 3, 9), P-Value: 0.00000000008642349391753, Loss: 39868.78717392066755564883351
Subset: (0, 3, 10), P-Value: 0.00000000147739882282678, Loss: 39943.81415099208970787003636
Subset: (0, 4, 5), P-Value: 0.00000000000000000000018, Loss: 42469.35541395439940970391035
Subset: (0, 4, 6), P-Value: 0.00000000000000000173632, Loss: 39546.28548596130713121965528
Subset: (0, 4, 7), P-Value: 0.00000000000000004183472, Loss: 41350.20737976308737415820360
Subset: (0, 4, 8), P-Value: 0.00000000000000000000024, Loss: 42267.24995501446392154321074
Subset: (0, 4, 9), P-Value: 0.00000000000000000000016, Loss: 42214.61208953103778185322881
Subset: (0, 4, 10), P-Value: 0.00000000000000000000598, Loss: 42281.58262309176643611863256
Subset: (0, 5, 6), P-Value: 0.00000000000000064115756, Loss: 40572.86359161493601277470589
Subset: (0, 5, 7), P-Value: 0.00000000000002029008826, Loss: 42261.40982239978620782494545
Subset: (0, 5, 8), P-Value: 0.00000000000000000011110, Loss: 43385.10956801984866615384817
Subset: (0, 5, 9), P-Value: 0.00000000000000000003396, Loss: 42938.86834358103806152939796
Subset: (0, 5, 10), P-Value: 0.00000000000000000169380, Loss: 43425.70992689474223880097270
Subset: (0, 6, 7), P-Value: 0.00000000000014277056299, Loss: 39860.54475576493859989568591
Subset: (0, 6, 8), P-Value: 0.00000000000000648599497, Loss: 39254.44501110284181777387857
Subset: (0, 6, 9), P-Value: 0.00000000000000119610112, Loss: 40068.60842534567927941679955
Subset: (0, 6, 10), P-Value: 0.00000000000000103340344, Loss: 40575.75844900077936472371221
Subset: (0, 7, 8), P-Value: 0.00000000000002735365418, Loss: 41960.27930613890930544584990
Subset: (0, 7, 9), P-Value: 0.00000000000003288472364, Loss: 41586.66558219580474542453885
Subset: (0, 7, 10), P-Value: 0.00000000000009567026911, Loss: 42181.57761451500846305862069
Subset: (0, 8, 9), P-Value: 0.00000000000000000012360, Loss: 42765.90330471584456972777843
Subset: (0, 8, 10), P-Value: 0.00000000000000000133431, Loss: 43350.57144373717164853587747
Subset: (0, 9, 10), P-Value: 0.00000000000000000308920, Loss: 42784.66036916714801918715239
Subset: (1, 2, 3), P-Value: 0.00000000000000000000001, Loss: 40652.29059225602395599707961
Subset: (1, 2, 4), P-Value: 0.00000000000000000000000, Loss: 41049.36075039357092464342713
Subset: (1, 2, 5), P-Value: 0.00000000000000000000200, Loss: 40759.76271116969292052090168
Subset: (1, 2, 6), P-Value: 0.00000000000000000000000, Loss: 41188.87553050198766868561506
Subset: (1, 2, 7), P-Value: 0.00000000000000000000000, Loss: 40891.14432835550542222335935
Subset: (1, 2, 8), P-Value: 0.00000000000000000000000, Loss: 41306.17467527888948097825050
Subset: (1, 2, 9), P-Value: 0.00000000000000000000000, Loss: 41197.65764215240051271393895
Subset: (1, 2, 10), P-Value: 0.00000000000000000000006, Loss: 40385.13571618712012423202395
Subset: (1, 3, 4), P-Value: 0.00000000000000000000000, Loss: 44954.62555056432029232382774
Subset: (1, 3, 5), P-Value: 0.00000000000000001519184, Loss: 45818.67584606145101133733988
Subset: (1, 3, 6), P-Value: 0.00000000000000000000026, Loss: 46683.62151032785186544060707
Subset: (1, 3, 7), P-Value: 0.00000000000000000000024, Loss: 46609.77802729452378116548061
Subset: (1, 3, 8), P-Value: 0.00000000000000000001149, Loss: 46591.02555896843841765075922
Subset: (1, 3, 9), P-Value: 0.00000000000000000000031, Loss: 46455.80486583396850619465113
Subset: (1, 3, 10), P-Value: 0.00000000000000000052278, Loss: 44950.84646949546731775626540
Subset: (1, 4, 5), P-Value: 0.00000000000000000000001, Loss: 45546.96698638940142700448632
