All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 121519.17340570234227925539017
Subset: (1,), P-Value: 0.00000000000000000000000, Loss: 134681.07880037277936935424805
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 86558.48329245655622798949480
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 101791.05761686245386954396963
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 88697.93383176230418030172586
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 89294.66614039648266043514013
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 116808.78557327316957525908947
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 97375.29904307192191481590271
Subset: (8,), P-Value: 0.00000000000000000000000, Loss: 87701.02030650418600998818874
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 107514.48480350068712141364813
Subset: (10,), P-Value: 0.00000000000000000000000, Loss: 86279.89575336838606745004654
Subset: (0, 1), P-Value: 0.00000000000000000000000, Loss: 133712.23761586617911234498024
Subset: (0, 2), P-Value: 0.00000000000000000000001, Loss: 128126.82211109524359926581383
Subset: (0, 3), P-Value: 0.00000000000000000000000, Loss: 124830.27159537177067250013351
Subset: (0, 4), P-Value: 0.00000000000000000000000, Loss: 120397.79549265764944721013308
Subset: (0, 5), P-Value: 0.00000000000000000000000, Loss: 121012.01672382434480823576450
Subset: (0, 6), P-Value: 0.00000000000000000000000, Loss: 131702.54983845792594365775585
Subset: (0, 7), P-Value: 0.00000000000000000000001, Loss: 124798.90457962226355448365211
Subset: (0, 8), P-Value: 0.00000000000000000000000, Loss: 121958.93397120467852801084518
Subset: (0, 9), P-Value: 0.00000000031366605381953, Loss: 174418.32973234297242015600204
Subset: (0, 10), P-Value: 0.00000000000000000000000, Loss: 121781.22541417311003897339106
Subset: (1, 2), P-Value: 0.00000000000000000000000, Loss: 138958.95705759065458551049232
Subset: (1, 3), P-Value: 0.00000000000000000000000, Loss: 134901.78544594862614758312702
Subset: (1, 4), P-Value: 0.00000000000000000000000, Loss: 132621.70254062401363626122475
Subset: (1, 5), P-Value: 0.00000000000000000000000, Loss: 133658.56505075134919025003910
Subset: (1, 6), P-Value: 0.00000000000000000000000, Loss: 137360.18306922647752799093723
Subset: (1, 7), P-Value: 0.00000000000000000000000, Loss: 135516.93241417634999379515648
Subset: (1, 8), P-Value: 0.00000000000000000000004, Loss: 135746.14893708849558606743813
Subset: (1, 9), P-Value: 0.00000000003468506389666, Loss: 158592.30626686292816884815693
Subset: (1, 10), P-Value: 0.00000000000000000000000, Loss: 132551.83985850500175729393959
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 108258.06831591883383225649595
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 90199.11208633157366421073675
Subset: (2, 5), P-Value: 0.00000000000000000000000, Loss: 90169.54593017650768160820007
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 122542.36298860367969609797001
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 100521.37810540231293998658657
Subset: (2, 8), P-Value: 0.00000000000000000000000, Loss: 91977.19060215918580070137978
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 95584.81879488442791625857353
Subset: (2, 10), P-Value: 0.00000000000000000000000, Loss: 87195.10657029920548666268587
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 100197.17145965757663361728191
Subset: (3, 5), P-Value: 0.00000000000000000000000, Loss: 105955.80139698843413498252630
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 121464.24455640648375265300274
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 106052.48658704558329191058874
Subset: (3, 8), P-Value: 0.00000000000000000000000, Loss: 104022.11434171306609641760588
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 114927.22072162175027187913656
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 102434.98400296774343587458134
Subset: (4, 5), P-Value: 0.00000000000000000000000, Loss: 91789.00238249002723023295403
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 114553.21037753275595605373383
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 99117.74954963930940721184015
Subset: (4, 8), P-Value: 0.00000000000000000000000, Loss: 90204.36556288885185495018959
Subset: (4, 9), P-Value: 0.00000000000000000000000, Loss: 109060.69981536788691300898790
Subset: (4, 10), P-Value: 0.00000000000000000000000, Loss: 89421.26223992496670689433813
Subset: (5, 6), P-Value: 0.00000000000000000000000, Loss: 116551.18957291576953139156103
Subset: (5, 7), P-Value: 0.00000000000000000000000, Loss: 108648.82652284370851702988148
Subset: (5, 8), P-Value: 0.00000000000000000000000, Loss: 91631.37811201647855341434479
Subset: (5, 9), P-Value: 0.00000000000000000000000, Loss: 98338.89004963474872056394815
Subset: (5, 10), P-Value: 0.00000000000000000000000, Loss: 90151.00349353882484138011932
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 118785.92914747136819642037153
Subset: (6, 8), P-Value: 0.00000000000000000000000, Loss: 117215.03752149720094166696072
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 119571.84333656735543627291918
Subset: (6, 10), P-Value: 0.00000000000000000000000, Loss: 115021.21156057895859703421593
Subset: (7, 8), P-Value: 0.00000000000000000000000, Loss: 98793.18124837116920389235020
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 124344.05984193822951056063175
Subset: (7, 10), P-Value: 0.00000000000000000000000, Loss: 97247.06672135303961113095284
Subset: (8, 9), P-Value: 0.00000000000000000000000, Loss: 110668.67696873753448016941547
Subset: (8, 10), P-Value: 0.00000000000000000000000, Loss: 90644.17300925950985401868820
Subset: (9, 10), P-Value: 0.00000000000000000000000, Loss: 109068.07482197234639897942543
Subset: (0, 1, 2), P-Value: 0.00000000000000000005247, Loss: 137378.72256165146245621144772
Subset: (0, 1, 3), P-Value: 0.00000000000000000000000, Loss: 134955.91678323494852520525455
Subset: (0, 1, 4), P-Value: 0.00000000000000000000000, Loss: 131621.59429959187400527298450
Subset: (0, 1, 5), P-Value: 0.00000000000000000000000, Loss: 132770.51663196596200577914715
Subset: (0, 1, 6), P-Value: 0.00000000000000000000002, Loss: 137504.81616248562932014465332
Subset: (0, 1, 7), P-Value: 0.00000000000000000000000, Loss: 134851.41361186851281672716141
Subset: (0, 1, 8), P-Value: 0.00000000000000000000000, Loss: 134981.79659523122245445847511
Subset: (0, 1, 9), P-Value: 0.00004107313634007507162, Loss: 225352.39874842879362404346466
Subset: (0, 1, 10), P-Value: 0.00000000000000000000000, Loss: 130316.37505724153015762567520
Subset: (0, 2, 3), P-Value: 0.00000000000000000000511, Loss: 130279.36750090781424660235643
Subset: (0, 2, 4), P-Value: 0.00000000000000000000002, Loss: 127165.53847685111395549029112
Subset: (0, 2, 5), P-Value: 0.00000000000000000000001, Loss: 127947.27408624904637690633535
Subset: (0, 2, 6), P-Value: 0.00000000000000000000019, Loss: 138301.56192050984827801585197
Subset: (0, 2, 7), P-Value: 0.00000000000000000000051, Loss: 129083.14884991028520744293928
Subset: (0, 2, 8), P-Value: 0.00000000000000000000004, Loss: 128118.44192943029338493943214
Subset: (0, 2, 9), P-Value: 0.00000000000000000000095, Loss: 129733.03669574220839422196150
Subset: (0, 2, 10), P-Value: 0.00000000000000000000016, Loss: 128292.46913528989534825086594
Subset: (0, 3, 4), P-Value: 0.00000000000000000000000, Loss: 122892.79663747410813812166452
Subset: (0, 3, 5), P-Value: 0.00000000000000000000000, Loss: 126034.55220079010177869349718
Subset: (0, 3, 6), P-Value: 0.00000000000000000000000, Loss: 133066.38123183391871862113476
Subset: (0, 3, 7), P-Value: 0.00000000000000000000000, Loss: 127819.91542449445114471018314
Subset: (0, 3, 8), P-Value: 0.00000000000000000000000, Loss: 126429.42448394458915572613478
Subset: (0, 3, 9), P-Value: 0.00000000000120529527737, Loss: 165254.38965131537406705319881
Subset: (0, 3, 10), P-Value: 0.00000000000000000000000, Loss: 124891.68183465469337534159422
Subset: (0, 4, 5), P-Value: 0.00000000000000000000000, Loss: 119822.02518352067272644490004
Subset: (0, 4, 6), P-Value: 0.00000000000000000000000, Loss: 128983.47387166129192337393761
Subset: (0, 4, 7), P-Value: 0.00000000000000000000000, Loss: 123612.35199948128138203173876
Subset: (0, 4, 8), P-Value: 0.00000000000000000000000, Loss: 121352.13400975115655455738306
Subset: (0, 4, 9), P-Value: 0.00000000000035689250898, Loss: 159063.95165825751610100269318
Subset: (0, 4, 10), P-Value: 0.00000000000000000000000, Loss: 121112.53891708377341274172068
Subset: (0, 5, 6), P-Value: 0.00000000000000000000000, Loss: 131718.88372101687127724289894
Subset: (0, 5, 7), P-Value: 0.00000000000000000000000, Loss: 129089.87375313564552925527096
Subset: (0, 5, 8), P-Value: 0.00000000000000000000000, Loss: 121557.54998400663316715508699
Subset: (0, 5, 9), P-Value: 0.00000000003091028533941, Loss: 160322.64635398235986940562725
Subset: (0, 5, 10), P-Value: 0.00000000000000000000000, Loss: 122208.20974126126384362578392
Subset: (0, 6, 7), P-Value: 0.00000000000000000000272, Loss: 134640.63045654358575120568275
Subset: (0, 6, 8), P-Value: 0.00000000000000000000000, Loss: 132500.72382273027324117720127
Subset: (0, 6, 9), P-Value: 0.00000000000000064862018, Loss: 155062.25654845929238945245743
Subset: (0, 6, 10), P-Value: 0.00000000000000000000000, Loss: 130464.05796578570152632892132
Subset: (0, 7, 8), P-Value: 0.00000000000000000000027, Loss: 125311.55969177436782047152519
Subset: (0, 7, 9), P-Value: 0.00000011259834877432057, Loss: 170294.93035056698136031627655
Subset: (0, 7, 10), P-Value: 0.00000000000000000000000, Loss: 124256.33804054126085247844458
Subset: (0, 8, 9), P-Value: 0.00000000014145271931885, Loss: 169900.60750721601652912795544
Subset: (0, 8, 10), P-Value: 0.00000000000000000000000, Loss: 122481.27151520179177168756723
Subset: (0, 9, 10), P-Value: 0.00000011192000431068220, Loss: 177492.81904954154742881655693
Subset: (1, 2, 3), P-Value: 0.00000000000000000000000, Loss: 139666.27321130238124169409275
Subset: (1, 2, 4), P-Value: 0.00000000000000000000000, Loss: 138033.56193113356130197644234
Subset: (1, 2, 5), P-Value: 0.00000000000000000056256, Loss: 138135.07034298186772502958775
Subset: (1, 2, 6), P-Value: 0.00000000000000000000001, Loss: 141174.60707580455346032977104
Subset: (1, 2, 7), P-Value: 0.00000000000000000000000, Loss: 139295.86079689464531838893890
Subset: (1, 2, 8), P-Value: 0.00000000000000000000010, Loss: 139646.62304397413390688598156
Subset: (1, 2, 9), P-Value: 0.00000000000284814958831, Loss: 155637.64259382142336107790470
Subset: (1, 2, 10), P-Value: 0.00000000000000000000001, Loss: 137977.14190283470088616013527
Subset: (1, 3, 4), P-Value: 0.00000000000000000000000, Loss: 133235.88451669455389492213726
Subset: (1, 3, 5), P-Value: 0.00000000000000000000000, Loss: 135356.08351992408279329538345
Subset: (1, 3, 6), P-Value: 0.00000000000000000000000, Loss: 137372.82068509433884173631668
Subset: (1, 3, 7), P-Value: 0.00000000000000000000000, Loss: 138412.07350502832559868693352
Subset: (1, 3, 8), P-Value: 0.00000000000000000000000, Loss: 135803.88717473379801958799362
Subset: (1, 3, 9), P-Value: 0.00000000000000000034182, Loss: 147522.64216232657781802117825
Subset: (1, 3, 10), P-Value: 0.00000000000000000000000, Loss: 133983.00078244754695333540440
Subset: (1, 4, 5), P-Value: 0.00000000000000000000000, Loss: 131576.90587999991839751601219
