All Tested Subsets:
Subset: (0,), P-Value: 0.00357612167038734397526, Loss: 119036.27636040709330700337887
Subset: (1,), P-Value: 0.00228204392562854959520, Loss: 116311.86502213086350820958614
Subset: (2,), P-Value: 0.01090581309117251429530, Loss: 85436.02504000940825790166855
Subset: (3,), P-Value: 0.00688902808303519000044, Loss: 97323.59381916112033650279045
Subset: (4,), P-Value: 0.00905164258611367879281, Loss: 86671.70677609471022151410580
Subset: (5,), P-Value: 0.00843457806473196618213, Loss: 86795.49131396568554919213057
Subset: (6,), P-Value: 0.00385200486355394538379, Loss: 107080.95706293608236592262983
Subset: (7,), P-Value: 0.01181843217814949713318, Loss: 94431.46428582053340505808592
Subset: (8,), P-Value: 0.00775783785112877256190, Loss: 86595.15456192707642912864685
Subset: (9,), P-Value: 0.00895094821011742196315, Loss: 90022.59402176013099960982800
Subset: (10,), P-Value: 0.01302497290382914618689, Loss: 84175.48586851930303964763880
Subset: (0, 1), P-Value: 0.00244442233040473516983, Loss: 121477.89360947649402078241110
Subset: (0, 2), P-Value: 0.01009990306134437090813, Loss: 127751.07240453905251342803240
Subset: (0, 3), P-Value: 0.00267255281889813671448, Loss: 122670.01372108033683616667986
Subset: (0, 4), P-Value: 0.00233515239556371595811, Loss: 121499.58949074028350878506899
Subset: (0, 5), P-Value: 0.00636972272095758570293, Loss: 120830.29182067092915531247854
Subset: (0, 6), P-Value: 0.00358024860895663670293, Loss: 124982.33325661369599401950836
Subset: (0, 7), P-Value: 0.00632794841991869867759, Loss: 123966.28738722077105194330215
Subset: (0, 8), P-Value: 0.00351759121190051886677, Loss: 119161.66366256875335238873959
Subset: (0, 9), P-Value: 0.00382906399791160942034, Loss: 119914.12081931259308476001024
Subset: (0, 10), P-Value: 0.00472721270414070120908, Loss: 120582.34474530830630101263523
Subset: (1, 2), P-Value: 0.00505395316701874250387, Loss: 122733.90912786354601848870516
Subset: (1, 3), P-Value: 0.00137752498648469360806, Loss: 121941.57178140059113502502441
Subset: (1, 4), P-Value: 0.00120803368920766236207, Loss: 118146.73257566295797005295753
Subset: (1, 5), P-Value: 0.00303344228156400943022, Loss: 118461.09418153573642484843731
Subset: (1, 6), P-Value: 0.00262364682930939143585, Loss: 119413.78105393191799521446228
Subset: (1, 7), P-Value: 0.00359991911268250702402, Loss: 117821.75288710539462044835091
Subset: (1, 8), P-Value: 0.00278631174657357994981, Loss: 116740.92438895393570419400930
Subset: (1, 9), P-Value: 0.00256999173318616996528, Loss: 117032.64584824752819258719683
Subset: (1, 10), P-Value: 0.00243353663985510903361, Loss: 117444.60146741310018114745617
Subset: (2, 3), P-Value: 0.00512197102237595125462, Loss: 100501.89646702309255488216877
Subset: (2, 4), P-Value: 0.00740768864867019389414, Loss: 89816.93794672118383459746838
Subset: (2, 5), P-Value: 0.01173137697391902350974, Loss: 88707.80805001420958433300257
Subset: (2, 6), P-Value: 0.00827882424051339105286, Loss: 113248.30574947713466826826334
Subset: (2, 7), P-Value: 0.00885498517321318609485, Loss: 98610.19317246213904581964016
Subset: (2, 8), P-Value: 0.00502851473633658414136, Loss: 94638.74699037485697772353888
Subset: (2, 9), P-Value: 0.01125590184430404552818, Loss: 93796.94525331685144919902086
Subset: (2, 10), P-Value: 0.01082486566786111312211, Loss: 87004.24834249271953012794256
Subset: (3, 4), P-Value: 0.00634655962861250221019, Loss: 97987.78786067743203602731228
Subset: (3, 5), P-Value: 0.00412355001503191421347, Loss: 100995.44507425859046634286642
Subset: (3, 6), P-Value: 0.00226971696397614258051, Loss: 116391.21408319952024612575769
Subset: (3, 7), P-Value: 0.00787934554594383641801, Loss: 103032.87252311571501195430756
Subset: (3, 8), P-Value: 0.00494994276684024812896, Loss: 98965.95004960952792316675186
Subset: (3, 9), P-Value: 0.00463107006585405760191, Loss: 103248.26047700608614832162857
Subset: (3, 10), P-Value: 0.00723966166833393907215, Loss: 98502.42519656496006064116955
Subset: (4, 5), P-Value: 0.00582705453956286478778, Loss: 90446.77041489547991659492254
Subset: (4, 6), P-Value: 0.00219821797105816544096, Loss: 110082.04388759376888629049063
Subset: (4, 7), P-Value: 0.00909011563095749736130, Loss: 96499.18333514734695199877024
Subset: (4, 8), P-Value: 0.00569804641782903874281, Loss: 89266.20808163676701951771975
Subset: (4, 9), P-Value: 0.00592705790219964258336, Loss: 93089.36058078012138139456511
Subset: (4, 10), P-Value: 0.00936883449704879224529, Loss: 87809.75333131909428630024195
Subset: (5, 6), P-Value: 0.00458642770913683574946, Loss: 108012.20288927028013858944178
Subset: (5, 7), P-Value: 0.00741101474907001917664, Loss: 102853.41839354937837924808264
Subset: (5, 8), P-Value: 0.00523955197099262425658, Loss: 92010.34889411320909857749939
Subset: (5, 9), P-Value: 0.00834388858913384830196, Loss: 91743.23381097530364058911800
Subset: (5, 10), P-Value: 0.00826305609430195812937, Loss: 88621.52128673721745144575834
Subset: (6, 7), P-Value: 0.00511343706248728116504, Loss: 113708.61035467099281959235668
Subset: (6, 8), P-Value: 0.00273987553522565645270, Loss: 108183.42909315349243115633726
Subset: (6, 9), P-Value: 0.00399339866510680947115, Loss: 108178.16527313480037264525890
Subset: (6, 10), P-Value: 0.00416078379332490786574, Loss: 108374.89386611846566665917635
Subset: (7, 8), P-Value: 0.00898056452780625347199, Loss: 97233.12332672390039078891277
Subset: (7, 9), P-Value: 0.00875275661547069046275, Loss: 98728.23138777556596323847771
Subset: (7, 10), P-Value: 0.01158528460618610256283, Loss: 95278.80616381080471910536289
Subset: (8, 9), P-Value: 0.00672417049283175870950, Loss: 92749.09315575595246627926826
Subset: (8, 10), P-Value: 0.00783708780882824869451, Loss: 88097.56451724628277588635683
Subset: (9, 10), P-Value: 0.00906889026782750282130, Loss: 91646.35778014778043143451214
Subset: (0, 1, 2), P-Value: 0.00934073789445559639344, Loss: 130836.75693128461716696619987
Subset: (0, 1, 3), P-Value: 0.00173925085598149696542, Loss: 125369.08235566722578369081020
Subset: (0, 1, 4), P-Value: 0.00135580388274042810612, Loss: 123472.98107741985586471855640
Subset: (0, 1, 5), P-Value: 0.00469001336022897234029, Loss: 123922.66739852701721247285604
Subset: (0, 1, 6), P-Value: 0.00354376638519219308923, Loss: 125556.25895043992204591631889
Subset: (0, 1, 7), P-Value: 0.00457715655475571595034, Loss: 124243.28117086511338129639626
Subset: (0, 1, 8), P-Value: 0.00272681671879887324930, Loss: 122377.24832121885265223681927
Subset: (0, 1, 9), P-Value: 0.00273922352244443736979, Loss: 121746.43135823756165336817503
Subset: (0, 1, 10), P-Value: 0.00301362595758998411469, Loss: 122872.08689580808277241885662
Subset: (0, 2, 3), P-Value: 0.00820662661762307579782, Loss: 130264.65974769862077664583921
Subset: (0, 2, 4), P-Value: 0.00758167293011252369644, Loss: 129747.45177562926255632191896
Subset: (0, 2, 5), P-Value: 0.01088705914761113092981, Loss: 128231.79288626591733191162348
Subset: (0, 2, 6), P-Value: 0.01106993819499307342424, Loss: 134702.70293406295240856707096
Subset: (0, 2, 7), P-Value: 0.01031755900282741930662, Loss: 130959.93595455795002635568380
Subset: (0, 2, 8), P-Value: 0.00967610687449238504598, Loss: 127666.43812159713706932961941
Subset: (0, 2, 9), P-Value: 0.01142090128682681296479, Loss: 128476.63715796159522142261267
Subset: (0, 2, 10), P-Value: 0.01011663907367701606410, Loss: 127710.61554339509166311472654
Subset: (0, 3, 4), P-Value: 0.00235941004012096529688, Loss: 123469.42785620311042293906212
Subset: (0, 3, 5), P-Value: 0.00436657860116632101644, Loss: 123892.02233569778036326169968
Subset: (0, 3, 6), P-Value: 0.00287436610865082070587, Loss: 128974.87983024561253841966391
Subset: (0, 3, 7), P-Value: 0.00453912885230177334112, Loss: 125976.38713749783346429467201
Subset: (0, 3, 8), P-Value: 0.00249378642443122498090, Loss: 123101.38500697787094395607710
Subset: (0, 3, 9), P-Value: 0.00281131783253046321422, Loss: 123667.97517205320764333009720
Subset: (0, 3, 10), P-Value: 0.00369533509051991459343, Loss: 123914.78626620215072762221098
Subset: (0, 4, 5), P-Value: 0.00443528385731587187352, Loss: 123055.02451548182580154389143
Subset: (0, 4, 6), P-Value: 0.00214670806128835567686, Loss: 127178.68439664370089303702116
Subset: (0, 4, 7), P-Value: 0.00431285554500778975373, Loss: 125359.89384713083563838154078
Subset: (0, 4, 8), P-Value: 0.00227277463205261074514, Loss: 121907.03699345851782709360123
Subset: (0, 4, 9), P-Value: 0.00245001233977863459162, Loss: 122180.08163215965032577514648
Subset: (0, 4, 10), P-Value: 0.00319588386632544850172, Loss: 122547.68691718269838020205498
Subset: (0, 5, 6), P-Value: 0.00540324019238364212925, Loss: 126433.83560211633448489010334
Subset: (0, 5, 7), P-Value: 0.00793280017957718845689, Loss: 126044.12786634403164498507977
Subset: (0, 5, 8), P-Value: 0.00671197451750169850337, Loss: 120932.36035816762887407094240
Subset: (0, 5, 9), P-Value: 0.00692614818000125177788, Loss: 121609.29163839487591758370399
Subset: (0, 5, 10), P-Value: 0.00646642715039708396163, Loss: 121806.12573346206045243889093
Subset: (0, 6, 7), P-Value: 0.00674747420357069745828, Loss: 129598.03072896166122518479824
Subset: (0, 6, 8), P-Value: 0.00362576718389704668807, Loss: 125091.19763403174874838441610
Subset: (0, 6, 9), P-Value: 0.00400769987715770756309, Loss: 125170.44994316628435626626015
Subset: (0, 6, 10), P-Value: 0.00447742948425838144244, Loss: 126138.13584879616973921656609
Subset: (0, 7, 8), P-Value: 0.00658148791617865075443, Loss: 124515.88942987684276886284351
Subset: (0, 7, 9), P-Value: 0.00632838154846956327942, Loss: 124517.64854989295417908579111
Subset: (0, 7, 10), P-Value: 0.00708763094350303626129, Loss: 124741.25759526170440949499607
Subset: (0, 8, 9), P-Value: 0.00383916048149469165546, Loss: 120050.66928404351347126066685
Subset: (0, 8, 10), P-Value: 0.00482249487311284079361, Loss: 120974.53509348556690383702517
Subset: (0, 9, 10), P-Value: 0.00491141262476602578901, Loss: 121541.48706315630988683551550
Subset: (1, 2, 3), P-Value: 0.00308788872629644616657, Loss: 127620.98878239699115511029959
Subset: (1, 2, 4), P-Value: 0.00307972251410016523154, Loss: 124369.02623145061079412698746
Subset: (1, 2, 5), P-Value: 0.00736273658308786091431, Loss: 124306.60981057668686844408512
Subset: (1, 2, 6), P-Value: 0.00590985386044197598399, Loss: 125631.75170552419149316847324
Subset: (1, 2, 7), P-Value: 0.00594447772194287449993, Loss: 123310.48728771036257967352867
Subset: (1, 2, 8), P-Value: 0.00609354054541302436049, Loss: 122425.33497522045217920094728
Subset: (1, 2, 9), P-Value: 0.00487286443184966472364, Loss: 123577.95451635307108517736197
Subset: (1, 2, 10), P-Value: 0.00472207119240476529132, Loss: 123056.03386590282025281339884
Subset: (1, 3, 4), P-Value: 0.00118267421279339541261, Loss: 122186.86809352041746024042368
Subset: (1, 3, 5), P-Value: 0.00189432944973999127687, Loss: 123371.07630527118453755974770
Subset: (1, 3, 6), P-Value: 0.00173077184162373650354, Loss: 125503.92963816387054976075888
Subset: (1, 3, 7), P-Value: 0.00204017685226262537185, Loss: 122438.73380506839021109044552
Subset: (1, 3, 8), P-Value: 0.00167066159313825285740, Loss: 122716.93412256037117913365364
Subset: (1, 3, 9), P-Value: 0.00162610283574661485494, Loss: 122340.77111195183533709496260
Subset: (1, 3, 10), P-Value: 0.00153320930086824742077, Loss: 122841.87506403859879355877638
Subset: (1, 4, 5), P-Value: 0.00162617427474457862911, Loss: 120072.45029461361991707235575
Subset: (1, 4, 6), P-Value: 0.00141222196237719178902, Loss: 121488.54905698132643010467291
Subset: (1, 4, 7), P-Value: 0.00197664200946075967538, Loss: 119193.58587298860948067158461
Subset: (1, 4, 8), P-Value: 0.00151113922070880051310, Loss: 118634.64982646494172513484955
Subset: (1, 4, 9), P-Value: 0.00143226400860147059721, Loss: 118921.92437015865289140492678
Subset: (1, 4, 10), P-Value: 0.00131208131589859297236, Loss: 118961.74781318590976297855377
Subset: (1, 5, 6), P-Value: 0.00343839085015918430668, Loss: 121217.81884192982397507876158
Subset: (1, 5, 7), P-Value: 0.00488942011224455328616, Loss: 119982.72167666618770454078913
Subset: (1, 5, 8), P-Value: 0.00371125040148207428758, Loss: 118617.05545741117384750396013
Subset: (1, 5, 9), P-Value: 0.00350919423365277441396, Loss: 119301.58130666775105055421591
Subset: (1, 5, 10), P-Value: 0.00308792686907322739762, Loss: 119268.20280494252801872789860
Subset: (1, 6, 7), P-Value: 0.00386777025857881718782, Loss: 121219.99791525473119691014290
Subset: (1, 6, 8), P-Value: 0.00363339949869148073555, Loss: 119653.70812976294837426394224
Subset: (1, 6, 9), P-Value: 0.00286574788892731769155, Loss: 120929.20890934902126900851727
Subset: (1, 6, 10), P-Value: 0.00272624655488344072238, Loss: 120408.09295459948771167546511
Subset: (1, 7, 8), P-Value: 0.00437023070971220579245, Loss: 118371.31942208552209194749594
Subset: (1, 7, 9), P-Value: 0.00378274552971753514480, Loss: 118330.93371193546045105904341
Subset: (1, 7, 10), P-Value: 0.00362620778470953714773, Loss: 118841.45031781874422449618578
Subset: (1, 8, 9), P-Value: 0.00294139396697277967149, Loss: 117510.68018239208322484046221
Subset: (1, 8, 10), P-Value: 0.00290338966177543060521, Loss: 117955.70992141636088490486145
Subset: (1, 9, 10), P-Value: 0.00263924301215377916929, Loss: 118103.76120394153986126184464
Subset: (2, 3, 4), P-Value: 0.00466789439373205706368, Loss: 101260.22621581994462758302689
Subset: (2, 3, 5), P-Value: 0.00582858675409325416999, Loss: 102947.63761017758224625140429
Subset: (2, 3, 6), P-Value: 0.00479083640652453162517, Loss: 121712.40195622929604724049568
Subset: (2, 3, 7), P-Value: 0.00560900751375709508140, Loss: 107378.03587525196780916303396
Subset: (2, 3, 8), P-Value: 0.00273007481095048024772, Loss: 105388.25423296215012669563293
Subset: (2, 3, 9), P-Value: 0.00518856573140806607430, Loss: 107156.95937178589520044624805
Subset: (2, 3, 10), P-Value: 0.00521136571347261511045, Loss: 101737.20548432893701829016209
Subset: (2, 4, 5), P-Value: 0.00823539653719339639903, Loss: 92312.98997230063832830637693
Subset: (2, 4, 6), P-Value: 0.00549603358707286514251, Loss: 115902.84538936241006013005972
Subset: (2, 4, 7), P-Value: 0.00623559177564472332661, Loss: 100987.18496903667983133345842
Subset: (2, 4, 8), P-Value: 0.00353355715213204057620, Loss: 96908.60007836720615159720182
Subset: (2, 4, 9), P-Value: 0.00743643989376750053077, Loss: 97064.04026913600682746618986
Subset: (2, 4, 10), P-Value: 0.00741218759955154446462, Loss: 90916.42815669474657624959946
Subset: (2, 5, 6), P-Value: 0.00897008945560343919079, Loss: 113800.21050425225985236465931
Subset: (2, 5, 7), P-Value: 0.01029675658053427755867, Loss: 105550.36419035766448359936476
Subset: (2, 5, 8), P-Value: 0.00758175289206560170524, Loss: 98124.89985610902658663690090
Subset: (2, 5, 9), P-Value: 0.01253291427995726660394, Loss: 94796.95819560661038849502802
Subset: (2, 5, 10), P-Value: 0.01084466893233808348906, Loss: 90228.87707105773733928799629
Subset: (2, 6, 7), P-Value: 0.00794460779519676370264, Loss: 118999.49332715413765981793404
Subset: (2, 6, 8), P-Value: 0.00485515485583002445041, Loss: 117155.03045616783492732793093
Subset: (2, 6, 9), P-Value: 0.00813059610572749308366, Loss: 114355.79357577906921505928040
Subset: (2, 6, 10), P-Value: 0.00798832728830277394305, Loss: 113531.71742004458792507648468
Subset: (2, 7, 8), P-Value: 0.00490568896263553384796, Loss: 105186.50752438715426251292229
Subset: (2, 7, 9), P-Value: 0.00942754269191039412368, Loss: 103283.36844078010472003370523
Subset: (2, 7, 10), P-Value: 0.00884568026596038725629, Loss: 99379.38010620530985761433840
Subset: (2, 8, 9), P-Value: 0.00629634263471426716685, Loss: 100664.86928487302793655544519
Subset: (2, 8, 10), P-Value: 0.00502674613616349574841, Loss: 95669.97799203320755623281002
Subset: (2, 9, 10), P-Value: 0.01043040620184401863491, Loss: 95122.47940531709173228591681
Subset: (3, 4, 5), P-Value: 0.00387836773714628473692, Loss: 101493.36103285793797113001347
Subset: (3, 4, 6), P-Value: 0.00185829803960203322234, Loss: 116822.74462942709214985370636
Subset: (3, 4, 7), P-Value: 0.00743329669309776650682, Loss: 103586.86134979105554521083832
Subset: (3, 4, 8), P-Value: 0.00462247614252003433122, Loss: 99379.36628238888806663453579
Subset: (3, 4, 9), P-Value: 0.00413304880182833404151, Loss: 103681.84110455833433661609888
Subset: (3, 4, 10), P-Value: 0.00667077871791553998759, Loss: 99030.40504212034284137189388
Subset: (3, 5, 6), P-Value: 0.00256210380539690415341, Loss: 117268.70896891356096602976322
Subset: (3, 5, 7), P-Value: 0.00511783833148346956748, Loss: 109825.63329622133460361510515
Subset: (3, 5, 8), P-Value: 0.00293687135486715624605, Loss: 103031.70883299004344735294580
Subset: (3, 5, 9), P-Value: 0.00424681155794036195583, Loss: 104841.78355844192265067249537
Subset: (3, 5, 10), P-Value: 0.00448454417706383758058, Loss: 102410.33231971571512985974550
Subset: (3, 6, 7), P-Value: 0.00332816971692725602217, Loss: 119673.07747388767893426120281
Subset: (3, 6, 8), P-Value: 0.00185673767407975318436, Loss: 116668.49597253197862301021814
Subset: (3, 6, 9), P-Value: 0.00236395096822656063801, Loss: 117146.66476917921681888401508
Subset: (3, 6, 10), P-Value: 0.00263770406594438259693, Loss: 117399.08666919630195479840040
Subset: (3, 7, 8), P-Value: 0.00637256571150256797414, Loss: 104444.36836753091483842581511
Subset: (3, 7, 9), P-Value: 0.00539625798311684206493, Loss: 106795.74274994038569275289774
Subset: (3, 7, 10), P-Value: 0.00779389681951309521574, Loss: 103719.00539150128315668553114
Subset: (3, 8, 9), P-Value: 0.00362488774578830505804, Loss: 104518.49668685781944077461958
Subset: (3, 8, 10), P-Value: 0.00501162901421792900125, Loss: 100114.32308302639285102486610
Subset: (3, 9, 10), P-Value: 0.00469278788270965918628, Loss: 104488.15012079848384018987417
Subset: (4, 5, 6), P-Value: 0.00275981405577835391466, Loss: 110887.85353424820641521364450
Subset: (4, 5, 7), P-Value: 0.00536245601871816832823, Loss: 104261.84138291679846588522196
Subset: (4, 5, 8), P-Value: 0.00383312513321202186917, Loss: 94014.41577256105665583163500
Subset: (4, 5, 9), P-Value: 0.00547625914834691095850, Loss: 94627.70474459353135898709297
Subset: (4, 5, 10), P-Value: 0.00579126302467878988078, Loss: 91726.73532546457136049866676
Subset: (4, 6, 7), P-Value: 0.00313633941003878995504, Loss: 115226.21988041323493234813213
Subset: (4, 6, 8), P-Value: 0.00163881781605471022953, Loss: 110404.70966677296382840722799
Subset: (4, 6, 9), P-Value: 0.00229008768517886254421, Loss: 110929.55472640252264682203531
Subset: (4, 6, 10), P-Value: 0.00252980767052327949751, Loss: 111013.16919194665388204157352
Subset: (4, 7, 8), P-Value: 0.00694065062139172846839, Loss: 98364.76268045390315819531679
Subset: (4, 7, 9), P-Value: 0.00609667877848151049808, Loss: 100153.95258135457697790116072
