All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000516, Loss: 49756.16282902051170822232962
Subset: (1,), P-Value: 0.00000000000000008557233, Loss: 48161.09435297040181467309594
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 82024.06143201144004706293344
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 68484.85307846931391395628452
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 84684.61258701350016053766012
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 80179.34236647712532430887222
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 63690.54151719143555965274572
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 72613.83885368886694777756929
Subset: (8,), P-Value: 0.00000000000000000000000, Loss: 79948.15783108878531493246555
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 76288.70348205303889699280262
Subset: (10,), P-Value: 0.00000000000000000000000, Loss: 83353.53303455178684089332819
Subset: (0, 1), P-Value: 0.00000000000007362891779, Loss: 46731.42427189803129294887185
Subset: (0, 2), P-Value: 0.00000000000000141965571, Loss: 40861.42466771134058944880962
Subset: (0, 3), P-Value: 0.00000000000000000000000, Loss: 44399.51745974337245570495725
Subset: (0, 4), P-Value: 0.00000000000000000000516, Loss: 49756.16282902051170822232962
Subset: (0, 5), P-Value: 0.00000000000000038176715, Loss: 47329.31494656809809384867549
Subset: (0, 6), P-Value: 0.00000000000000000021774, Loss: 48089.06291337136644870042801
Subset: (0, 7), P-Value: 0.00000000000000003551879, Loss: 45662.77613889258645940572023
Subset: (0, 8), P-Value: 0.00000000012983447452845, Loss: 49601.11271493555977940559387
Subset: (0, 9), P-Value: 0.00000000000000001204748, Loss: 47852.66334967344300821423531
Subset: (0, 10), P-Value: 0.00000000000000000536349, Loss: 47712.46147824150102678686380
Subset: (1, 2), P-Value: 0.00000000031838819147008, Loss: 41867.58726358776038978248835
Subset: (1, 3), P-Value: 0.00000000000000000000764, Loss: 42147.00089262440451420843601
Subset: (1, 4), P-Value: 0.00000000000000008557233, Loss: 48161.09435297040181467309594
Subset: (1, 5), P-Value: 0.00000000000000966049800, Loss: 46214.33425246441765921190381
Subset: (1, 6), P-Value: 0.00000000000000001115908, Loss: 48102.16709850281040417030454
Subset: (1, 7), P-Value: 0.00000000000000000000425, Loss: 47615.55940474742237711325288
Subset: (1, 8), P-Value: 0.00000002389390046692283, Loss: 45588.01516506476036738604307
Subset: (1, 9), P-Value: 0.00000000000002273732825, Loss: 48452.45097969384369207546115
Subset: (1, 10), P-Value: 0.00000000000000000082661, Loss: 46183.13054532826936338096857
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 65846.98502607432601507753134
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 82024.06143201144004706293344
Subset: (2, 5), P-Value: 0.00000000000000000000000, Loss: 78868.95721766447240952402353
Subset: (2, 6), P-Value: 0.00000000000000000006610, Loss: 59039.15078370382980210706592
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 67269.14432077379024121910334
Subset: (2, 8), P-Value: 0.00000000000002514016050, Loss: 69762.59581494309531990438700
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 73645.61541568987013306468725
Subset: (2, 10), P-Value: 0.00000000000000000000000, Loss: 80859.55279025543131865561008
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 68484.85307846931391395628452
Subset: (3, 5), P-Value: 0.00000000000000000000000, Loss: 63368.40958177312859334051609
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 53938.57321100986882811412215
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 63866.50835922057740390300751
Subset: (3, 8), P-Value: 0.00000000000000000000000, Loss: 64306.31992376959533430635929
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 61803.89846413348277565091848
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 67886.49964808061486110091209
Subset: (4, 5), P-Value: 0.00000000000000000000000, Loss: 80179.34236647712532430887222
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 63690.54151719143555965274572
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 72613.83885368886694777756929
Subset: (4, 8), P-Value: 0.00000000000000000000000, Loss: 79948.15783108878531493246555
Subset: (4, 9), P-Value: 0.00000000000000000000000, Loss: 76288.70348205303889699280262
Subset: (4, 10), P-Value: 0.00000000000000000000000, Loss: 83353.53303455178684089332819
Subset: (5, 6), P-Value: 0.00000000000000000000000, Loss: 61001.45592145800037542358041
Subset: (5, 7), P-Value: 0.00000000000000000000000, Loss: 62959.36100971011910587549210
Subset: (5, 8), P-Value: 0.00000000000000000003247, Loss: 73629.07962789390876423567533
Subset: (5, 9), P-Value: 0.00000000000000000000000, Loss: 72763.56884754778002388775349
Subset: (5, 10), P-Value: 0.00000000000000000000000, Loss: 78794.77629273093771189451218
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 59630.51430162022734293714166
Subset: (6, 8), P-Value: 0.00000000000000000937231, Loss: 56937.39273111298098228871822
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 64074.92279211119603132829070
Subset: (6, 10), P-Value: 0.00000000000000000000000, Loss: 61738.27399085098295472562313
Subset: (7, 8), P-Value: 0.00000000000000000000000, Loss: 69877.54245019907830283045769
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 68848.78618742038088385015726
Subset: (7, 10), P-Value: 0.00000000000000000000000, Loss: 71003.35879105000640265643597
Subset: (8, 9), P-Value: 0.00000000000000000000201, Loss: 72590.58687549273599870502949
Subset: (8, 10), P-Value: 0.00000000000000000000000, Loss: 77551.39589583201450295746326
Subset: (9, 10), P-Value: 0.00000000000000000000000, Loss: 75408.00571259326534345746040
Subset: (0, 1, 2), P-Value: 0.00000000005126584255316, Loss: 35398.30230454180855304002762
Subset: (0, 1, 3), P-Value: 0.00000000000000000009618, Loss: 40124.88689548052934696897864
Subset: (0, 1, 4), P-Value: 0.00000000000007362891779, Loss: 46731.42427189803129294887185
Subset: (0, 1, 5), P-Value: 0.00000000001072106000749, Loss: 43944.52717959421715931966901
Subset: (0, 1, 6), P-Value: 0.00000000000002380060318, Loss: 44888.45487260060326661914587
Subset: (0, 1, 7), P-Value: 0.00000000000000000261478, Loss: 44504.03932148910826072096825
Subset: (0, 1, 8), P-Value: 0.00000017635656558464944, Loss: 44115.12908198298828210681677
Subset: (0, 1, 9), P-Value: 0.00000000000744489501464, Loss: 46900.61886027981381630524993
Subset: (0, 1, 10), P-Value: 0.00000000000000015440225, Loss: 44335.00134658999013481661677
Subset: (0, 2, 3), P-Value: 0.00000000000000021015622, Loss: 36486.45854076374234864488244
Subset: (0, 2, 4), P-Value: 0.00000000000000141965571, Loss: 40861.42466771134058944880962
Subset: (0, 2, 5), P-Value: 0.00000000000000215482425, Loss: 40216.85913203968084417283535
Subset: (0, 2, 6), P-Value: 0.00000000000000601745135, Loss: 37268.28039077630819519981742
Subset: (0, 2, 7), P-Value: 0.00000000000000030471539, Loss: 38789.56206856260541826486588
Subset: (0, 2, 8), P-Value: 0.00000000000000062402560, Loss: 39414.64525633959419792518020
Subset: (0, 2, 9), P-Value: 0.00000000000000910582305, Loss: 39774.11450589922606013715267
Subset: (0, 2, 10), P-Value: 0.00000000000000000328617, Loss: 40164.53385833134234417229891
Subset: (0, 3, 4), P-Value: 0.00000000000000000000000, Loss: 44399.51745974337245570495725
Subset: (0, 3, 5), P-Value: 0.00000000000000000571704, Loss: 42309.04872462238563457503915
Subset: (0, 3, 6), P-Value: 0.00000000000000000000007, Loss: 42070.22545615337003255262971
Subset: (0, 3, 7), P-Value: 0.00000000000000000020683, Loss: 42175.97668474573583807796240
Subset: (0, 3, 8), P-Value: 0.00000000000338414197935, Loss: 42110.78448067096906015649438
Subset: (0, 3, 9), P-Value: 0.00000000000000000000162, Loss: 42944.32502642625331645831466
Subset: (0, 3, 10), P-Value: 0.00000000000000000001784, Loss: 43133.56016843663383042439818
Subset: (0, 4, 5), P-Value: 0.00000000000000038176715, Loss: 47329.31494656809809384867549
Subset: (0, 4, 6), P-Value: 0.00000000000000000021774, Loss: 48089.06291337136644870042801
Subset: (0, 4, 7), P-Value: 0.00000000000000003551879, Loss: 45662.77613889258645940572023
Subset: (0, 4, 8), P-Value: 0.00000000012983447452845, Loss: 49601.11271493555977940559387
Subset: (0, 4, 9), P-Value: 0.00000000000000001204748, Loss: 47852.66334967344300821423531
Subset: (0, 4, 10), P-Value: 0.00000000000000000536349, Loss: 47712.46147824150102678686380
Subset: (0, 5, 6), P-Value: 0.00000000000000549930563, Loss: 44881.01660981729946797713637
Subset: (0, 5, 7), P-Value: 0.00000000000028512940081, Loss: 42805.32539430246106348931789
Subset: (0, 5, 8), P-Value: 0.00000000002611656240409, Loss: 46751.59271107678796397522092
Subset: (0, 5, 9), P-Value: 0.00000000000005911526563, Loss: 45285.91412145874346606433392
Subset: (0, 5, 10), P-Value: 0.00000000000003374902170, Loss: 45653.83445955319621134549379
Subset: (0, 6, 7), P-Value: 0.00000000000001441250317, Loss: 45024.58479148007609182968736
Subset: (0, 6, 8), P-Value: 0.00000000000002583708369, Loss: 45633.48733739757881266996264
Subset: (0, 6, 9), P-Value: 0.00000000000001885166878, Loss: 47887.63287125610077055171132
Subset: (0, 6, 10), P-Value: 0.00000000000000000263231, Loss: 44836.60059067048132419586182
Subset: (0, 7, 8), P-Value: 0.00000000004519317335285, Loss: 44113.81854660730459727346897
Subset: (0, 7, 9), P-Value: 0.00000000000003723382681, Loss: 45220.87883535468426998704672
Subset: (0, 7, 10), P-Value: 0.00000000000000000001395, Loss: 44731.65115552486531669273973
Subset: (0, 8, 9), P-Value: 0.00000000053951722657437, Loss: 47632.49338407533650752156973
Subset: (0, 8, 10), P-Value: 0.00000000000000026609520, Loss: 47254.70022244549181777983904
Subset: (0, 9, 10), P-Value: 0.00000000000000001375950, Loss: 45769.52726337285275803878903
Subset: (1, 2, 3), P-Value: 0.00000000001218349706408, Loss: 36139.31630788349139038473368
Subset: (1, 2, 4), P-Value: 0.00000000031838819147008, Loss: 41867.58726358776038978248835
Subset: (1, 2, 5), P-Value: 0.00000000025355817197201, Loss: 41478.35616773009678581729531
Subset: (1, 2, 6), P-Value: 0.00000000000011345511990, Loss: 42159.48611386951961321756244
Subset: (1, 2, 7), P-Value: 0.00000000000001043849682, Loss: 42590.19458531444979598745704
Subset: (1, 2, 8), P-Value: 0.00000000158034129662185, Loss: 38970.88611037805821979418397
Subset: (1, 2, 9), P-Value: 0.00000000015790354550142, Loss: 41390.64652494656183989718556
Subset: (1, 2, 10), P-Value: 0.00000000069108129587495, Loss: 41599.48075719446205766871572
Subset: (1, 3, 4), P-Value: 0.00000000000000000000764, Loss: 42147.00089262440451420843601
Subset: (1, 3, 5), P-Value: 0.00000000000000000019246, Loss: 40507.94006690345850074663758
Subset: (1, 3, 6), P-Value: 0.00000000000000038295964, Loss: 41279.05401782133412780240178
Subset: (1, 3, 7), P-Value: 0.00000000000000000000018, Loss: 40857.93264588285819627344608
Subset: (1, 3, 8), P-Value: 0.00000000003826366642053, Loss: 37646.61376403368922183290124
Subset: (1, 3, 9), P-Value: 0.00000000000000000133423, Loss: 42129.44709410696668783202767
Subset: (1, 3, 10), P-Value: 0.00000000000000000155723, Loss: 41210.20117435530119109898806
Subset: (1, 4, 5), P-Value: 0.00000000000000966049800, Loss: 46214.33425246441765921190381
Subset: (1, 4, 6), P-Value: 0.00000000000000001115908, Loss: 48102.16709850281040417030454
Subset: (1, 4, 7), P-Value: 0.00000000000000000000425, Loss: 47615.55940474742237711325288
Subset: (1, 4, 8), P-Value: 0.00000002389390046692283, Loss: 45588.01516506476036738604307
Subset: (1, 4, 9), P-Value: 0.00000000000002273732825, Loss: 48452.45097969384369207546115
Subset: (1, 4, 10), P-Value: 0.00000000000000000082661, Loss: 46183.13054532826936338096857
Subset: (1, 5, 6), P-Value: 0.00000000000005454325213, Loss: 46614.26640099166979780420661
Subset: (1, 5, 7), P-Value: 0.00000000000000000213436, Loss: 45030.59225021841120906174183
Subset: (1, 5, 8), P-Value: 0.00000000020753623869890, Loss: 43889.67349668281531194224954
Subset: (1, 5, 9), P-Value: 0.00000000000255718077880, Loss: 45921.58197717771690804511309
Subset: (1, 5, 10), P-Value: 0.00000000000001777816629, Loss: 44588.44341587727103615179658
Subset: (1, 6, 7), P-Value: 0.00000000000000000014629, Loss: 47591.66659542758134193718433
Subset: (1, 6, 8), P-Value: 0.00000000000111090058306, Loss: 44651.03157124239805852994323
Subset: (1, 6, 9), P-Value: 0.00000000000000061323643, Loss: 48400.01617002366401720792055
Subset: (1, 6, 10), P-Value: 0.00000000000000004573007, Loss: 46474.27658720545878168195486
Subset: (1, 7, 8), P-Value: 0.00000000004649153940349, Loss: 44710.72596721426816657185555
Subset: (1, 7, 9), P-Value: 0.00000000000000017820421, Loss: 47583.37068156326131429523230
Subset: (1, 7, 10), P-Value: 0.00000000000000000000007, Loss: 45908.21127381946280365809798
Subset: (1, 8, 9), P-Value: 0.00000002547782174197279, Loss: 44657.06509888155414955690503
Subset: (1, 8, 10), P-Value: 0.00000000000024150942885, Loss: 43437.03777681766223395243287
Subset: (1, 9, 10), P-Value: 0.00000000000000073614326, Loss: 46272.58987756074930075556040
Subset: (2, 3, 4), P-Value: 0.00000000000000000000000, Loss: 65846.98502607432601507753134
Subset: (2, 3, 5), P-Value: 0.00000000000000000000000, Loss: 62662.53715891972387908026576
Subset: (2, 3, 6), P-Value: 0.00000000000002475782804, Loss: 49702.07311288177152164280415
Subset: (2, 3, 7), P-Value: 0.00000000000000000000000, Loss: 58211.46682066022185608744621
Subset: (2, 3, 8), P-Value: 0.00000000000000065879205, Loss: 55406.29834984926128527149558
Subset: (2, 3, 9), P-Value: 0.00000000000000000000598, Loss: 58488.02806090179365128278732
Subset: (2, 3, 10), P-Value: 0.00000000000000000000000, Loss: 64565.18904498219490051269531
Subset: (2, 4, 5), P-Value: 0.00000000000000000000000, Loss: 78868.95721766447240952402353
Subset: (2, 4, 6), P-Value: 0.00000000000000000006610, Loss: 59039.15078370382980210706592
Subset: (2, 4, 7), P-Value: 0.00000000000000000000000, Loss: 67269.14432077379024121910334
Subset: (2, 4, 8), P-Value: 0.00000000000002514016050, Loss: 69762.59581494309531990438700
Subset: (2, 4, 9), P-Value: 0.00000000000000000000000, Loss: 73645.61541568987013306468725
Subset: (2, 4, 10), P-Value: 0.00000000000000000000000, Loss: 80859.55279025543131865561008
Subset: (2, 5, 6), P-Value: 0.00000000000000003701175, Loss: 57066.43435877010051626712084
Subset: (2, 5, 7), P-Value: 0.00000000000000000000000, Loss: 62825.96072120252210879698396
Subset: (2, 5, 8), P-Value: 0.00000000000000021111682, Loss: 65803.91044954239623621106148
Subset: (2, 5, 9), P-Value: 0.00000000000000000000000, Loss: 71323.07377382231061346828938
Subset: (2, 5, 10), P-Value: 0.00000000000000000000000, Loss: 78030.44894934608601033687592
Subset: (2, 6, 7), P-Value: 0.00000000000000000503404, Loss: 54932.05622838569979649037123
Subset: (2, 6, 8), P-Value: 0.00000000000000491374231, Loss: 50322.06409407673345413058996
Subset: (2, 6, 9), P-Value: 0.00000000000000000074174, Loss: 58826.30050878269685199484229
Subset: (2, 6, 10), P-Value: 0.00000000000000000210577, Loss: 57427.62749996872298652306199
Subset: (2, 7, 8), P-Value: 0.00000000000000000341894, Loss: 58452.15278643284545978531241
Subset: (2, 7, 9), P-Value: 0.00000000000000000000046, Loss: 64164.54485301329987123608589
Subset: (2, 7, 10), P-Value: 0.00000000000000000000000, Loss: 66568.46674253496166784316301
Subset: (2, 8, 9), P-Value: 0.00000000001295941942622, Loss: 63460.94426945965824415907264
Subset: (2, 8, 10), P-Value: 0.00000000000000012179645, Loss: 67923.15325267059961333870888
Subset: (2, 9, 10), P-Value: 0.00000000000000000000000, Loss: 73393.28414983050606679171324
Subset: (3, 4, 5), P-Value: 0.00000000000000000000000, Loss: 63368.40958177312859334051609
Subset: (3, 4, 6), P-Value: 0.00000000000000000000000, Loss: 53938.57321100986882811412215
Subset: (3, 4, 7), P-Value: 0.00000000000000000000000, Loss: 63866.50835922057740390300751
Subset: (3, 4, 8), P-Value: 0.00000000000000000000000, Loss: 64306.31992376959533430635929
Subset: (3, 4, 9), P-Value: 0.00000000000000000000000, Loss: 61803.89846413348277565091848
Subset: (3, 4, 10), P-Value: 0.00000000000000000000000, Loss: 67886.49964808061486110091209
Subset: (3, 5, 6), P-Value: 0.00000000000000000000001, Loss: 52168.99753893868182785809040
Subset: (3, 5, 7), P-Value: 0.00000000000000000000000, Loss: 56205.50835097376693738624454
Subset: (3, 5, 8), P-Value: 0.00000000000000008879350, Loss: 58981.79987878087558783590794
Subset: (3, 5, 9), P-Value: 0.00000000000000000000000, Loss: 57837.34667179324605967849493
Subset: (3, 5, 10), P-Value: 0.00000000000000000000000, Loss: 62866.50455004975810879841447
Subset: (3, 6, 7), P-Value: 0.00000000000000000000000, Loss: 52015.95637905485637020319700
Subset: (3, 6, 8), P-Value: 0.00000000000005282612124, Loss: 47100.44990513753145933151245
Subset: (3, 6, 9), P-Value: 0.00000000000000000000000, Loss: 54074.86179839923715917393565
Subset: (3, 6, 10), P-Value: 0.00000000000000000000000, Loss: 52734.04180380170873831957579
Subset: (3, 7, 8), P-Value: 0.00000000000000000000000, Loss: 58707.89595567209471482783556
Subset: (3, 7, 9), P-Value: 0.00000000000000000000000, Loss: 60228.67416981921269325539470
Subset: (3, 7, 10), P-Value: 0.00000000000000000000000, Loss: 62459.32289880987082142382860
Subset: (3, 8, 9), P-Value: 0.00000000000000000000373, Loss: 58993.80735691745212534442544
Subset: (3, 8, 10), P-Value: 0.00000000000000000000027, Loss: 62183.95158026696299202740192
Subset: (3, 9, 10), P-Value: 0.00000000000000000000000, Loss: 61095.28583778313623042777181
Subset: (4, 5, 6), P-Value: 0.00000000000000000000000, Loss: 61001.45592145800037542358041
Subset: (4, 5, 7), P-Value: 0.00000000000000000000000, Loss: 62959.36100971011910587549210
Subset: (4, 5, 8), P-Value: 0.00000000000000000003247, Loss: 73629.07962789390876423567533
