All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 111357.08273739005380775779486
Subset: (1,), P-Value: 0.00000000000000000000088, Loss: 117329.57016493007540702819824
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 75023.77014647926262114197016
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 92681.15495660687156487256289
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 81765.58012546534882858395576
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 78260.77105960132030304521322
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 94891.83660550277272704988718
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 86629.91371385536331217736006
Subset: (8,), P-Value: 0.00000000000000000000000, Loss: 74976.39543101786694023758173
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 80860.46601778200420085340738
Subset: (10,), P-Value: 0.00000000000000000000000, Loss: 74309.41590441792504861950874
Subset: (0, 1), P-Value: 0.00000000000000000000013, Loss: 120137.62080058811989147216082
Subset: (0, 2), P-Value: 0.00000000000000471784160, Loss: 119143.44797479655244387686253
Subset: (0, 3), P-Value: 0.00000000000000000000000, Loss: 116210.23198685172246769070625
Subset: (0, 4), P-Value: 0.00000000000000000000000, Loss: 113560.91451333952136337757111
Subset: (0, 5), P-Value: 0.00000000000000000000001, Loss: 111491.82927665367606095969677
Subset: (0, 6), P-Value: 0.00000000000000000000000, Loss: 113022.22893857666349504143000
Subset: (0, 7), P-Value: 0.00000000000000000000556, Loss: 117721.39877140161115676164627
Subset: (0, 8), P-Value: 0.00000000000000000000000, Loss: 111534.30192913768405560404062
Subset: (0, 9), P-Value: 0.00000000000000000000000, Loss: 112636.51541584837832488119602
Subset: (0, 10), P-Value: 0.00000000000000000032070, Loss: 113099.36492083448683843016624
Subset: (1, 2), P-Value: 0.00000000000000000290564, Loss: 121767.68250788706063758581877
Subset: (1, 3), P-Value: 0.00000000000000000000000, Loss: 120629.08097344645648263394833
Subset: (1, 4), P-Value: 0.00000000000000000000000, Loss: 119048.47662707102426793426275
Subset: (1, 5), P-Value: 0.00000000000000000000009, Loss: 117590.31018926559772808104753
Subset: (1, 6), P-Value: 0.00000000000000000003578, Loss: 117401.48785818404576275497675
Subset: (1, 7), P-Value: 0.00000000000000000000017, Loss: 117743.37531176445190794765949
Subset: (1, 8), P-Value: 0.00000000000000000067443, Loss: 117655.96679131645942106842995
Subset: (1, 9), P-Value: 0.00000000000000000035634, Loss: 117837.00269736883637961000204
Subset: (1, 10), P-Value: 0.00000000000000000000541, Loss: 117998.62801633740309625864029
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 94978.98186433510272763669491
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 82593.18643589684506878256798
Subset: (2, 5), P-Value: 0.00000000000000000000000, Loss: 79051.09009901063109282404184
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 100594.20039899810217320919037
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 89698.24886857542151119560003
Subset: (2, 8), P-Value: 0.00000000000000000000000, Loss: 76552.91360217375040519982576
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 83088.45501303843047935515642
Subset: (2, 10), P-Value: 0.00000000000000000000000, Loss: 76211.82383474340895190834999
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 93691.68457154973293654620647
Subset: (3, 5), P-Value: 0.00000000000000000000000, Loss: 97440.58785427040129434317350
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 105701.44045097286289092153311
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 97230.44948419684078544378281
Subset: (3, 8), P-Value: 0.00000000000000000000000, Loss: 92771.97506223655364010483027
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 97463.01070177264045923948288
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 93072.76516084658214822411537
Subset: (4, 5), P-Value: 0.00000000000000000000000, Loss: 85421.24113307123479899019003
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 100479.02244905223778914660215
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 92622.27744723873911425471306
Subset: (4, 8), P-Value: 0.00000000000000000000000, Loss: 82327.86668341422046069055796
Subset: (4, 9), P-Value: 0.00000000000000000000000, Loss: 88398.72317367304640356451273
Subset: (4, 10), P-Value: 0.00000000000000000000000, Loss: 82231.63172170416510198265314
Subset: (5, 6), P-Value: 0.00000000000000000000000, Loss: 96078.98768156947335228323936
Subset: (5, 7), P-Value: 0.00000000000000000000000, Loss: 99308.97032224615395534783602
Subset: (5, 8), P-Value: 0.00000000000000000000000, Loss: 79884.01563415754935704171658
Subset: (5, 9), P-Value: 0.00000000000000000000000, Loss: 83022.64090256235795095562935
Subset: (5, 10), P-Value: 0.00000000000000000000000, Loss: 79279.17867268870759289711714
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 102554.08007957557856570929289
Subset: (6, 8), P-Value: 0.00000000000000000000000, Loss: 95883.37304168558330275118351
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 95453.58699125474959146231413
Subset: (6, 10), P-Value: 0.00000000000000000000000, Loss: 95662.74936333567893598228693
Subset: (7, 8), P-Value: 0.00000000000000000000000, Loss: 87364.67805065418360754847527
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 90426.47568909836991224437952
Subset: (7, 10), P-Value: 0.00000000000000000000000, Loss: 86685.96303375095885712653399
Subset: (8, 9), P-Value: 0.00000000000000000000000, Loss: 81685.85726706434797961264849
Subset: (8, 10), P-Value: 0.00000000000000000000000, Loss: 76026.67692513321526348590851
Subset: (9, 10), P-Value: 0.00000000000000000000000, Loss: 81173.90958063927246257662773
Subset: (0, 1, 2), P-Value: 0.00000000023749815780925, Loss: 127962.70001309685176238417625
Subset: (0, 1, 3), P-Value: 0.00000000000000000000000, Loss: 123207.06589049560716375708580
Subset: (0, 1, 4), P-Value: 0.00000000000000000000000, Loss: 121018.09318225477181840687990
Subset: (0, 1, 5), P-Value: 0.00000000000000000000071, Loss: 120159.05838309989485424011946
Subset: (0, 1, 6), P-Value: 0.00000000000000001729997, Loss: 120414.82948469270195346325636
Subset: (0, 1, 7), P-Value: 0.00000000000000000001843, Loss: 121694.02458258195838425308466
Subset: (0, 1, 8), P-Value: 0.00000000000000000005595, Loss: 120592.91822431751643307507038
Subset: (0, 1, 9), P-Value: 0.00000000000000000000064, Loss: 120280.00397504592547193169594
Subset: (0, 1, 10), P-Value: 0.00000000000000003783107, Loss: 121457.26096516089455690234900
Subset: (0, 2, 3), P-Value: 0.00000000000000009411154, Loss: 122693.44320081111800391227007
Subset: (0, 2, 4), P-Value: 0.00000000000003315447566, Loss: 120653.93948314157023560255766
Subset: (0, 2, 5), P-Value: 0.00000000000002743361547, Loss: 119363.57122220726159866899252
Subset: (0, 2, 6), P-Value: 0.00000000000073153154615, Loss: 123216.86215690727112814784050
Subset: (0, 2, 7), P-Value: 0.00000000000098694423504, Loss: 123575.83679550146916881203651
Subset: (0, 2, 8), P-Value: 0.00000000000000976791908, Loss: 119501.17503353460051584988832
Subset: (0, 2, 9), P-Value: 0.00000000000004983501680, Loss: 120917.69592409508186392486095
Subset: (0, 2, 10), P-Value: 0.00000000000018580003004, Loss: 119719.35003586107632145285606
Subset: (0, 3, 4), P-Value: 0.00000000000000000000000, Loss: 116215.14754528857883997261524
Subset: (0, 3, 5), P-Value: 0.00000000000000000000000, Loss: 116400.85921718848112504929304
Subset: (0, 3, 6), P-Value: 0.00000000000000000000000, Loss: 117663.64459142614214215427637
Subset: (0, 3, 7), P-Value: 0.00000000000000000000000, Loss: 120042.85371913970448076725006
Subset: (0, 3, 8), P-Value: 0.00000000000000000000000, Loss: 116210.23730415910540614277124
Subset: (0, 3, 9), P-Value: 0.00000000000000000000000, Loss: 117495.76771051267860457301140
Subset: (0, 3, 10), P-Value: 0.00000000000000000000000, Loss: 117258.70172283840656746178865
Subset: (0, 4, 5), P-Value: 0.00000000000000000000000, Loss: 113070.14101533286157064139843
Subset: (0, 4, 6), P-Value: 0.00000000000000000000000, Loss: 114943.25148191265179775655270
Subset: (0, 4, 7), P-Value: 0.00000000000000000000008, Loss: 119266.21879245190939400345087
Subset: (0, 4, 8), P-Value: 0.00000000000000000000000, Loss: 113553.21882294988608919084072
Subset: (0, 4, 9), P-Value: 0.00000000000000000000000, Loss: 114853.11155356216477230191231
Subset: (0, 4, 10), P-Value: 0.00000000000000000000459, Loss: 114672.16541396918182726949453
Subset: (0, 5, 6), P-Value: 0.00000000000000000000008, Loss: 113807.91821505982079543173313
Subset: (0, 5, 7), P-Value: 0.00000000000000000000317, Loss: 120222.94594002279336564242840
Subset: (0, 5, 8), P-Value: 0.00000000000000000000078, Loss: 111776.75754225879791192710400
Subset: (0, 5, 9), P-Value: 0.00000000000000000000007, Loss: 112719.92638980435731355100870
Subset: (0, 5, 10), P-Value: 0.00000000000000002453914, Loss: 113684.03920893641770817339420
Subset: (0, 6, 7), P-Value: 0.00000000000000002727897, Loss: 119178.22458098057541064918041
Subset: (0, 6, 8), P-Value: 0.00000000000000000000000, Loss: 113175.41887265260447748005390
Subset: (0, 6, 9), P-Value: 0.00000000000000000000000, Loss: 113580.04932897754770237952471
Subset: (0, 6, 10), P-Value: 0.00000000000000002188645, Loss: 115127.92343025720037985593081
Subset: (0, 7, 8), P-Value: 0.00000000000000000001181, Loss: 117975.08349835415720008313656
Subset: (0, 7, 9), P-Value: 0.00000000000000000005659, Loss: 118169.32478215455194003880024
Subset: (0, 7, 10), P-Value: 0.00000000000000002182415, Loss: 118086.18250165057543199509382
Subset: (0, 8, 9), P-Value: 0.00000000000000000000001, Loss: 112785.53247612269478850066662
Subset: (0, 8, 10), P-Value: 0.00000000000000001998701, Loss: 113566.32514704458299092948437
Subset: (0, 9, 10), P-Value: 0.00000000000000001252979, Loss: 114141.17186863836832344532013
Subset: (1, 2, 3), P-Value: 0.00000000000000000022502, Loss: 124444.52010194286413025110960
Subset: (1, 2, 4), P-Value: 0.00000000000000000011482, Loss: 122976.14637678561848588287830
Subset: (1, 2, 5), P-Value: 0.00000000000005173009595, Loss: 122968.80599916451319586485624
Subset: (1, 2, 6), P-Value: 0.00000000000000000221622, Loss: 122325.92867458589898888021708
Subset: (1, 2, 7), P-Value: 0.00000000000000008766959, Loss: 121717.25231849678675644099712
Subset: (1, 2, 8), P-Value: 0.00000000000000001525751, Loss: 121785.71264287829399108886719
Subset: (1, 2, 9), P-Value: 0.00000000000000160125789, Loss: 122349.59278853372961748391390
Subset: (1, 2, 10), P-Value: 0.00000000000000001397052, Loss: 122087.92458716887631453573704
Subset: (1, 3, 4), P-Value: 0.00000000000000000000002, Loss: 121094.19078526145312935113907
Subset: (1, 3, 5), P-Value: 0.00000000000000000000000, Loss: 121340.67777695906988810747862
Subset: (1, 3, 6), P-Value: 0.00000000000000000000005, Loss: 120389.47425482067046687006950
Subset: (1, 3, 7), P-Value: 0.00000000000000000000001, Loss: 119881.50735125599021557718515
Subset: (1, 3, 8), P-Value: 0.00000000000000000000083, Loss: 121033.87411670495930593460798
Subset: (1, 3, 9), P-Value: 0.00000000000000000000004, Loss: 121060.07490439851244445890188
Subset: (1, 3, 10), P-Value: 0.00000000000000000000000, Loss: 121078.24437212197517510503531
Subset: (1, 4, 5), P-Value: 0.00000000000000000000000, Loss: 119305.17872896553308237344027
