All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000009258, Loss: 46999.33395380824367748573422
Subset: (1,), P-Value: 0.00000000000000000043560, Loss: 45323.20657999617105815559626
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 79366.48023007970186881721020
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 60999.50912215623975498601794
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 72876.15621225113864056766033
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 76385.38939121144358068704605
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 63618.46024571599991759285331
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 69067.56340341290342621505260
Subset: (8,), P-Value: 0.00000000000000000000000, Loss: 79059.56224495287460740655661
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 72730.64604584586049895733595
Subset: (10,), P-Value: 0.00000000000000000000000, Loss: 79040.34792618788196705281734
Subset: (0, 1), P-Value: 0.00000000000000851733575, Loss: 41486.73917760482436278834939
Subset: (0, 2), P-Value: 0.00000000224315127793229, Loss: 38769.26554028488317271694541
Subset: (0, 3), P-Value: 0.00000000000000000000005, Loss: 40225.60691745873918989673257
Subset: (0, 4), P-Value: 0.00000000000000000000000, Loss: 42766.18330004496237961575389
Subset: (0, 5), P-Value: 0.00000000000000004985618, Loss: 46629.91040380766935413703322
Subset: (0, 6), P-Value: 0.00000000000000000000563, Loss: 46825.70893407044786727055907
Subset: (0, 7), P-Value: 0.00000000000000392221225, Loss: 41756.37687758936954196542501
Subset: (0, 8), P-Value: 0.00000000000000000041061, Loss: 46995.53486585419886978343129
Subset: (0, 9), P-Value: 0.00000000000000000091204, Loss: 46643.17539549888169858604670
Subset: (0, 10), P-Value: 0.00000000000001335373413, Loss: 45021.80569787100830581039190
Subset: (1, 2), P-Value: 0.00000000000000010927395, Loss: 40919.52132849305780837312341
Subset: (1, 3), P-Value: 0.00000000000000000000318, Loss: 38688.60502695228933589532971
Subset: (1, 4), P-Value: 0.00000000000000000000000, Loss: 41764.02609022832621121779084
Subset: (1, 5), P-Value: 0.00000000000000000035379, Loss: 45338.90663378757017198950052
Subset: (1, 6), P-Value: 0.00000000000000000114233, Loss: 45092.73600188438285840675235
Subset: (1, 7), P-Value: 0.00000000000000000005349, Loss: 44933.56152190837019588798285
Subset: (1, 8), P-Value: 0.00000000000000003984176, Loss: 45072.63735902892221929505467
Subset: (1, 9), P-Value: 0.00000000000000001055346, Loss: 44127.03458132320520235225558
Subset: (1, 10), P-Value: 0.00000000000000000004389, Loss: 44465.10400234501139493659139
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 60999.26847500128496903926134
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 72854.98070145296514965593815
Subset: (2, 5), P-Value: 0.00000000000000000000000, Loss: 75651.84732179778802674263716
Subset: (2, 6), P-Value: 0.00000000000000000000000, Loss: 57748.65439668516773963347077
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 68747.69791665402590297162533
Subset: (2, 8), P-Value: 0.00000000000000000000000, Loss: 79066.79678433568915352225304
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 72544.42118152805778663605452
Subset: (2, 10), P-Value: 0.00000000000000000000000, Loss: 78930.88599662495835218578577
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 59694.56430886482121422886848
Subset: (3, 5), P-Value: 0.00000000000000000000000, Loss: 58492.29711063017020933330059
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 50833.18878099011635640636086
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 56337.04732108239841181784868
Subset: (3, 8), P-Value: 0.00000000000000000000000, Loss: 61001.55336115616228198632598
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 56159.95241132189403288066387
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 60819.07623379035794641822577
Subset: (4, 5), P-Value: 0.00000000000000000000000, Loss: 70129.82501855374721344560385
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 58452.22024438599328277632594
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 63912.58682473925000522285700
Subset: (4, 8), P-Value: 0.00000000000000000000000, Loss: 72699.88654451991897076368332
Subset: (4, 9), P-Value: 0.00000000000000000000000, Loss: 66531.21073463796346914023161
Subset: (4, 10), P-Value: 0.00000000000000000000000, Loss: 72587.40823334913875441998243
Subset: (5, 6), P-Value: 0.00000000000000000000000, Loss: 63618.32060448305855970829725
Subset: (5, 7), P-Value: 0.00000000000000000000000, Loss: 60722.10014041270915186032653
Subset: (5, 8), P-Value: 0.00000000000000000000000, Loss: 75896.22790554306993726640940
Subset: (5, 9), P-Value: 0.00000000000000000000000, Loss: 70838.03945586983172688633204
Subset: (5, 10), P-Value: 0.00000000000000000000000, Loss: 75166.94754937280958984047174
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 58540.16522714373422786593437
Subset: (6, 8), P-Value: 0.00000000000000000000000, Loss: 63600.96141663705930113792419
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 63368.51410197671793866902590
Subset: (6, 10), P-Value: 0.00000000000000000000000, Loss: 62486.07836860683164559304714
Subset: (7, 8), P-Value: 0.00000000000000000000000, Loss: 68999.78376691523590125143528
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 66246.06389997174846939742565
Subset: (7, 10), P-Value: 0.00000000000000000000000, Loss: 69083.15029552332998719066381
Subset: (8, 9), P-Value: 0.00000000000000000000000, Loss: 72583.23179351785802282392979
Subset: (8, 10), P-Value: 0.00000000000000000000000, Loss: 78738.08077737280109431594610
Subset: (9, 10), P-Value: 0.00000000000000000000000, Loss: 72471.71081631330889649689198
Subset: (0, 1, 2), P-Value: 0.00000000860049944528669, Loss: 33094.67357988297590054571629
Subset: (0, 1, 3), P-Value: 0.00000000000000010756530, Loss: 36016.90566306732944212853909
Subset: (0, 1, 4), P-Value: 0.00000000000000000000108, Loss: 37963.78301487470889696851373
Subset: (0, 1, 5), P-Value: 0.00000000000002674487678, Loss: 41211.05183428673626622185111
Subset: (0, 1, 6), P-Value: 0.00000000000097713309187, Loss: 40773.87142647687869612127542
Subset: (0, 1, 7), P-Value: 0.00000000000000467068454, Loss: 39901.22861680096684722229838
Subset: (0, 1, 8), P-Value: 0.00000000000086648505607, Loss: 41300.96304392045567510649562
Subset: (0, 1, 9), P-Value: 0.00000000000002134265296, Loss: 40906.71930271299061132594943
Subset: (0, 1, 10), P-Value: 0.00000000000007420293227, Loss: 39950.75084487767890095710754
Subset: (0, 2, 3), P-Value: 0.00000000585534231766110, Loss: 34152.42822632441675523295999
Subset: (0, 2, 4), P-Value: 0.00000000000033021228070, Loss: 35226.95383094972930848598480
Subset: (0, 2, 5), P-Value: 0.00000000098721047122035, Loss: 38451.37810776807600632309914
Subset: (0, 2, 6), P-Value: 0.00000000048218202599944, Loss: 36189.18351689732662634924054
Subset: (0, 2, 7), P-Value: 0.00000001323402979885951, Loss: 36087.20103281006595352664590
Subset: (0, 2, 8), P-Value: 0.00000000289248229558348, Loss: 38764.17475457200634991750121
Subset: (0, 2, 9), P-Value: 0.00000000238343644822316, Loss: 38143.08303254498605383560061
Subset: (0, 2, 10), P-Value: 0.00000000580503799387129, Loss: 38558.44660524042410543188453
Subset: (0, 3, 4), P-Value: 0.00000000000000000000000, Loss: 38644.91776474114885786548257
Subset: (0, 3, 5), P-Value: 0.00000000000000000006279, Loss: 40126.90549997786729363724589
Subset: (0, 3, 6), P-Value: 0.00000000000000000000000, Loss: 40011.46876951075682882219553
Subset: (0, 3, 7), P-Value: 0.00000000000000000156791, Loss: 37167.25239889395015779882669
Subset: (0, 3, 8), P-Value: 0.00000000000000000000014, Loss: 40210.60826954690855927765369
Subset: (0, 3, 9), P-Value: 0.00000000000000000000279, Loss: 39793.20840235685318475589156
Subset: (0, 3, 10), P-Value: 0.00000000000000016374912, Loss: 38832.08641619935951894149184
Subset: (0, 4, 5), P-Value: 0.00000000000000000000001, Loss: 42415.42606633685500128194690
Subset: (0, 4, 6), P-Value: 0.00000000000000000000000, Loss: 42643.89011980062787188217044
Subset: (0, 4, 7), P-Value: 0.00000000000000000000664, Loss: 38165.24468605291622225195169
Subset: (0, 4, 8), P-Value: 0.00000000000000000000000, Loss: 42742.14251752160635078325868
Subset: (0, 4, 9), P-Value: 0.00000000000000000000000, Loss: 42393.01820899262384045869112
Subset: (0, 4, 10), P-Value: 0.00000000000000000000516, Loss: 40935.27132314375194255262613
Subset: (0, 5, 6), P-Value: 0.00000000000000003311005, Loss: 46212.22765139706461923196912
Subset: (0, 5, 7), P-Value: 0.00000000000000045977368, Loss: 41610.76334590526676038280129
Subset: (0, 5, 8), P-Value: 0.00000000000000063518867, Loss: 46607.06383681159786647185683
Subset: (0, 5, 9), P-Value: 0.00000000000000030046369, Loss: 46273.18801019784586969763041
Subset: (0, 5, 10), P-Value: 0.00000000000011583853597, Loss: 44950.42143408977426588535309
Subset: (0, 6, 7), P-Value: 0.00000000000000134359089, Loss: 41790.10951753137487685307860
Subset: (0, 6, 8), P-Value: 0.00000000000000000003483, Loss: 46817.30455439622892299667001
Subset: (0, 6, 9), P-Value: 0.00000000000000000003605, Loss: 46644.37899140199442626908422
Subset: (0, 6, 10), P-Value: 0.00000000000000046902827, Loss: 44795.96642804523435188457370
Subset: (0, 7, 8), P-Value: 0.00000000000002131628124, Loss: 41716.50768975557002704590559
Subset: (0, 7, 9), P-Value: 0.00000000000000445045427, Loss: 41785.47163579719926929101348
Subset: (0, 7, 10), P-Value: 0.00000000000015012095232, Loss: 40922.60538332834403263404965
Subset: (0, 8, 9), P-Value: 0.00000000000000000356180, Loss: 46636.47993274093460058793426
Subset: (0, 8, 10), P-Value: 0.00000000000005918251156, Loss: 45009.91534836518258089199662
Subset: (0, 9, 10), P-Value: 0.00000000000001224543953, Loss: 44775.37144650456320960074663
Subset: (1, 2, 3), P-Value: 0.00000000000000000118393, Loss: 35409.34719020227930741384625
Subset: (1, 2, 4), P-Value: 0.00000000000000000000096, Loss: 37776.76078438066178932785988
Subset: (1, 2, 5), P-Value: 0.00000000000001975931799, Loss: 39624.53994240150495897978544
Subset: (1, 2, 6), P-Value: 0.00000000000000003734315, Loss: 40662.80346187616669340059161
Subset: (1, 2, 7), P-Value: 0.00000000000000051701158, Loss: 40986.65888134149281540885568
Subset: (1, 2, 8), P-Value: 0.00000000000000115471028, Loss: 40646.03827602798992302268744
Subset: (1, 2, 9), P-Value: 0.00000000000000077699572, Loss: 39763.90731824633257929235697
Subset: (1, 2, 10), P-Value: 0.00000000000000009384691, Loss: 40908.27825123671209439635277
Subset: (1, 3, 4), P-Value: 0.00000000000000000000000, Loss: 37463.64384985961078200489283
Subset: (1, 3, 5), P-Value: 0.00000000000000000000372, Loss: 38666.96998023768537677824497
Subset: (1, 3, 6), P-Value: 0.00000000000000000001951, Loss: 38572.32220686374785145744681
Subset: (1, 3, 7), P-Value: 0.00000000000000000000189, Loss: 38632.95452320729964412748814
Subset: (1, 3, 8), P-Value: 0.00000000000000000079709, Loss: 38442.12985143361584050580859
Subset: (1, 3, 9), P-Value: 0.00000000000000000004089, Loss: 38066.68914172774384496733546
Subset: (1, 3, 10), P-Value: 0.00000000000000000000042, Loss: 38076.07455515760375419631600
Subset: (1, 4, 5), P-Value: 0.00000000000000000000000, Loss: 41784.33767284654459217563272
