All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000001, Loss: 45440.58493977444595657289028
Subset: (1,), P-Value: 0.00000000000000534735557, Loss: 53083.71067487185791833326221
Subset: (2,), P-Value: 0.00000000000000000000000, Loss: 78838.69667929442948661744595
Subset: (3,), P-Value: 0.00000000000000000000000, Loss: 61388.83975785389338852837682
Subset: (4,), P-Value: 0.00000000000000000000000, Loss: 78317.24384453939273953437805
Subset: (5,), P-Value: 0.00000000000000000000000, Loss: 75906.06406981928739696741104
Subset: (6,), P-Value: 0.00000000000000000000000, Loss: 59169.88620861570962006226182
Subset: (7,), P-Value: 0.00000000000000000000000, Loss: 74396.61923241223848890513182
Subset: (8,), P-Value: 0.00000000000091830490337, Loss: 90229.02383741318772081285715
Subset: (9,), P-Value: 0.00000000000000000000000, Loss: 72429.47553776169661432504654
Subset: (10,), P-Value: 0.00000000000000000000000, Loss: 78942.04051714914385229349136
Subset: (0, 1), P-Value: 0.00000000001883559395397, Loss: 50696.05343348535097902640700
Subset: (0, 2), P-Value: 0.00000000000000006129366, Loss: 40608.61493130425515118986368
Subset: (0, 3), P-Value: 0.00000000000000000000000, Loss: 40552.98711890730191953480244
Subset: (0, 4), P-Value: 0.00000000000000000000000, Loss: 44127.59266400020715082064271
Subset: (0, 5), P-Value: 0.00000000000000000017351, Loss: 43617.16535727306472836062312
Subset: (0, 6), P-Value: 0.00000000000000000000923, Loss: 43266.94502395299059571698308
Subset: (0, 7), P-Value: 0.00000000000000000094826, Loss: 45560.27134303756611188873649
Subset: (0, 8), P-Value: 0.00000000075070664786579, Loss: 57428.21632465218863217160106
Subset: (0, 9), P-Value: 0.00000000000000000625369, Loss: 45050.62479192363389302045107
Subset: (0, 10), P-Value: 0.00000000000000000002471, Loss: 41723.29817847644881112501025
Subset: (1, 2), P-Value: 0.00000000000071121686960, Loss: 44634.98443871121708070859313
Subset: (1, 3), P-Value: 0.00000000003482137261179, Loss: 43708.25919252476160181686282
Subset: (1, 4), P-Value: 0.00000000000001492302719, Loss: 48727.29449323684093542397022
Subset: (1, 5), P-Value: 0.00000000000735331341914, Loss: 51713.28993391663243528455496
Subset: (1, 6), P-Value: 0.00000001289653739049188, Loss: 56996.89610443919809767976403
Subset: (1, 7), P-Value: 0.00000017963993485865960, Loss: 51990.91154627933428855612874
Subset: (1, 8), P-Value: 0.00002033255621695995635, Loss: 48068.92673358559113694354892
Subset: (1, 9), P-Value: 0.00000000681711769979023, Loss: 53611.53930979198048589751124
Subset: (1, 10), P-Value: 0.00000000000599660570553, Loss: 50287.22829262653976911678910
Subset: (2, 3), P-Value: 0.00000000000000000000000, Loss: 62348.51315666456503095105290
Subset: (2, 4), P-Value: 0.00000000000000000000000, Loss: 76530.52290798015019390732050
Subset: (2, 5), P-Value: 0.00000000000000000000000, Loss: 77121.20246560417581349611282
Subset: (2, 6), P-Value: 0.00000000000000000000040, Loss: 63082.64584698156249942258000
Subset: (2, 7), P-Value: 0.00000000000000000000000, Loss: 67702.79294292033591773360968
Subset: (2, 8), P-Value: 0.00000000000053812868959, Loss: 76017.70646490099898073822260
Subset: (2, 9), P-Value: 0.00000000000000000000000, Loss: 77079.22658194485120475292206
Subset: (2, 10), P-Value: 0.00000000000000000000000, Loss: 78840.66025539042311720550060
Subset: (3, 4), P-Value: 0.00000000000000000000000, Loss: 64013.56462312861549435183406
Subset: (3, 5), P-Value: 0.00000000000000000000000, Loss: 58510.59175375767517834901810
Subset: (3, 6), P-Value: 0.00000000000000000000000, Loss: 49199.17076278448075754567981
Subset: (3, 7), P-Value: 0.00000000000000000000000, Loss: 61296.01036074678995646536350
Subset: (3, 8), P-Value: 0.00000002870969942598273, Loss: 73055.15573344872973393648863
Subset: (3, 9), P-Value: 0.00000000000000000000000, Loss: 55980.30540422843478154391050
Subset: (3, 10), P-Value: 0.00000000000000000000000, Loss: 60427.79184651782270520925522
Subset: (4, 5), P-Value: 0.00000000000000000000000, Loss: 74433.58053409747662954032421
Subset: (4, 6), P-Value: 0.00000000000000000000000, Loss: 57636.51229184459953103214502
Subset: (4, 7), P-Value: 0.00000000000000000000000, Loss: 73582.21293332023196853697300
Subset: (4, 8), P-Value: 0.00000000000001105690812, Loss: 90220.93525802328076679259539
Subset: (4, 9), P-Value: 0.00000000000000000000000, Loss: 73792.46835268267022911459208
Subset: (4, 10), P-Value: 0.00000000000000000000000, Loss: 78682.12864164488564711064100
Subset: (5, 6), P-Value: 0.00000000000000000000000, Loss: 56250.80612551121885189786553
Subset: (5, 7), P-Value: 0.00000000000000000000000, Loss: 62218.87369045006926171481609
Subset: (5, 8), P-Value: 0.00000000000572726137190, Loss: 90074.63731926114996895194054
Subset: (5, 9), P-Value: 0.00000000000000000000000, Loss: 68755.24132756417384371161461
Subset: (5, 10), P-Value: 0.00000000000000000000000, Loss: 73870.96773163539182860404253
Subset: (6, 7), P-Value: 0.00000000000000000000000, Loss: 61216.02974675866425968706608
Subset: (6, 8), P-Value: 0.00000002889949868445689, Loss: 66196.81490342192410025745630
Subset: (6, 9), P-Value: 0.00000000000000000000000, Loss: 57380.62442569790437119081616
Subset: (6, 10), P-Value: 0.00000000000000000000000, Loss: 59301.50554867400933289900422
Subset: (7, 8), P-Value: 0.00000000000021197049813, Loss: 77210.76643330343358684331179
Subset: (7, 9), P-Value: 0.00000000000000000000000, Loss: 73066.72388225214672274887562
Subset: (7, 10), P-Value: 0.00000000000000000000000, Loss: 75853.63776496972423046827316
Subset: (8, 9), P-Value: 0.00000000000532891984935, Loss: 81084.82677774908370338380337
Subset: (8, 10), P-Value: 0.00000000000004352436437, Loss: 89538.55241160810692235827446
Subset: (9, 10), P-Value: 0.00000000000000000000000, Loss: 71067.62106259372376371175051
Subset: (0, 1, 2), P-Value: 0.00000000006958524095583, Loss: 33590.07007375328248599544168
Subset: (0, 1, 3), P-Value: 0.00000001978486252306335, Loss: 43759.89225640628865221515298
Subset: (0, 1, 4), P-Value: 0.00000000078256029749593, Loss: 47224.80603840433468576520681
Subset: (0, 1, 5), P-Value: 0.00000000328801208252852, Loss: 49302.16802958397602196782827
Subset: (0, 1, 6), P-Value: 0.00000013146420921048415, Loss: 49070.68622492063877871260047
Subset: (0, 1, 7), P-Value: 0.00006481776049668102333, Loss: 45818.95469646518904482945800
Subset: (0, 1, 8), P-Value: 0.00007609977802509307245, Loss: 41418.87579358012590091675520
Subset: (0, 1, 9), P-Value: 0.00000001142154548196612, Loss: 48644.35227168190613156184554
Subset: (0, 1, 10), P-Value: 0.00000000239004856918058, Loss: 47006.45848790146555984392762
Subset: (0, 2, 3), P-Value: 0.00000000000154733828325, Loss: 36253.25345037158695049583912
Subset: (0, 2, 4), P-Value: 0.00000000000000014327794, Loss: 38228.09595449383778031915426
Subset: (0, 2, 5), P-Value: 0.00000000000000003248889, Loss: 40344.17056753506039967760444
Subset: (0, 2, 6), P-Value: 0.00000000000000001680543, Loss: 39503.84385571394523140043020
Subset: (0, 2, 7), P-Value: 0.00000000000057033212930, Loss: 36287.72895848518237471580505
Subset: (0, 2, 8), P-Value: 0.00000000000216157372944, Loss: 39240.21201522736373590305448
Subset: (0, 2, 9), P-Value: 0.00000000000000038420608, Loss: 41515.88022985229326877743006
Subset: (0, 2, 10), P-Value: 0.00000000000000319593075, Loss: 40384.36574631807889090850949
Subset: (0, 3, 4), P-Value: 0.00000000000000000000000, Loss: 42287.62868042779155075550079
Subset: (0, 3, 5), P-Value: 0.00000000000000000000116, Loss: 39509.72663972964801359921694
Subset: (0, 3, 6), P-Value: 0.00000000000000000014080, Loss: 38227.81964320130646228790283
Subset: (0, 3, 7), P-Value: 0.00000000000000000003700, Loss: 40283.85204697206063428893685
Subset: (0, 3, 8), P-Value: 0.00000214248233252445707, Loss: 45079.89501868042862042784691
Subset: (0, 3, 9), P-Value: 0.00000000000000007141583, Loss: 43227.89747591636842116713524
Subset: (0, 3, 10), P-Value: 0.00000000000000000001983, Loss: 39413.23034297404228709638119
Subset: (0, 4, 5), P-Value: 0.00000000000000002532496, Loss: 42977.40382034781941911205649
Subset: (0, 4, 6), P-Value: 0.00000000000000001952556, Loss: 43642.16789384793082717806101
Subset: (0, 4, 7), P-Value: 0.00000000000000000005558, Loss: 41518.04801927624794188886881
Subset: (0, 4, 8), P-Value: 0.00000000070550442966197, Loss: 55361.20868184779828879982233
Subset: (0, 4, 9), P-Value: 0.00000000000000292976814, Loss: 47391.06517197994980961084366
Subset: (0, 4, 10), P-Value: 0.00000000000000002767655, Loss: 41781.73012281065894057974219
Subset: (0, 5, 6), P-Value: 0.00000000000004485726850, Loss: 41515.56511271135968854650855
Subset: (0, 5, 7), P-Value: 0.00000000000000000275815, Loss: 43119.68245389142248313874006
Subset: (0, 5, 8), P-Value: 0.00000000000057300249156, Loss: 54988.08673970281233778223395
Subset: (0, 5, 9), P-Value: 0.00000000000004204710760, Loss: 42849.55041831848211586475372
Subset: (0, 5, 10), P-Value: 0.00000000000000000219915, Loss: 40801.86802210148016456514597
Subset: (0, 6, 7), P-Value: 0.00000000000000923007708, Loss: 47349.75018706010450841858983
Subset: (0, 6, 8), P-Value: 0.00000000619697283419997, Loss: 48395.30575276171293808147311
Subset: (0, 6, 9), P-Value: 0.00000000000000116228394, Loss: 44013.63028486340772360563278
Subset: (0, 6, 10), P-Value: 0.00000000000000002665480, Loss: 40042.97468473354092566296458
Subset: (0, 7, 8), P-Value: 0.00002109663459248944684, Loss: 48636.98588097909669158980250
Subset: (0, 7, 9), P-Value: 0.00000000000000014081402, Loss: 46459.44761762339476263150573
Subset: (0, 7, 10), P-Value: 0.00000000000000000000085, Loss: 44152.93437915368122048676014
Subset: (0, 8, 9), P-Value: 0.00000000027574761591603, Loss: 53214.64894853325677104294300
Subset: (0, 8, 10), P-Value: 0.00000000007949320973542, Loss: 52527.18133050931646721437573
Subset: (0, 9, 10), P-Value: 0.00000000000000001757561, Loss: 40831.73684914759360253810883
Subset: (1, 2, 3), P-Value: 0.00000000034561503273303, Loss: 36015.72160337743116542696953
Subset: (1, 2, 4), P-Value: 0.00000000110527000798285, Loss: 44277.02249930143443634733558
Subset: (1, 2, 5), P-Value: 0.00000000001823977671332, Loss: 41988.21334937190840719267726
Subset: (1, 2, 6), P-Value: 0.00000000000324478982230, Loss: 42674.19360387023334624245763
Subset: (1, 2, 7), P-Value: 0.00000000006356236728843, Loss: 42003.60623040681821294128895
Subset: (1, 2, 8), P-Value: 0.00000002949797154895685, Loss: 39669.86182281269429950043559
Subset: (1, 2, 9), P-Value: 0.00000000022388964239859, Loss: 42697.55524194975441787391901
Subset: (1, 2, 10), P-Value: 0.00000000000997185386730, Loss: 42797.97321289159299340099096
Subset: (1, 3, 4), P-Value: 0.00000000147706837605811, Loss: 45373.89893812633818015456200
Subset: (1, 3, 5), P-Value: 0.00000000333998386916745, Loss: 43186.43927486985921859741211
Subset: (1, 3, 6), P-Value: 0.00000058232855361921512, Loss: 45533.09191147449018899351358
Subset: (1, 3, 7), P-Value: 0.00000034680083388866833, Loss: 44341.04703548485849751159549
Subset: (1, 3, 8), P-Value: 0.00003469997878739909994, Loss: 40345.70146968166227452456951
Subset: (1, 3, 9), P-Value: 0.00000073580802127524271, Loss: 44945.94958360844611888751388
Subset: (1, 3, 10), P-Value: 0.00000000036374267715975, Loss: 44303.68167268052638974040747
Subset: (1, 4, 5), P-Value: 0.00000000116038240828005, Loss: 49283.08113860866433242335916
