Predictions	Y	Residuals
286.929502	323.000000	36.070498
382.879655	360.000000	22.879655
385.067484	390.000000	4.932516
293.658506	360.000000	66.341494
338.500672	314.000000	24.500672
261.612185	272.500000	10.887815
214.277105	163.500000	50.777105
332.741774	385.000000	52.258226
318.861576	320.000000	1.138424
320.708212	328.000000	7.291788
373.564809	455.000000	81.435191
352.012641	208.633000	143.379641
276.096220	260.000000	16.096220
275.991554	300.000000	24.008446
302.776871	329.500000	26.723129
242.412018	275.000000	32.587982
302.196278	322.500000	20.303722
764.430202	840.000000	75.569798
250.910937	245.000000	5.910937
256.103915	350.000000	93.896085
180.897202	232.000000	51.102798
361.966802	342.500000	19.466802
285.470033	270.500000	14.970033
272.197658	338.900000	66.702342
308.287418	300.000000	8.287418
412.796808	370.000000	42.796808
266.267197	296.000000	29.732803
254.176803	240.000000	14.176803
583.434919	609.900000	26.465081
267.152452	289.950000	22.797548
356.893259	374.950000	18.056741
265.708667	287.653000	21.944333
300.030223	265.000000	35.030223
269.903798	275.000000	5.096202
272.059089	314.950000	42.890911
421.210365	378.000000	43.210365
303.598516	291.000000	12.598516
257.203702	189.950000	67.253702
254.277405	287.000000	32.722595
350.697618	380.000000	29.302382
498.266873	367.000000	131.266873
151.806908	219.000000	67.193092
268.369943	245.000000	23.369943
436.532455	457.000000	20.467545
437.546312	620.000000	182.453688
418.731104	260.000000	158.731104
620.185738	545.000000	75.185738
273.946912	307.500000	33.553088
236.743044	294.000000	57.256956
238.580467	270.000000	31.419533
389.450560	338.000000	51.450560
362.324712	368.000000	5.675288
468.897789	435.000000	33.897789
232.623132	260.000000	27.376868
273.141784	339.000000	65.858216
304.469285	315.000000	10.530715
352.902645	429.800000	76.897355
384.413079	352.000000	32.413079
264.192335	297.000000	32.807665
217.051419	272.500000	55.448581
174.583016	225.000000	50.416984
262.629203	295.000000	32.370797
301.456342	310.000000	8.543658
341.285362	353.000000	11.714638
426.627643	360.000000	66.627643
384.759343	230.000000	154.759343
227.684490	258.500000	30.815510
480.970473	398.000000	82.970473
342.345635	275.000000	67.345635
566.169961	525.000000	41.169961
274.158134	358.000000	83.841866
316.355295	363.000000	46.644705
374.281058	340.000000	34.281058
434.208800	449.950000	15.741200
302.128537	322.500000	20.371463
216.649061	242.000000	25.350939
288.582139	335.000000	46.417861
264.258256	269.000000	4.741744
539.355966	490.000000	49.355966
238.247049	299.900000	61.652951
524.403018	482.000000	42.403018
295.388221	337.500000	42.111779
497.883105	500.000000	2.116895
456.357917	388.000000	68.357917
362.631124	346.950000	15.681124
446.893375	522.000000	75.106625
340.824267	293.000000	47.824267
138.155838	195.000000	56.844162
541.006229	635.000000	93.993771
656.099678	699.000000	42.900322
431.353035	485.000000	53.646965
235.074799	269.000000	33.925201
221.071320	190.000000	31.071320
363.688301	418.000000	54.311699
507.029250	449.500000	57.529250
275.907040	297.500000	21.592960
231.457971	279.000000	47.542029
189.774612	275.000000	85.225388
487.678428	470.000000	17.678428
156.321452	222.000000	65.678548
514.417232	549.950000	35.532768
247.537869	265.000000	17.462131
303.173049	325.000000	21.826951
325.819919	422.500000	96.680081
229.258225	279.000000	49.741775
753.120984	649.950000	103.170984
344.027320	360.000000	15.972680
466.356841	550.000000	83.643159
474.204733	729.000000	254.795267
483.936826	399.000000	84.936826
624.750621	728.000000	103.249379
256.921075	274.000000	17.078925
223.440395	285.000000	61.559605
405.364397	399.950000	5.414397
398.918333	412.000000	13.081667
402.381693	393.000000	9.381693
276.091321	310.000000	33.908679
138.035554	224.975000	86.939446
271.915331	349.000000	77.084669
217.978799	233.000000	15.021201
253.860491	240.000000	13.860491
305.487100	240.000000	65.487100
401.330760	369.000000	32.330760
318.418385	317.000000	1.418385
233.610028	269.950000	36.339972
308.343452	320.000000	11.656548
602.451159	489.000000	113.451159
